2461246.2340278  16.366279856906 -26.758746244163 405076.29609
2461246.2347222  16.366885983902 -26.760004315094 405076.98709
2461246.2354167  16.367492123070 -26.761261802804 405077.67756
2461246.2361111  16.368098274421 -26.762518707276 405078.36751
2461246.2368056  16.368704437943 -26.763775028464 405079.05693
2461246.2375000  16.369310613628 -26.765030766315 405079.74584
2461246.2381944  16.369916801483 -26.766285920817 405080.43422
2461246.2388889  16.370523001500 -26.767540491917 405081.12207
2461246.2395833  16.371129213675 -26.768794479587 405081.80941
2461246.2402778  16.371735430505 -26.770047854740 405082.49622
2461246.2409722  16.372341666982 -26.771300675421 405083.18252
2461246.2416667  16.372947915606 -26.772552912560 405083.86828
2461246.2423611  16.373554176366 -26.773804566091 405084.55353
2461246.2430556  16.374160449272 -26.775055636016 405085.23826
2461246.2437500  16.374766734314 -26.776306122276 405085.92246
2461246.2444444  16.375373031482 -26.777556024825 405086.60614
2461246.2451389  16.375979340784 -26.778805343650 405087.28930
2461246.2458333  16.376585662212 -26.780054078701 405087.97193
2461246.2465278  16.377191995754 -26.781302229927 405088.65405
2461246.2472222  16.377798341419 -26.782549797317 405089.33564
2461246.2479167  16.378404699200 -26.783796780818 405090.01671
2461246.2486111  16.379011069083 -26.785043180384 405090.69725
2461246.2493056  16.379617451080 -26.786288996001 405091.37728
2461246.2500000  16.380223845181 -26.787534227618 405092.05678
2461246.2506944  16.380830251380 -26.788778875202 405092.73576
2461246.2513889  16.381436669668 -26.790022938695 405093.41422
2461246.2520833  16.382043100056 -26.791266418093 405094.09216
2461246.2527778  16.382649535012 -26.792509284398 405094.76958
2461246.2534722  16.383255989564 -26.793751595451 405095.44647
2461246.2541667  16.383862456205 -26.794993322294 405096.12285
2461246.2548611  16.384468934922 -26.796234464877 405096.79870
2461246.2555556  16.385075425706 -26.797475023147 405097.47403
2461246.2562500  16.385681928568 -26.798714997099 405098.14883
2461246.2569444  16.386288443495 -26.799954386679 405098.82312
2461246.2576389  16.386894970479 -26.801193191832 405099.49688
2461246.2583333  16.387501509528 -26.802431412552 405100.17013
2461246.2590278  16.388108060633 -26.803669048789 405100.84285
2461246.2597222  16.388714623784 -26.804906100493 405101.51505
2461246.2604167  16.389321198988 -26.806142567648 405102.18672
2461246.2611111  16.389927786237 -26.807378450207 405102.85788
2461246.2618056  16.390534385527 -26.808613748133 405103.52852
2461246.2625000  16.391140996848 -26.809848461379 405104.19863
2461246.2631944  16.391747620208 -26.811082589931 405104.86822
2461246.2638889  16.392354255598 -26.812316133732 405105.53729
