2461351.7805556  13.385123463678 -12.298701814411       0.2972922146
2461351.7812500  13.385115857498 -12.298468446894       0.2972946718
2461351.7819444  13.385108252433 -12.298235086194       0.2972971292
2461351.7826389  13.385100648673 -12.298001733758       0.2972995867
2461351.7833333  13.385093046027 -12.297768388138       0.2973020442
2461351.7840278  13.385085444688 -12.297535050788       0.2973045019
2461351.7847222  13.385077844462 -12.297301720252       0.2973069597
2461351.7854167  13.385070245543 -12.297068397984       0.2973094176
2461351.7861111  13.385062647737 -12.296835082533       0.2973118756
2461351.7868056  13.385055051238 -12.296601775353       0.2973143337
2461351.7875000  13.385047455853 -12.296368474988       0.2973167919
2461351.7881944  13.385039861774 -12.296135182894       0.2973192502
2461351.7888889  13.385032268809 -12.295901897619       0.2973217086
2461351.7895833  13.385024677150 -12.295668620613       0.2973241672
2461351.7902778  13.385017086605 -12.295435350426       0.2973266258
2461351.7909722  13.385009497366 -12.295202088513       0.2973290846
2461351.7916667  13.385001909242 -12.294968833417       0.2973315434
2461351.7923611  13.384994322423 -12.294735586592       0.2973340024
2461351.7930556  13.384986736719 -12.294502346591       0.2973364615
2461351.7937500  13.384979152321 -12.294269114860       0.2973389206
2461351.7944444  13.384971569037 -12.294035889950       0.2973413799
2461351.7951389  13.384963987060 -12.293802673316       0.2973438393
2461351.7958333  13.384956406196 -12.293569463501       0.2973462988
2461351.7965278  13.384948826639 -12.293336261960       0.2973487584
2461351.7972222  13.384941248196 -12.293103067242       0.2973512181
2461351.7979167  13.384933671059 -12.292869880801       0.2973536779
2461351.7986111  13.384926095036 -12.292636701181       0.2973561378
2461351.7993056  13.384918520319 -12.292403529837       0.2973585979
2461351.8000000  13.384910946717 -12.292170365319       0.2973610580
2461351.8006944  13.384903374421 -12.291937209074       0.2973635183
2461351.8013889  13.384895803239 -12.291704059655       0.2973659786
2461351.8020833  13.384888233364 -12.291470918515       0.2973684391
2461351.8027778  13.384880664602 -12.291237784198       0.2973708996
2461351.8034722  13.384873097147 -12.291004658158       0.2973733603
2461351.8041667  13.384865530807 -12.290771538947       0.2973758211
2461351.8048611  13.384857965772 -12.290538428012       0.2973782820
2461351.8055556  13.384850401852 -12.290305323904       0.2973807430
2461351.8062500  13.384842839238 -12.290072228078       0.2973832040
2461351.8069444  13.384835277738 -12.289839139077       0.2973856653
2461351.8076389  13.384827717545 -12.289606058355       0.2973881266
2461351.8083333  13.384820158466 -12.289372984462       0.2973905880
2461351.8090278  13.384812600693 -12.289139918852       0.2973930495
2461351.8097222  13.384805044035 -12.288906860069       0.2973955111
2461351.8104167  13.384797488682 -12.288673809566       0.2973979729
2461351.8111111  13.384789934445 -12.288440765896       0.2974004347
2461351.8118056  13.384782381513 -12.288207730506       0.2974028967
2461351.8125000  13.384774829792 -12.287974702672       0.2974053587
2461351.8131944  13.384767279186 -12.287741681671       0.2974078209
2461351.8138889  13.384759729885 -12.287508668950       0.2974102832
2461351.8145833  13.384752181700 -12.287275663062       0.2974127456
2461351.8152778  13.384744634820 -12.287042665459       0.2974152081
2461351.8159722  13.384737089055 -12.286809674687       0.2974176706
2461351.8166667  13.384729544596 -12.286576692199       0.2974201333
2461351.8173611  13.384722001252 -12.286343716544       0.2974225962
2461351.8180556  13.384714459214 -12.286110749176       0.2974250591
2461351.8187500  13.384706918291 -12.285877788640       0.2974275221
2461351.8194444  13.384699378674 -12.285644836389       0.2974299852
2461351.8201389  13.384691840267 -12.285411891702       0.2974324485
2461351.8208333  13.384684302975 -12.285178953847       0.2974349118
2461351.8215278  13.384676766989 -12.284946024278       0.2974373752
2461351.8222222  13.384669232118 -12.284713101548       0.2974398388
2461351.8229167  13.384661698553 -12.284480187103       0.2974423025
2461351.8236111  13.384654166103 -12.284247279494       0.2974447662
2461351.8243056  13.384646634959 -12.284014380176       0.2974472301
2461351.8250000  13.384639104930 -12.283781487693       0.2974496941
2461351.8256944  13.384631576207 -12.283548603498       0.2974521582
2461351.8263889  13.384624048695 -12.283315726870       0.2974546224
2461351.8270833  13.384616522297 -12.283082857077       0.2974570867
2461351.8277778  13.384608997205 -12.282849995574       0.2974595511
2461351.8284722  13.384601473229 -12.282617140911       0.2974620156
2461351.8291667  13.384593950559 -12.282384294540       0.2974644802
2461351.8298611  13.384586429003 -12.282151455007       0.2974669450
2461351.8305556  13.384578908754 -12.281918623765       0.2974694098
2461351.8312500  13.384571389715 -12.281685800091       0.2974718747
2461351.8319444  13.384563871791 -12.281452983256       0.2974743398
2461351.8326389  13.384556355173 -12.281220174713       0.2974768049
2461351.8333333  13.384548839671 -12.280987373015       0.2974792702
2461351.8340278  13.384541325474 -12.280754579606       0.2974817356
2461351.8347222  13.384533812393 -12.280521793041       0.2974842011
2461351.8354167  13.384526300618 -12.280289014771       0.2974866666
2461351.8361111  13.384518790053 -12.280056244067       0.2974891323
2461351.8368056  13.384511280603 -12.279823480207       0.2974915981
2461351.8375000  13.384503772460 -12.279590724644       0.2974940640
2461351.8381944  13.384496265431 -12.279357975923       0.2974965300
2461351.8388889  13.384488759709 -12.279125235497       0.2974989962
2461351.8395833  13.384481255102 -12.278892501917       0.2975014624
2461351.8402778  13.384473751801 -12.278659776634       0.2975039287
2461351.8409722  13.384466249711 -12.278427058921       0.2975063952
2461351.8416667  13.384458748736 -12.278194348053       0.2975088617
2461351.8423611  13.384451249067 -12.277961645485       0.2975113284
2461351.8430556  13.384443750513 -12.277728949762       0.2975137951
2461351.8437500  13.384436253265 -12.277496262336       0.2975162620
2461351.8444444  13.384428757229 -12.277263582485       0.2975187290
