 2456292.5   6 39 18  530  17 1577    0 8953  **  9  7 7212
 2456293.5   6 43 14 6094  13 7131    0 8963  **  9  7 7212
 2456294.5   6 47 11 1637  10 2684    0 8952  **  9  7 7212
 2456295.5   6 51  7 7163   6 8238    0 8924  **  9  7 7212
 2456296.5   6 55  4 2680   3 3792    0 8888  **  9  7 7212
 2456297.5   6 59  0 8200  59 9345    0 8854  **  9  7 7212
 2456298.5   7  2 57 3736  56 4899    0 8837  **  9  7 7212
 2456299.5   7  6 53 9300  53  453    0 8847  **  9  7 7212
 2456300.5   7 10 50 4898  49 6006    0 8892  **  9  7 7212
 2456301.5   7 14 47  530  46 1560    0 8969  **  9  7 7212
 2456302.5   7 18 43 6182  42 7114    0 9068  **  9  7 7212
 2456303.5   7 22 40 1835  39 2667    0 9167  **  9  7 7212
 2456304.5   7 26 36 7469  35 8221    0 9248  **  9  7 7212
 2456305.5   7 30 33 3069  32 3775    0 9294  **  9  7 7212
 2456306.5   7 34 29 8632  28 9329    0 9303  **  9  7 7212
 2456307.5   7 38 26 4164  25 4882    0 9281  **  9  7 7212
 2456308.5   7 42 22 9677  22  436    0 9241  **  9  7 7212
 2456309.5   7 46 19 5185  18 5990    0 9196  **  9  7 7212
 2456310.5   7 50 16  701  15 1543    0 9158  **  9  7 7212
 2456311.5   7 54 12 6231  11 7097    0 9134  **  9  7 7212
 2456312.5   7 58  9 1780   8 2651    0 9129  **  9  7 7212
 2456313.5   8  2  5 7348   4 8204    0 9143  **  9  7 7212
 2456314.5   8  6  2 2932   1 3758    0 9174  **  9  7 7212
 2456315.5   8  9 58 8529  57 9312    0 9218  **  9  7 7212
 2456316.5   8 13 55 4132  54 4865    0 9266  **  9  7 7212
 2456317.5   8 17 51 9732  51  419    0 9313  **  9  7 7212
 2456318.5   8 21 48 5322  47 5973    0 9349  **  9  7 7212
 2456319.5   8 25 45  895  44 1526    0 9368  **  9  7 7212
 2456320.5   8 29 41 6446  40 7080    0 9366  **  9  7 7212
 2456321.5   8 33 38 1973  37 2634    0 9340  **  9  7 7212
 2456322.5   8 37 34 7481  33 8187    0 9294  **  9  7 7212
 2456323.5   8 41 31 2978  30 3741    0 9237  **  9  7 7212
 2456324.5   8 45 27 8473  26 9295    0 9179  **  9  7 7212
 2456325.5   8 49 24 3981  23 4848    0 9133  **  9  7 7212
 2456326.5   8 53 20 9512  20  402    0 9110  **  9  7 7212
 2456327.5   8 57 17 5074  16 5956    0 9118  **  9  7 7212
 2456328.5   9  1 14  666  13 1510    0 9156  **  9  7 7212
 2456329.5   9  5 10 6280   9 7063    0 9217  **  9  7 7212
 2456330.5   9  9  7 1903   6 2617    0 9286  **  9  7 7212
 2456331.5   9 13  3 7515   2 8171    0 9345  **  9  7 7212
 2456332.5   9 17  0 3102  59 3724    0 9377  **  9  7 7212
 2456333.5   9 20 56 8653  55 9278    0 9375  **  9  7 7212
 2456334.5   9 24 53 4171  52 4832    0 9339  **  9  7 7212
 2456335.5   9 28 49 9664  49  385    0 9279  **  9  7 7212
 2456336.5   9 32 46 5146  45 5939    0 9207  **  9  7 7212
 2456337.5   9 36 43  630  42 1493    0 9138  **  9  7 7212
 2456338.5   9 40 39 6127  38 7046    0 9081  **  9  7 7212
 2456339.5   9 44 36 1642  35 2600    0 9042  **  9  7 7212
 2456340.5   9 48 32 7177  31 8154    0 9023  **  9  7 7212
 2456341.5   9 52 29 2729  28 3707    0 9022  **  9  7 7212
 2456342.5   9 56 25 8296  24 9261    0 9035  **  9  7 7212
 2456343.5  10  0 22 3870  21 4815    0 9055  **  9  7 7212
 2456344.5  10  4 18 9444  18  368    0 9075  **  9  7 7212
 2456345.5  10  8 15 5011  14 5922    0 9089  **  9  7 7212
 2456346.5  10 12 12  563  11 1476    0 9087  **  9  7 7212
 2456347.5  10 16  8 6095   7 7029    0 9066  **  9  7 7212
 2456348.5  10 20  5 1605   4 2583    0 9022  **  9  7 7212
 2456349.5  10 24  1 7093   0 8137    0 8956  **  9  7 7212
 2456350.5  10 27 58 2566  57 3690    0 8875  **  9  7 7212
 2456351.5  10 31 54 8035  53 9244    0 8791  **  9  7 7212
 2456352.5  10 35 51 3514  50 4798    0 8716  **  9  7 7212
 2456353.5  10 39 47 9014  47  352    0 8663  **  9  7 7212
 2456354.5  10 43 44 4544  43 5905    0 8639  **  9  7 7212
 2456355.5  10 47 41  105  40 1459    0 8646  **  9  7 7212
 2456356.5  10 51 37 5688  36 7013    0 8676  **  9  7 7212
 2456357.5  10 55 34 1283  33 2566    0 8717  **  9  7 7212
 2456358.5  10 59 30 6872  29 8120    0 8752  **  9  7 7212
 2456359.5  11  3 27 2441  26 3674    0 8767  **  9  7 7212
 2456360.5  11  7 23 7980  22 9227    0 8753  **  9  7 7212
 2456361.5  11 11 20 3488  19 4781    0 8707  **  9  7 7212
 2456362.5  11 15 16 8969  16  335    0 8634  **  9  7 7212
 2456363.5  11 19 13 4434  12 5888    0 8546  **  9  7 7212
 2456364.5  11 23  9 9898   9 1442    0 8456  **  9  7 7212
 2456365.5  11 27  6 5372   5 6996    0 8376  **  9  7 7212
 2456366.5  11 31  3  862   2 2549    0 8313  **  9  7 7212
 2456367.5  11 34 59 6374  58 8103    0 8271  **  9  7 7212
 2456368.5  11 38 56 1905  55 3657    0 8249  **  9  7 7212
 2456369.5  11 42 52 7453  51 9210    0 8243  **  9  7 7212
 2456370.5  11 46 49 3011  48 4764    0 8247  **  9  7 7212
 2456371.5  11 50 45 8572  45  318    0 8254  **  9  7 7212
