 2456544.377975  2  2456544.368600
 2456314.627350  5  2456314.630300
 2456341.983600  5  2456341.989612
 2456627.912975  6  2456627.896000
 2456655.557975  6  2456655.546075
 2456330.975475  9  2456330.970350
 2456358.306725  9  2456358.299362
 2456385.554850  9  2456385.545062
 2456412.811725  9  2456412.801337
 2456440.139225  9  2456440.129775
 2456467.530475  9  2456467.522162
 2456494.931100  9  2456494.922650
 2456522.279850  9  2456522.270287
 2456298.342350 14  2456298.329050
 2456325.572975 14  2456325.565425
 2456352.802975 14  2456352.800487
 2456380.116725 14  2456380.116725
 2456407.520475 14  2456407.520087
 2456434.954225 14  2456434.953875
 2456462.344850 14  2456462.346612
 2456489.648600 14  2456489.655262
 2456516.879850 14  2456516.892250
 2456544.104850 14  2456544.121212
 2456598.779850 14  2456598.796437
 2456626.210475 14  2456626.228350
 2456653.604850 14  2456653.627425
 2456578.593600 18  2456578.608637
 2456342.394850 19  2456342.395875
