 2456437.661725  1  2  0.0239
 2456464.234225  1  2 -0.0339
 2456332.381100  1  4  0.0053
 2456439.907350  1  5  0.0414
 2456576.276100  1  6 -0.0942
 2456622.652350  1  6 -0.0058
 2456402.384225  1  7 -0.0354
 2456335.243600  1 10 -0.0911
 2456390.907975  1 10 -0.1230
 2456454.444225  1 10  0.1027
 2456509.859850  1 10  0.0770
 2456572.436100  1 10 -0.0496
 2456433.526725  1 11  0.1234
 2456560.308600  1 14  0.0144
 2456509.633600  1 15 -0.1276
 2456441.360475  2  5  0.0175
 2456555.509225  2  6 -0.0655
 2456611.844850  2  9 -0.1146
 2456302.982975  2 10 -0.0485
 2456453.971100  2 10  0.0930
 2456484.456100  2 10  0.1226
 2456514.596100  2 10  0.0894
 2456544.377975  2 10  0.0075
 2456574.004850  2 10 -0.0813
 2456603.522975  2 10 -0.1398
 2456632.502975  2 10 -0.1338
 2456430.919225  2 11  0.1021
 2456582.157975  2 12  0.0271
 2456495.700475  2 13  0.0204
 2456541.048600  2 14  0.0311
 2456466.554225  2 15 -0.0921
 2456475.656725  2 16 -0.0842
 2456309.541725  2 18 -0.1691
 2456466.312975  2 19 -0.0039
 2456495.739225  4  5  0.0137
 2456305.997350  4 10 -0.1123
 2456480.009225  4 10  0.0646
 2456508.971725  4 10  0.0911
 2456537.902975  4 10  0.1088
 2456566.769225  4 10  0.1161
 2456595.539225  4 10  0.1124
 2456624.174225  4 10  0.0993
 2456652.615475  4 10  0.0811
 2456580.407975  4 13  0.0174
 2456523.979850  4 15 -0.1030
 2456468.563600  4 17  0.4270
 2456314.627350  5 10  0.0086
 2456341.983600  5 10  0.0157
 2456369.556725  5 10  0.0258
 2456397.269225  5 10  0.0360
 2456425.047350  5 10  0.0452
 2456508.436100  5 10  0.0701
 2456536.197350  5 10  0.0783
 2456563.883600  5 10  0.0851
 2456591.419225  5 10  0.0889
 2456618.729225  5 10  0.0891
 2456645.806100  5 10  0.0869
 2456376.241725  5 11  0.0891
 2456516.505475  5 17  0.4644
 2456299.548600  6 10  0.0656
 2456326.899850  6 10  0.0607
 2456354.125475  6 10  0.0579
 2456381.331725  6 10  0.0586
 2456408.588600  6 10  0.0618
 2456435.898600  6 10  0.0646
 2456463.224225  6 10  0.0636
