 2459214.5   5.303037486653  -0.352537492881 10.8937609
 2459215.5   5.305102245919  -0.352114204971 10.8997519
 2459216.5   5.307174398417  -0.351688043839 10.9054986
 2459217.5   5.309253557322  -0.351259045103 10.9109996
 2459218.5   5.311339385867  -0.350827226204 10.9162535
 2459219.5   5.313431604699  -0.350392594275 10.9212589
 2459220.5   5.315529985151  -0.349955157936 10.9260144
 2459221.5   5.317634327660  -0.349514940678 10.9305185
 2459222.5   5.319744427850  -0.349071992773 10.9347699
 2459223.5   5.321860036605  -0.348626398138 10.9387670
 2459224.5   5.323980824920  -0.348178272789 10.9425087
 2459225.5   5.326106367302  -0.347727753332 10.9459936
 2459226.5   5.328236154486  -0.347274977919 10.9492207
 2459227.5   5.330369634563  -0.346820066664 10.9521891
 2459228.5   5.332506266684  -0.346363109812 10.9548979
 2459229.5   5.334645564766  -0.345904168014 10.9573465
 2459230.5   5.336787116161  -0.345443282499 10.9595346
 2459231.5   5.338930575396  -0.344980488694 10.9614619
 2459232.5   5.341075644180  -0.344515827446 10.9631280
 2459233.5   5.343222050382  -0.344049351455 10.9645331
 2459234.5   5.345369534584  -0.343581127906 10.9656770
 2459235.5   5.347517850871  -0.343111241196 10.9665599
 2459236.5   5.349666802094  -0.342639810516 10.9671818
 2459237.5   5.351816428182  -0.342167167581 10.9675430
 2459238.5   5.353965525202  -0.341696824978 10.9676437
 2459239.5   5.356109187947  -0.341218540543 10.9674842
 2459240.5   5.358257088939  -0.340740802761 10.9670649
 2459241.5   5.360403310023  -0.340262796157 10.9663862
 2459242.5   5.362547653496  -0.339784017354 10.9654484
 2459243.5   5.364689791894  -0.339304460240 10.9642519
 2459244.5   5.366829366153  -0.338824166968 10.9627970
 2459245.5   5.368966048749  -0.338343172901 10.9610842
 2459246.5   5.371099571175  -0.337861502029 10.9591137
 2459247.5   5.373229724073  -0.337379177665 10.9568857
 2459248.5   5.375356332907  -0.336896238048 10.9544005
 2459249.5   5.377479218553  -0.336412749481 10.9516584
 2459250.5   5.379598156722  -0.335928812086 10.9486595
 2459251.5   5.381712848854  -0.335444556665 10.9454043
 2459252.5   5.383822912008  -0.334960134062 10.9418932
 2459253.5   5.385927889710  -0.334475700164 10.9381268
 2459254.5   5.388027280612  -0.333991400620 10.9341056
 2459255.5   5.390120577086  -0.333507359439 10.9298305
 2459256.5   5.392207302663  -0.333023674621 10.9253025
 2459257.5   5.394287037462  -0.332540421611 10.9205228
 2459258.5   5.396359425538  -0.332057662564 10.9154926
 2459259.5   5.398424165382  -0.331575457477 10.9102133
 2459260.5   5.400480990679  -0.331093873368 10.9046865
 2459261.5   5.402529649740  -0.330612989507 10.8989137
 2459262.5   5.404569889340  -0.330132898769 10.8928966
 2459263.5   5.406601444773  -0.329653706430 10.8866370
 2459264.5   5.408624035018  -0.329175527922 10.8801367
 2459265.5   5.410637360746  -0.328698486542 10.8733976
 2459266.5   5.412641103177  -0.328222711409 10.8664215
 2459267.5   5.414634922965  -0.327748335335 10.8592104
 2459268.5   5.416618459709  -0.327275491852 10.8517662
 2459269.5   5.418591334364  -0.326804310485 10.8440910
 2459270.5   5.420553158172  -0.326334909793 10.8361868
 2459271.5   5.422503551363  -0.325867389052 10.8280555
 2459272.5   5.424442170855  -0.325401821737 10.8196991
 2459273.5   5.426368738371  -0.324938255656 10.8111194
 2459274.5   5.428283053178  -0.324476723624 10.8023184
 2459275.5   5.430184975331  -0.324017263410 10.7932979
 2459276.5   5.432074379751  -0.323559939116 10.7840595
 2459277.5   5.433951099901  -0.323104853727 10.7746051
 2459278.5   5.435814886614  -0.322652147396 10.7649365
 2459279.5   5.437665397252  -0.322201983899 10.7550556
 2459280.5   5.439502213422  -0.321754532544 10.7449644
 2459281.5   5.441324874918  -0.321309952285 10.7346650
 2459282.5   5.443132916785  -0.320868381717 10.7241598
 2459283.5   5.444925900413  -0.320429935654 10.7134510
 2459284.5   5.446703433985  -0.319994707391 10.7025412
 2459285.5   5.448465180738  -0.319562774988 10.6914332
 2459286.5   5.450210855718  -0.319134209664 10.6801298
 2459287.5   5.451940213673  -0.318709084193 10.6686337
 2459288.5   5.453653032332  -0.318287479488 10.6569481
 2459289.5   5.455349095681  -0.317869488303 10.6450761
 2459290.5   5.457028180704  -0.317455216007 10.6330206
 2459291.5   5.458690049170  -0.317044779121 10.6207851
 2459292.5   5.460334444046  -0.316638302676 10.6083726
 2459293.5   5.461961088986  -0.316235917308 10.5957865
 2459294.5   5.463569689304  -0.315837756459 10.5830300
 2459295.5   5.465159933597  -0.315443953576 10.5701066
 2459296.5   5.466731496228  -0.315054638794 10.5570194
 2459297.5   5.468284042354  -0.314669934371 10.5437720
 2459298.5   5.469817238590  -0.314289948370 10.5303676
 2459299.5   5.471330772072  -0.313914767391 10.5168095
