 2459282.5 -15.6752  2.8715   0.409058418941   418.3116   1.8829 -0.0043
 2459283.5 -15.6505  2.9265   0.409058679351   418.3765   1.9376 -0.0043
 2459284.5 -15.6774  2.9877   0.409058969881   418.4210   1.9986 -0.0044
 2459285.5 -15.7554  3.0454   0.409059243407   418.4451   2.0562 -0.0044
 2459286.5 -15.8744  3.0913   0.409059459715   418.4529   2.1021 -0.0045
 2459287.5 -16.0183  3.1199   0.409059592299   418.4506   2.1307 -0.0045
 2459288.5 -16.1686  3.1292   0.409059631366   418.4458   2.1401 -0.0045
 2459289.5 -16.3074  3.1206   0.409059583211   418.4454   2.1314 -0.0045
 2459290.5 -16.4205  3.0979   0.409059466992   418.4551   2.1087 -0.0045
 2459291.5 -16.4988  3.0669   0.409059310300   418.4787   2.0775 -0.0045
 2459292.5 -16.5385  3.0340   0.409059144733   418.5177   2.0445 -0.0044
 2459293.5 -16.5412  3.0059   0.409059002104   418.5713   2.0161 -0.0044
 2459294.5 -16.5136  2.9884   0.409058911250   418.6371   1.9983 -0.0044
 2459295.5 -16.4670  2.9863   0.409058895033   418.7105   1.9959 -0.0044
 2459296.5 -16.4163  3.0025   0.409058966979   418.7856   2.0117 -0.0044
 2459297.5 -16.3794  3.0368   0.409059127204   418.8553   2.0457 -0.0044
 2459298.5 -16.3747  3.0857   0.409059358097   418.9123   2.0943 -0.0045
 2459299.5 -16.4164  3.1414   0.409059621759   418.9508   2.1498 -0.0045
 2459300.5 -16.5099  3.1923   0.409059862649   418.9687   2.2007 -0.0046
 2459301.5 -16.6458  3.2259   0.409060018963   418.9697   2.2342 -0.0046
 2459302.5 -16.7990  3.2320   0.409060042706   418.9636   2.2404 -0.0046
 2459303.5 -16.9346  3.2082   0.409059921114   418.9645   2.2166 -0.0046
 2459304.5 -17.0201  3.1612   0.409059686648   418.9851   2.1694 -0.0045
 2459305.5 -17.0380  3.1048   0.409059407036   419.0326   2.1128 -0.0045
 2459306.5 -16.9923  3.0550   0.409059159715   419.1054   2.0628 -0.0044
 2459307.5 -16.9049  3.0244   0.409059005025   419.1949   2.0317 -0.0044
 2459308.5 -16.8063  3.0186   0.409058970745   419.2890   2.0255 -0.0044
 2459309.5 -16.7259  3.0365   0.409059050961   419.3759   2.0429 -0.0044
 2459310.5 -16.6852  3.0715   0.409059214571   419.4471   2.0776 -0.0045
 2459311.5 -16.6951  3.1146   0.409059417177   419.4982   2.1204 -0.0045
 2459312.5 -16.7558  3.1561   0.409059612144   419.5291   2.1618 -0.0045
 2459313.5 -16.8587  3.1877   0.409059759092   419.5432   2.1933 -0.0046
 2459314.5 -16.9891  3.2035   0.409059829537   419.5463   2.2091 -0.0046
 2459315.5 -17.1292  3.2007   0.409059809848   419.5455   2.2063 -0.0046
 2459316.5 -17.2611  3.1797   0.409059701683   419.5477   2.1853 -0.0046
 2459317.5 -17.3697  3.1435   0.409059520250   419.5592   2.1491 -0.0045
 2459318.5 -17.4442  3.0975   0.409059290940   419.5843   2.1030 -0.0045
 2459319.5 -17.4793  3.0481   0.409059045000   419.6249   2.0533 -0.0044
 2459320.5 -17.4755  3.0019   0.409058815047   419.6811   2.0069 -0.0044
 2459321.5 -17.4388  2.9652   0.409058631011   419.7504   1.9699 -0.0043
 2459322.5 -17.3795  2.9429   0.409058516684   419.8287   1.9472 -0.0043
 2459323.5 -17.3119  2.9380   0.409058486747   419.9105   1.9420 -0.0043
 2459324.5 -17.2519  2.9511   0.409058544065   419.9893   1.9547 -0.0043
 2459325.5 -17.2162  2.9799   0.409058677077   420.0585   1.9831 -0.0044
 2459326.5 -17.2192  3.0184   0.409058857717   420.1124   2.0214 -0.0044
 2459327.5 -17.2690  3.0576   0.409059041546   420.1476   2.0604 -0.0044
 2459328.5 -17.3633  3.0860   0.409059172827   420.1651   2.0887 -0.0045
 2459329.5 -17.4857  3.0922   0.409059197053   420.1713   2.0949 -0.0045
 2459330.5 -17.6061  3.0695   0.409059080472   420.1782   2.0721 -0.0044
 2459331.5 -17.6883  3.0190   0.409058829354   420.2001   2.0215 -0.0044
 2459332.5 -17.7039  2.9515   0.409058495929   420.2484   1.9538 -0.0043
 2459333.5 -17.6447  2.8839   0.409058162231   420.3265   1.8859 -0.0043
 2459334.5 -17.5268  2.8328   0.409057908133   420.4281   1.8343 -0.0042
 2459335.5 -17.3828  2.8081   0.409057782092   420.5401   1.8090 -0.0042
 2459336.5 -17.2491  2.8109   0.409057789779   420.6481   1.8114 -0.0042
 2459337.5 -17.1537  2.8353   0.409057901468   420.7411   1.8353 -0.0042
 2459338.5 -17.1113  2.8710   0.409058068542   420.8130   1.8707 -0.0042
 2459339.5 -17.1236  2.9075   0.409058239379   420.8631   1.9070 -0.0043
 2459340.5 -17.1821  2.9358   0.409058370097   420.8949   1.9351 -0.0043
 2459341.5 -17.2720  2.9494   0.409058430044   420.9141   1.9486 -0.0043
 2459342.5 -17.3754  2.9453   0.409058403612   420.9278   1.9444 -0.0043
 2459343.5 -17.4745  2.9231   0.409058289926   420.9431   1.9222 -0.0043
 2459344.5 -17.5534  2.8854   0.409058101217   420.9664   1.8844 -0.0042
 2459345.5 -17.6004  2.8370   0.409057860219   421.0024   1.8358 -0.0042
 2459346.5 -17.6084  2.7840   0.409057596748   421.0538   1.7825 -0.0041
 2459347.5 -17.5766  2.7330   0.409057343600   421.1211   1.7313 -0.0041
 2459348.5 -17.5097  2.6907   0.409057132141   421.2024   1.6885 -0.0040
 2459349.5 -17.4176  2.6623   0.409056988112   421.2937   1.6597 -0.0040
 2459350.5 -17.3142  2.6512   0.409056928052   421.3897   1.6481 -0.0040
 2459351.5 -17.2153  2.6583   0.409056956525   421.4839   1.6548 -0.0040
 2459352.5 -17.1372  2.6818   0.409057064322   421.5699   1.6779 -0.0040
 2459353.5 -17.0935  2.7168   0.409057227783   421.6424   1.7126 -0.0041
 2459354.5 -17.0930  2.7556   0.409057409607   421.6976   1.7511 -0.0041
 2459355.5 -17.1362  2.7884   0.409057562265   421.7355   1.7837 -0.0041
 2459356.5 -17.2126  2.8048   0.409057635628   421.7600   1.8000 -0.0042
 2459357.5 -17.2996  2.7966   0.409057589781   421.7802   1.7917 -0.0041
 2459358.5 -17.3653  2.7611   0.409057411331   421.8088   1.7561 -0.0041
 2459359.5 -17.3772  2.7037   0.409057126666   421.8587   1.6984 -0.0041
 2459360.5 -17.3147  2.6379   0.409056801696   421.9381   1.6323 -0.0040
 2459361.5 -17.1801  2.5814   0.409056521675   422.0462   1.5753 -0.0039
 2459362.5 -16.9991  2.5490   0.409056358267   422.1729   1.5423 -0.0039
 2459363.5 -16.8107  2.5470   0.409056342503   422.3027   1.5397 -0.0039
 2459364.5 -16.6524  2.5723   0.409056458613   422.4207   1.5644 -0.0039
 2459365.5 -16.5479  2.6147   0.409056658031   422.5173   1.6063 -0.0040
 2459366.5 -16.5046  2.6620   0.409056881130   422.5896   1.6533 -0.0040
 2459367.5 -16.5155  2.7032   0.409057074867   422.6403   1.6943 -0.0040
 2459368.5 -16.5652  2.7307   0.409057201994   422.6756   1.7216 -0.0041
 2459369.5 -16.6348  2.7405   0.409057243300   422.7028   1.7313 -0.0041
 2459370.5 -16.7051  2.7321   0.409057196027   422.7297   1.7227 -0.0041
 2459371.5 -16.7595  2.7076   0.409057070942   422.7628   1.6980 -0.0040
 2459372.5 -16.7852  2.6713   0.409056889190   422.8073   1.6616 -0.0040
 2459373.5 -16.7740  2.6293   0.409056679121   422.8664   1.6193 -0.0040
 2459374.5 -16.7234  2.5880   0.409056472909   422.9412   1.5777 -0.0039
 2459375.5 -16.6365  2.5542   0.409056302748   423.0304   1.5434 -0.0039
 2459376.5 -16.5222  2.5336   0.409056196599   423.1307   1.5224 -0.0039
 2459377.5 -16.3938  2.5302   0.409056173947   423.2366   1.5185 -0.0039
 2459378.5 -16.2675  2.5456   0.409056242199   423.3418   1.5333 -0.0039
 2459379.5 -16.1601  2.5783   0.409056394354   423.4395   1.5655 -0.0039
 2459380.5 -16.0861  2.6237   0.409056608515   423.5240   1.6106 -0.0040
 2459381.5 -16.0548  2.6747   0.409056849649   423.5916   1.6613 -0.0040
 2459382.5 -16.0679  2.7223   0.409057073817   423.6415   1.7086 -0.0041
 2459383.5 -16.1173  2.7568   0.409057235024   423.6769   1.7429 -0.0041
 2459384.5 -16.1847  2.7704   0.409057294812   423.7050   1.7564 -0.0041
 2459385.5 -16.2434  2.7591   0.409057233848   423.7364   1.7450 -0.0041
 2459386.5 -16.2636  2.7251   0.409057062721   423.7831   1.7107 -0.0041
 2459387.5 -16.2206  2.6777   0.409056826641   423.8549   1.6630 -0.0040
 2459388.5 -16.1054  2.6318   0.409056597800   423.9553   1.6166 -0.0040
 2459389.5 -15.9307  2.6033   0.409056453392   424.0796   1.5875 -0.0039
 2459390.5 -15.7284  2.6032   0.409056446987   424.2149   1.5868 -0.0039
 2459391.5 -15.5385  2.6337   0.409056588432   424.3454   1.6167 -0.0040
 2459392.5 -15.3946  2.6876   0.409056843636   424.4578   1.6701 -0.0040
 2459393.5 -15.3141  2.7525   0.409057152256   424.5450   1.7346 -0.0041
 2459394.5 -15.2964  2.8154   0.409057450964   424.6072   1.7972 -0.0041
 2459395.5 -15.3281  2.8661   0.409057690612   424.6497   1.8477 -0.0042
 2459396.5 -15.3888  2.8989   0.409057843334   424.6806   1.8803 -0.0042
 2459397.5 -15.4574  2.9123   0.409057901905   424.7082   1.8936 -0.0042
 2459398.5 -15.5154  2.9081   0.409057875470   424.7400   1.8892 -0.0042
 2459399.5 -15.5483  2.8907   0.409057784672   424.7817   1.8716 -0.0042
 2459400.5 -15.5471  2.8657   0.409057657454   424.8369   1.8464 -0.0042
 2459401.5 -15.5077  2.8398   0.409057525584   424.9073   1.8201 -0.0042
 2459402.5 -15.4317  2.8196   0.409057421426   424.9923   1.7995 -0.0041
 2459403.5 -15.3263  2.8112   0.409057374454   425.0891   1.7907 -0.0041
 2459404.5 -15.2036  2.8192   0.409057407274   425.1928   1.7982 -0.0041
 2459405.5 -15.0794  2.8461   0.409057531443   425.2972   1.8246 -0.0042
 2459406.5 -14.9714  2.8913   0.409057743968   425.3952   1.8693 -0.0042
 2459407.5 -14.8957  2.9506   0.409058025637   425.4805   1.9282 -0.0043
 2459408.5 -14.8636  3.0172   0.409058342274   425.5484   1.9945 -0.0043
 2459409.5 -14.8783  3.0819   0.409058649526   425.5977   2.0589 -0.0044
 2459410.5 -14.9333  3.1350   0.409058900858   425.6310   2.1119 -0.0045
 2459411.5 -15.0118  3.1686   0.409059057559   425.6548   2.1454 -0.0045
 2459412.5 -15.0895  3.1784   0.409059098943   425.6788   2.1551 -0.0045
 2459413.5 -15.1388  3.1656   0.409059030424   425.7140   2.1421 -0.0045
 2459414.5 -15.1358  3.1372   0.409058886640   425.7699   2.1134 -0.0045
 2459415.5 -15.0678  3.1055   0.409058726742   425.8517   2.0813 -0.0044
 2459416.5 -14.9389  3.0849   0.409058620415   425.9578   2.0602 -0.0044
 2459417.5 -14.7709  3.0875   0.409058626954   426.0794   2.0622 -0.0044
 2459418.5 -14.5983  3.1193   0.409058774794   426.2031   2.0934 -0.0044
 2459419.5 -14.4566  3.1776   0.409059051370   426.3146   2.1512 -0.0045
 2459420.5 -14.3716  3.2526   0.409059408990   426.4036   2.2259 -0.0046
 2459421.5 -14.3522  3.3312   0.409059783390   426.4666   2.3041 -0.0047
 2459422.5 -14.3907  3.4008   0.409060114911   426.5065   2.3735 -0.0047
 2459423.5 -14.4687  3.4533   0.409060363024   426.5306   2.4259 -0.0048
 2459424.5 -14.5637  3.4851   0.409060511015   426.5478   2.4576 -0.0048
 2459425.5 -14.6544  3.4971   0.409060563224   426.5667   2.4696 -0.0048
 2459426.5 -14.7241  3.4934   0.409060539013   426.5938   2.4657 -0.0048
 2459427.5 -14.7619  3.4798   0.409060466656   426.6336   2.4519 -0.0048
 2459428.5 -14.7625  3.4629   0.409060378500   426.6881   2.4347 -0.0048
 2459429.5 -14.7263  3.4495   0.409060307377   426.7573   2.4210 -0.0048
 2459430.5 -14.6588  3.4459   0.409060283636   426.8390   2.4170 -0.0048
 2459431.5 -14.5704  3.4571   0.409060332038   426.9291   2.4278 -0.0048
 2459432.5 -14.4756  3.4865   0.409060468166   427.0218   2.4568 -0.0048
 2459433.5 -14.3918  3.5345   0.409060694529   427.1103   2.5043 -0.0049
 2459434.5 -14.3364  3.5982   0.409060997371   427.1875   2.5677 -0.0049
 2459435.5 -14.3234  3.6714   0.409061345825   427.2479   2.6406 -0.0050
 2459436.5 -14.3594  3.7447   0.409061695202   427.2888   2.7137 -0.0051
 2459437.5 -14.4404  3.8079   0.409061995180   427.3117   2.7768 -0.0051
 2459438.5 -14.5511  3.8518   0.409062201728   427.3227   2.8206 -0.0052
 2459439.5 -14.6672  3.8712   0.409062289523   427.3315   2.8399 -0.0052
 2459440.5 -14.7607  3.8665   0.409062260787   427.3492   2.8352 -0.0052
 2459441.5 -14.8076  3.8444   0.409062147185   427.3853   2.8129 -0.0052
 2459442.5 -14.7941  3.8160   0.409062003558   427.4454   2.7843 -0.0051
 2459443.5 -14.7215  3.7948   0.409061894626   427.5290   2.7627 -0.0051
 2459444.5 -14.6066  3.7927   0.409061877888   427.6296   2.7600 -0.0051
 2459445.5 -14.4777  3.8165   0.409061987410   427.7359   2.7834 -0.0051
 2459446.5 -14.3672  3.8666   0.409062223795   427.8349   2.8330 -0.0052
