 2459363.5 1   17. E   2.3
 2459364.5 1   16. E   2.5
 2459365.5 1   15. E   2.8
 2459366.5 1   14. E   3.0
 2459367.5 1   13. E   3.3
 2459368.5 1   12. E   3.6
 2459369.5 1   10. E   4.0
 2459370.5 1    9. E   4.3
 2459371.5 1    8. E   4.7
 2459372.5 1    6. E   5.1
 2459373.5 1    5. E   5.5
 2459374.5 1    4. E  99.0
 2459375.5 1    3. E  99.0
 2459376.5 1    3. E  99.0
 2459377.5 1    4. W  99.0
 2459378.5 1    5. W  99.0
 2459379.5 1    6. W   5.3
 2459380.5 1    7. W   4.9
 2459381.5 1    8. W   4.5
 2459382.5 1   10. W   4.1
 2459383.5 1   11. W   3.8
 2459384.5 1   12. W   3.5
 2459385.5 1   13. W   3.2
 2459386.5 1   14. W   2.9
 2459387.5 1   15. W   2.6
 2459388.5 1   16. W   2.4
 2459389.5 1   17. W   2.1
 2459390.5 1   18. W   1.9
 2459391.5 1   19. W   1.7
 2459392.5 1   19. W   1.5
 2459393.5 1   20. W   1.3
 2459394.5 1   20. W   1.2
 2459395.5 1   21. W   1.0
 2459396.5 1   21. W   0.8
 2459397.5 1   21. W   0.7
 2459398.5 1   21. W   0.6
 2459399.5 1   22. W   0.4
 2459400.5 1   22. W   0.3
 2459401.5 1   22. W   0.2
 2459402.5 1   21. W   0.1
 2459403.5 1   21. W   0.0
 2459404.5 1   21. W  -0.1
 2459405.5 1   21. W  -0.2
 2459406.5 1   20. W  -0.3
 2459407.5 1   20. W  -0.4
 2459408.5 1   19. W  -0.5
 2459409.5 1   19. W  -0.6
 2459410.5 1   18. W  -0.7
 2459411.5 1   17. W  -0.8
 2459412.5 1   16. W  -0.8
 2459413.5 1   16. W  -0.9
 2459414.5 1   15. W  -1.0
 2459415.5 1   14. W  -1.1
 2459416.5 1   13. W  -1.2
 2459417.5 1   12. W  -1.2
 2459418.5 1   11. W  -1.3
 2459419.5 1   10. W  -1.4
 2459420.5 1    9. W  -1.5
 2459421.5 1    8. W  -1.6
 2459422.5 1    7. W  -1.7
 2459423.5 1    5. W  -1.8
 2459424.5 1    4. W  -1.9
 2459425.5 1    3. W  -2.0
 2459426.5 1    2. W  -2.1
 2459427.5 1    2. W  -2.1
 2459428.5 1    2. E  -2.1
 2459429.5 1    2. E  -2.0
 2459430.5 1    3. E  -1.9
 2459431.5 1    4. E  -1.7
 2459432.5 1    5. E  -1.6
 2459433.5 1    6. E  -1.4
 2459434.5 1    7. E  -1.3
 2459435.5 1    8. E  -1.2
 2459436.5 1    9. E  -1.1
 2459437.5 1   10. E  -1.0
 2459438.5 1   11. E  -0.9
 2459439.5 1   12. E  -0.8
 2459440.5 1   12. E  -0.8
 2459441.5 1   13. E  -0.7
 2459442.5 1   14. E  -0.6
 2459443.5 1   15. E  -0.6
 2459444.5 1   16. E  -0.5
 2459445.5 1   16. E  -0.5
 2459446.5 1   17. E  -0.4
 2459447.5 1   18. E  -0.4
 2459448.5 1   18. E  -0.3
 2459449.5 1   19. E  -0.3
 2459450.5 1   20. E  -0.3
 2459451.5 1   20. E  -0.2
 2459452.5 1   21. E  -0.2
 2459453.5 1   21. E  -0.2
 2459454.5 1   22. E  -0.1
 2459455.5 1   22. E  -0.1
 2459456.5 1   23. E  -0.1
 2459457.5 1   23. E  -0.1
 2459458.5 1   24. E  -0.1
 2459459.5 1   24. E   0.0
 2459460.5 1   25. E   0.0
 2459461.5 1   25. E   0.0
 2459462.5 1   25. E   0.0
 2459463.5 1   25. E   0.0
 2459464.5 1   26. E   0.0
