2455211.6298611  19.653250755233 -21.305897495565 405194.04018
2455211.6305556  19.653822795791 -21.303770498449 405194.89787
2455211.6312500  19.654394817418 -21.301643075346 405195.75528
2455211.6319444  19.654966820125 -21.299515226280 405196.61241
2455211.6326389  19.655538803907 -21.297386951328 405197.46926
2455211.6333333  19.656110768756 -21.295258250584 405198.32583
2455211.6340278  19.656682714685 -21.293129124065 405199.18212
2455211.6347222  19.657254641687 -21.290999571851 405200.03813
2455211.6354167  19.657826549762 -21.288869594013 405200.89386
2455211.6361111  19.658398438904 -21.286739190637 405201.74931
2455211.6368056  19.658970309124 -21.284608361738 405202.60449
2455211.6375000  19.659542172184 -21.282477079964 405203.45938
2455211.6381944  19.660114004542 -21.280345400272 405204.31400
2455211.6388889  19.660685817976 -21.278213295247 405205.16833
2455211.6395833  19.661257612482 -21.276080764978 405206.02239
2455211.6402778  19.661829388053 -21.273947809549 405206.87616
2455211.6409722  19.662401144700 -21.271814428982 405207.72966
2455211.6416667  19.662972882418 -21.269680623362 405208.58287
2455211.6423611  19.663544601199 -21.267546392773 405209.43581
2455211.6430556  19.664116301056 -21.265411737236 405210.28847
2455211.6437500  19.664687981982 -21.263276656837 405211.14085
2455211.6444444  19.665259643972 -21.261141151659 405211.99294
2455211.6451389  19.665831287036 -21.259005221726 405212.84476
2455211.6458333  19.666402911169 -21.256868867119 405213.69630
2455211.6465278  19.666974516370 -21.254732087904 405214.54756
2455211.6472222  19.667546114398 -21.252594856605 405215.39854
2455211.6479167  19.668117681734 -21.250457228354 405216.24924
2455211.6486111  19.668689230138 -21.248319175689 405217.09966
2455211.6493056  19.669260759603 -21.246180698692 405217.94980
2455211.6500000  19.669832270141 -21.244041797383 405218.79967
2455211.6506944  19.670403761745 -21.241902471850 405219.64925
2455211.6513889  19.670975234410 -21.239762722174 405220.49855
2455211.6520833  19.671546688146 -21.237622548380 405221.34757
2455211.6527778  19.672118122949 -21.235481950548 405222.19631
2455211.6534722  19.672689538811 -21.233340928770 405223.04478
2455211.6541667  19.673260935744 -21.231199483059 405223.89296
2455211.6548611  19.673832313742 -21.229057613507 405224.74086
2455211.6555556  19.674403672800 -21.226915320197 405225.58849
2455211.6562500  19.674975012927 -21.224772603147 405226.43583
2455211.6569444  19.675546345880 -21.222629434755 405227.28289
2455211.6576389  19.676117648136 -21.220485870455 405228.12968
2455211.6583333  19.676688931449 -21.218341882653 405228.97618
2455211.6590278  19.677260195831 -21.216197471364 405229.82241
2455211.6597222  19.677831441277 -21.214052636682 405230.66835
2455211.6604167  19.678402667780 -21.211907378687 405231.51401
2455211.6611111  19.678973875351 -21.209761697396 405232.35940
2455211.6618056  19.679545063985 -21.207615592899 405233.20450
2455211.6625000  19.680116233676 -21.205469065286 405234.04933
2455211.6631944  19.680687384434 -21.203322114568 405234.89387
2455211.6638889  19.681258516254 -21.201174740835 405235.73814
2455211.6645833  19.681829629130 -21.199026944174 405236.58212
2455211.6652778  19.682400723072 -21.196878724602 405237.42583
2455211.6659722  19.682971798076 -21.194730082207 405238.26925
2455211.6666667  19.683542854141 -21.192581017051 405239.11240
2455211.6673611  19.684113903018 -21.190431501395 405239.95526
2455211.6680556  19.684684921203 -21.188281590898 405240.79785
2455211.6687500  19.685255920448 -21.186131257836 405241.64015
2455211.6694444  19.685826900748 -21.183980502291 405242.48218
2455211.6701389  19.686397862113 -21.181829324279 405243.32392
2455211.6708333  19.686968804537 -21.179677723892 405244.16539
2455211.6715278  19.687539728015 -21.177525701213 405245.00657
2455211.6722222  19.688110632558 -21.175373256261 405245.84748
2455211.6729167  19.688681518159 -21.173220389122 405246.68810
2455211.6736111  19.689252384813 -21.171067099883 405247.52845
2455211.6743056  19.689823232532 -21.168913388564 405248.36851
2455211.6750000  19.690394061308 -21.166759255250 405249.20830
2455211.6756944  19.690964871137 -21.164604700026 405250.04780
2455211.6763889  19.691535662029 -21.162449722913 405250.88702
2455211.6770833  19.692106445733 -21.160294296046 405251.72597
2455211.6777778  19.692677198739 -21.158138475380 405252.56463
2455211.6784722  19.693247932797 -21.155982233059 405253.40301
2455211.6791667  19.693818647918 -21.153825569107 405254.24112
2455211.6798611  19.694389344096 -21.151668483605 405255.07894
2455211.6805556  19.694960021324 -21.149510976641 405255.91648
2455211.6812500  19.695530679614 -21.147353048234 405256.75374
2455211.6819444  19.696101318960 -21.145194698468 405257.59072
2455211.6826389  19.696671939357 -21.143035927432 405258.42743
2455211.6833333  19.697242540815 -21.140876735144 405259.26385
2455211.6840278  19.697813123328 -21.138717121695 405260.09999
2455211.6847222  19.698383686891 -21.136557087164 405260.93585
