2456599.8659722  14.434391733180 -14.355953938679 371117.02294
2456599.8666667  14.435050798612 -14.358227492334 371114.42197
2456599.8673611  14.435709886725 -14.360500668373 371111.82152
2456599.8680556  14.436368997533 -14.362773466756 371109.22158
2456599.8687500  14.437028131026 -14.365045887350 371106.62216
2456599.8694444  14.437687275489 -14.367317872070 371104.02326
2456599.8701389  14.438346454350 -14.369589536799 371101.42487
2456599.8708333  14.439005655893 -14.371860823442 371098.82699
2456599.8715278  14.439664880117 -14.374131731897 371096.22963
2456599.8722222  14.440324127013 -14.376402262046 371093.63279
2456599.8729167  14.440983384884 -14.378672355903 371091.03646
2456599.8736111  14.441642677142 -14.380942129211 371088.44065
2456599.8743056  14.442301992068 -14.383211523905 371085.84535
2456599.8750000  14.442961329676 -14.385480539944 371083.25057
2456599.8756944  14.443620678244 -14.387749119291 371080.65631
2456599.8763889  14.444280061189 -14.390017377642 371078.06256
2456599.8770833  14.444939466812 -14.392285257033 371075.46933
2456599.8777778  14.445598895103 -14.394552757337 371072.87661
2456599.8784722  14.446258346056 -14.396819878433 371070.28441
2456599.8791667  14.446917807967 -14.399086562401 371067.69273
2456599.8798611  14.447577304258 -14.401352924859 371065.10156
2456599.8805556  14.448236823205 -14.403618907812 371062.51091
2456599.8812500  14.448896364823 -14.405884511203 371059.92078
2456599.8819444  14.449555929101 -14.408149734912 371057.33117
2456599.8826389  14.450215504323 -14.410414521004 371054.74207
2456599.8833333  14.450875113913 -14.412678985028 371052.15349
2456599.8840278  14.451534746167 -14.414943069096 371049.56542
2456599.8847222  14.452194401077 -14.417206773084 371046.97787
2456599.8854167  14.452854066916 -14.419470039052 371044.39084
2456599.8861111  14.453513767134 -14.421732982580 371041.80433
2456599.8868056  14.454173490004 -14.423995545728 371039.21834
2456599.8875000  14.454833235517 -14.426257728367 371036.63286
2456599.8881944  14.455493003688 -14.428519530454 371034.04790
2456599.8888889  14.456152782785 -14.430780894079 371031.46346
2456599.8895833  14.456812596242 -14.433041934685 371028.87953
2456599.8902778  14.457472432352 -14.435302594433 371026.29612
2456599.8909722  14.458132291106 -14.437562873202 371023.71324
2456599.8916667  14.458792172496 -14.439822770868 371021.13086
2456599.8923611  14.459452064810 -14.442082229633 371018.54901
2456599.8930556  14.460111991488 -14.444341364872 371015.96768
