2457571.5104167   4.443227139796  16.619926679402 366284.15965
2457571.5111111   4.443920937377  16.621408983693 366284.73880
2457571.5118056   4.444614744186  16.622890768264 366285.31851
2457571.5125000   4.445308560232  16.624372033084 366285.89879
2457571.5131944   4.446002385503  16.625852778078 366286.47964
2457571.5138889   4.446696219989  16.627333003176 366287.06106
2457571.5145833   4.447390063697  16.628812708348 366287.64304
2457571.5152778   4.448083916616  16.630291893522 366288.22559
2457571.5159722   4.448777778742  16.631770558640 366288.80871
2457571.5166667   4.449471650061  16.633248703628 366289.39240
2457571.5173611   4.450165530584  16.634726328458 366289.97666
2457571.5180556   4.450859420298  16.636203433057 366290.56149
2457571.5187500   4.451553319191  16.637680017351 366291.14688
2457571.5194444   4.452247227273  16.639156081320 366291.73285
2457571.5201389   4.452941144532  16.640631624880 366292.31938
2457571.5208333   4.453635081238  16.642106662717 366292.90648
2457571.5215278   4.454329016836  16.643581165291 366293.49415
2457571.5222222   4.455022961597  16.645055147282 366294.08238
2457571.5229167   4.455716915508  16.646528608625 366294.67119
2457571.5236111   4.456410878578  16.648001549288 366295.26056
2457571.5243056   4.457104850796  16.649473969202 366295.85051
2457571.5250000   4.457798832148  16.650945868285 366296.44102
2457571.5256944   4.458492822645  16.652417246519 366297.03210
2457571.5263889   4.459186822275  16.653888103827 366297.62375
2457571.5270833   4.459880831033  16.655358440154 366298.21597
2457571.5277778   4.460574848906  16.656828255422 366298.80875
2457571.5284722   4.461268875904  16.658297549611 366299.40211
2457571.5291667   4.461962912015  16.659766322643 366299.99603
2457571.5298611   4.462656957227  16.661234574445 366300.59053
2457571.5305556   4.463351011549  16.662702304991 366301.18559
2457571.5312500   4.464045074969  16.664169514205 366301.78122
2457571.5319444   4.464739147475  16.665636202022 366302.37742
2457571.5326389   4.465433229077  16.667102368412 366302.97419
2457571.5333333   4.466127319762  16.668568013293 366303.57152
2457571.5340278   4.466821419519  16.670033136607 366304.16943
2457571.5347222   4.467515538663  16.671497752963 366304.76790
2457571.5354167   4.468209656570  16.672961832997 366305.36695
2457571.5361111   4.468903783533  16.674425391278 366305.96656
2457571.5368056   4.469597919562  16.675888427788 366306.56674
2457571.5375000   4.470292064645  16.677350942456 366307.16750
2457571.5381944   4.470986218777  16.678812935217 366307.76882
2457571.5388889   4.471680381945  16.680274406004 366308.37071
2457571.5395833   4.472374554160  16.681735354787 366308.97317
2457571.5402778   4.473068735408  16.683195781497 366309.57619
2457571.5409722   4.473762925679  16.684655686058 366310.17979
2457571.5416667   4.474457124980  16.686115068443 366310.78396
2457571.5423611   4.475151333301  16.687573928582 366311.38870
2457571.5430556   4.475845550629  16.689032266403 366311.99400
2457571.5437500   4.476539776973  16.690490081878 366312.59988
2457571.5444444   4.477234012321  16.691947374932 366313.20632
2457571.5451389   4.477928256662  16.693404145499 366313.81333
2457571.5458333   4.478622510004  16.694860393546 366314.42092
2457571.5465278   4.479316772335  16.696316119007 366315.02907
2457571.5472222   4.480011043651  16.697771321820 366315.63779
2457571.5479167   4.480705323939  16.699226001910 366316.24708
2457571.5486111   4.481399623541  16.700680173794 366316.85694
2457571.5493056   4.482093921781  16.702133808319 366317.46737
2457571.5500000   4.482788228979  16.703586919952 366318.07837
2457571.5506944   4.483482545144  16.705039508673 366318.68994
2457571.5513889   4.484176870263  16.706491574403 366319.30208
2457571.5520833   4.484871204324  16.707943117074 366319.91479
2457571.5527778   4.485565547338  16.709394136660 366320.52807
2457571.5534722   4.486259899291  16.710844633085 366321.14192
2457571.5541667   4.486954260171  16.712294606280 366321.75634
2457571.5548611   4.487648629989  16.713744056216 366322.37132
2457571.5555556   4.488343008731  16.715192982825 366322.98688
2457571.5562500   4.489037396386  16.716641386031 366323.60301
