2456346.3080370  1 Max 99.
2456368.3869745  1 Min 99.
2456469.4590058  1 Max 99.
2456494.0788496  1 Min 99.
2456587.1200058  1 Max 99.
2456607.0753183  1 Min 99.
2456340.3891308  1 Eas 18.
2456383.4028495  1 Wes 28.
2456456.1916308  1 Eas 24.
2456503.8601621  1 Wes 20.
2456574.9166308  1 Eas 25.
2456614.5910058  1 Wes 19.
2456310.8723183  1 Sup 99.
2456356.0402870  1 Inf 99.
2456424.3819433  1 Sup 99.
2456483.2785370  1 Inf 99.
2456529.3722245  1 Sup 99.
2456598.3467245  1 Inf 99.
2456655.7690995  1 Sup 99.
2456647.3177870  2 Max 99.
2456597.8222245  2 Eas 47.
2456380.2116308  2 Sup 99.
2456400.5138808  4 Con 99.
2456323.1819120  5 Min 99.
2456603.8056620  5 Max 99.
2456463.1743183  5 Con 99.
2456342.9444745  6 Max 99.
2456482.6776620  6 Min 99.
2456410.8518808  6 Opo 99.
2456603.0004433  6 Con 99.
2456491.4979745  7 Max 99.
2456644.5651620  7 Min 99.
2456380.5262558  7 Con 99.
2456569.0915683  7 Opo 99.
2456451.2417558  8 Max 99.
2456610.4277558  8 Min 99.
2456344.8045370  8 Con 99.
2456531.5714433  8 Opo 99.
2456395.3061620  9 Max 99.
2456555.7289433  9 Min 99.
2456475.5038495  9 Opo 99.
2456328.2288495 16 Min 99.
2456522.5351620 16 Con 99.
2456423.3628183 17 Con 99.
2456457.0592558 18 Max 99.
2456556.1708183 18 Min 99.
2456508.5510683 18 Opo 99.
2456320.2614433 19 Min 99.
2456510.6816933 19 Con 99.
