 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     $+$29 & 12.7 & 12.7 & 12.6 & 12.5 & 12.5 & 12.6 & 12.7 & 12.8 & 13.0 & 13.1 & 13.1 & 13.1 \\
 2 & $\beta$    Cas. & $Caph$  & $ 2.3$ & \bf                         $+$59 & 16.4 & 16.3 & 16.2 & 16.1 & 16.0 & 16.0 & 16.1 & 16.3 & 16.4 & 16.6 & 16.7 & 16.8 \\
 3 & $\gamma$   Peg. & $Algenib$  & $ 2.8$ & \bf                      $+$15 & 18.3 & 18.3 & 18.2 & 18.2 & 18.2 & 18.3 & 18.4 & 18.5 & 18.6 & 18.7 & 18.7 & 18.7 \\
 4 & $\alpha$   Phe. & $Ankaa$  & $ 2.4$ & \bf                        $-$42 & 11.5 & 11.5 & 11.4 & 11.2 & 11.1 & 10.9 & 10.8 & 10.8 & 10.9 & 11.0 & 11.1 & 11.2 \\
 5 & $\alpha$   Cas. & $Schedar$  & $ 2.2$ & \bf                      $+$56 & 39.6 & 39.6 & 39.5 & 39.3 & 39.3 & 39.3 & 39.3 & 39.5 & 39.6 & 39.8 & 39.9 & 40.0 \\[1.4ex]
 6 & $\beta$    Cet. & $Diphda$  & $ 2.0$ & \bf                       $-$17 & 52.2 & 52.2 & 52.1 & 52.0 & 51.9 & 51.8 & 51.7 & 51.6 & 51.6 & 51.7 & 51.7 & 51.8 \\
 7 & $\gamma$   Cas. & $Navi$  & $*2.3$ & \bf                         $+$60 & 50.3 & 50.3 & 50.2 & 50.0 & 49.9 & 49.9 & 50.0 & 50.1 & 50.3 & 50.4 & 50.6 & 50.7 \\
 8 & $\beta$    And. & $Mirach$  & $ 2.1$ & \bf                       $+$35 & 44.3 & 44.2 & 44.2 & 44.1 & 44.1 & 44.1 & 44.2 & 44.3 & 44.4 & 44.5 & 44.6 & 44.7 \\
 9 & $\alpha$   Eri. & $Achernar$  & $ 0.5$ & \bf                     $-$57 &  7.9 &  7.8 &  7.7 &  7.6 &  7.4 &  7.2 &  7.1 &  7.1 &  7.1 &  7.3 &  7.4 &  7.5 \\
10 & $\gamma$   And. & $Almak$  & $ 2.3$ & \bf                        $+$42 & 26.2 & 26.2 & 26.1 & 26.0 & 26.0 & 26.0 & 26.0 & 26.1 & 26.2 & 26.3 & 26.4 & 26.5 \\[1.4ex]
12 & $\alpha$   Ari. & $Hamal$  & $ 2.0$ & \bf                        $+$23 & 34.0 & 34.0 & 33.9 & 33.9 & 33.9 & 33.9 & 34.0 & 34.1 & 34.2 & 34.2 & 34.3 & 34.3 \\
11 & $\alpha$ {\bf UMi.}&{\bf Polaris}  & $ 2.0$ & \bf                $+$89 & 21.5 & 21.6 & 21.5 & 21.4 & 21.2 & 21.1 & 21.0 & 21.1 & 21.1 & 21.3 & 21.5 & 21.7 \\
13 & $\theta$   Eri. & $Acamar$  & $ 3.3$ & \bf                       $-$40 & 13.3 & 13.3 & 13.3 & 13.1 & 13.0 & 12.8 & 12.7 & 12.6 & 12.6 & 12.7 & 12.8 & 12.9 \\
14 & $\alpha$   Cet. & $Menkar$  & $ 2.5$ & \bf                       $+$ 4 & 10.4 & 10.4 & 10.4 & 10.4 & 10.5 & 10.6 & 10.7 & 10.7 & 10.8 & 10.8 & 10.8 & 10.8 \\
15 & $\beta$    Per. & $Algol$  & $*2.8$ & \bf                        $+$41 &  2.5 &  2.5 &  2.5 &  2.4 &  2.3 &  2.3 &  2.3 &  2.4 &  2.5 &  2.5 &  2.6 &  2.7 \\[1.4ex]
16 & $\alpha$   Per. & $Mirfak$  & $ 1.8$ & \bf                       $+$49 & 56.5 & 56.5 & 56.4 & 56.4 & 56.3 & 56.2 & 56.2 & 56.3 & 56.3 & 56.4 & 56.5 & 56.6 \\
17 & $\eta$     Tau. & $Alcyone$  & $ 2.9$ & \bf                      $+$24 & 10.4 & 10.4 & 10.3 & 10.3 & 10.3 & 10.3 & 10.4 & 10.4 & 10.5 & 10.5 & 10.6 & 10.6 \\
18 & $\gamma$   Eri. & $Zaurak$  & $ 3.0$ & \bf                       $-$13 & 26.9 & 27.0 & 27.0 & 26.9 & 26.8 & 26.7 & 26.6 & 26.5 & 26.5 & 26.5 & 26.6 & 26.6 \\
19 & $\alpha$   Tau. & $Aldebaran$  & $ 0.9$ & \bf                    $+$16 & 33.2 & 33.1 & 33.1 & 33.1 & 33.1 & 33.2 & 33.2 & 33.3 & 33.3 & 33.3 & 33.3 & 33.3 \\
20 & $\beta$    Ori. & $Rigel$  & $ 0.1$ & \bf                        $-$ 8 & 10.7 & 10.7 & 10.8 & 10.7 & 10.7 & 10.6 & 10.5 & 10.4 & 10.3 & 10.4 & 10.4 & 10.5 \\[1.4ex]
