65 & $\alpha$ Virginis & $Spica$ & $ 1.0$ &                                      6 & 47 &  4 & 45 &  2 & 43 &  0 & 45 & 22 & 43 & 20 & 45 & 18 & 42 \\[1.4ex]
68 & $\theta$ Centauri & $Menkent$ & $ 2.1$ &                                    7 & 28 &  5 & 26 &  3 & 24 &  1 & 26 & 23 & 25 & 21 & 27 & 19 & 24 \\
69 & $\alpha$ Bootis & $Arcturus$ & $ 0.0$ &                                     7 & 37 &  5 & 35 &  3 & 33 &  1 & 35 & 23 & 33 & 21 & 35 & 19 & 32 \\
70 & $\alpha$ Centauri & $Rigil\,Kent$ & $ 0.0$ &                                8 & 01 &  6 & 00 &  3 & 57 &  2 & 00 & 23 & 57 & 22 & 00 & 19 & 57 \\
72 & $\beta$ Ursae Minoris & $Kochab$ & $ 2.1$ &                                 8 & 11 &  6 & 09 &  4 & 07 &  2 & 09 &  0 & 07 & 22 & 09 & 20 & 06 \\
74 & $\alpha$ Coronae Borealis & $Alphecca$ & $ 2.2$ &                           8 & 56 &  6 & 54 &  4 & 52 &  2 & 54 &  0 & 52 & 22 & 54 & 20 & 51 \\[1.4ex]
76 & $\alpha$ Scorpii & $Antares$ & $*1.4$ &                                     9 & 51 &  7 & 49 &  5 & 47 &  3 & 49 &  1 & 47 & 23 & 49 & 21 & 46 \\
77 & $\alpha$ Triangulis Aust. & $Atria$ & $ 1.9$ &                             10 & 11 &  8 & 09 &  6 & 07 &  4 & 09 &  2 & 07 &  0 & 09 & 22 & 06 \\
81 & $\lambda$ Scorpii & $Shaula$ & $ 1.6$ &                                    10 & 55 &  8 & 53 &  6 & 51 &  4 & 53 &  2 & 51 &  0 & 53 & 22 & 50 \\
82 & $\alpha$ Ophiuci & $Rasalhague$ & $ 2.1$ &                                 10 & 56 &  8 & 54 &  6 & 52 &  4 & 54 &  2 & 52 &  0 & 54 & 22 & 51 \\
