2460641.8604167  13.441471855440 -11.289527286587 1000000.0000000000
2460641.8611111  13.441471859666 -11.289527305376 1000000.0000000000
2460641.8618056  13.441471863892 -11.289527324166 1000000.0000000000
2460641.8625000  13.441471868119 -11.289527342957 1000000.0000000000
2460641.8631944  13.441471872346 -11.289527361750 1000000.0000000000
2460641.8638889  13.441471876573 -11.289527380543 1000000.0000000000
2460641.8645833  13.441471880801 -11.289527399338 1000000.0000000000
2460641.8652778  13.441471885028 -11.289527418134 1000000.0000000000
2460641.8659722  13.441471889257 -11.289527436931 1000000.0000000000
2460641.8666667  13.441471893485 -11.289527455729 1000000.0000000000
2460641.8673611  13.441471897714 -11.289527474529 1000000.0000000000
2460641.8680556  13.441471901943 -11.289527493329 1000000.0000000000
2460641.8687500  13.441471906173 -11.289527512131 1000000.0000000000
2460641.8694444  13.441471910402 -11.289527530934 1000000.0000000000
2460641.8701389  13.441471914633 -11.289527549738 1000000.0000000000
2460641.8708333  13.441471918863 -11.289527568543 1000000.0000000000
2460641.8715278  13.441471923094 -11.289527587349 1000000.0000000000
2460641.8722222  13.441471927325 -11.289527606157 1000000.0000000000
2460641.8729167  13.441471931556 -11.289527624965 1000000.0000000000
2460641.8736111  13.441471935788 -11.289527643775 1000000.0000000000
2460641.8743056  13.441471940020 -11.289527662586 1000000.0000000000
2460641.8750000  13.441471944253 -11.289527681398 1000000.0000000000
2460641.8756944  13.441471948486 -11.289527700212 1000000.0000000000
2460641.8763889  13.441471952719 -11.289527719026 1000000.0000000000
2460641.8770833  13.441471956952 -11.289527737842 1000000.0000000000
2460641.8777778  13.441471961186 -11.289527756659 1000000.0000000000
2460641.8784722  13.441471965420 -11.289527775476 1000000.0000000000
2460641.8791667  13.441471969655 -11.289527794296 1000000.0000000000
2460641.8798611  13.441471973889 -11.289527813116 1000000.0000000000
2460641.8805556  13.441471978125 -11.289527831937 1000000.0000000000
2460641.8812500  13.441471982360 -11.289527850760 1000000.0000000000
2460641.8819444  13.441471986596 -11.289527869584 1000000.0000000000
2460641.8826389  13.441471990832 -11.289527888409 1000000.0000000000
2460641.8833333  13.441471995068 -11.289527907235 1000000.0000000000
2460641.8840278  13.441471999305 -11.289527926062 1000000.0000000000
2460641.8847222  13.441472003542 -11.289527944891 1000000.0000000000
2460641.8854167  13.441472007780 -11.289527963720 1000000.0000000000
2460641.8861111  13.441472012017 -11.289527982551 1000000.0000000000
2460641.8868056  13.441472016256 -11.289528001383 1000000.0000000000
2460641.8875000  13.441472020494 -11.289528020216 1000000.0000000000
2460641.8881944  13.441472024733 -11.289528039051 1000000.0000000000
2460641.8888889  13.441472028972 -11.289528057886 1000000.0000000000
2460641.8895833  13.441472033211 -11.289528076723 1000000.0000000000
2460641.8902778  13.441472037451 -11.289528095561 1000000.0000000000
2460641.8909722  13.441472041691 -11.289528114400 1000000.0000000000
2460641.8916667  13.441472045932 -11.289528133240 1000000.0000000000
2460641.8923611  13.441472050172 -11.289528152081 1000000.0000000000
2460641.8930556  13.441472054413 -11.289528170924 1000000.0000000000
2460641.8937500  13.441472058655 -11.289528189768 1000000.0000000000
2460641.8944444  13.441472062897 -11.289528208613 1000000.0000000000
2460641.8951389  13.441472067139 -11.289528227459 1000000.0000000000
2460641.8958333  13.441472071381 -11.289528246306 1000000.0000000000
2460641.8965278  13.441472075624 -11.289528265154 1000000.0000000000
2460641.8972222  13.441472079867 -11.289528284004 1000000.0000000000
2460641.8979167  13.441472084110 -11.289528302855 1000000.0000000000
2460641.8986111  13.441472088354 -11.289528321707 1000000.0000000000
2460641.8993056  13.441472092598 -11.289528340560 1000000.0000000000
2460641.9000000  13.441472096843 -11.289528359415 1000000.0000000000
2460641.9006944  13.441472101087 -11.289528378270 1000000.0000000000
2460641.9013889  13.441472105333 -11.289528397127 1000000.0000000000
2460641.9020833  13.441472109578 -11.289528415985 1000000.0000000000
2460641.9027778  13.441472113824 -11.289528434844 1000000.0000000000
2460641.9034722  13.441472118070 -11.289528453704 1000000.0000000000
2460641.9041667  13.441472122316 -11.289528472566 1000000.0000000000
2460641.9048611  13.441472126563 -11.289528491429 1000000.0000000000
2460641.9055556  13.441472130810 -11.289528510292 1000000.0000000000
2460641.9062500  13.441472135058 -11.289528529158 1000000.0000000000
2460641.9069444  13.441472139305 -11.289528548024 1000000.0000000000
2460641.9076389  13.441472143553 -11.289528566891 1000000.0000000000
2460641.9083333  13.441472147802 -11.289528585760 1000000.0000000000
2460641.9090278  13.441472152051 -11.289528604630 1000000.0000000000
2460641.9097222  13.441472156300 -11.289528623501 1000000.0000000000
2460641.9104167  13.441472160549 -11.289528642373 1000000.0000000000
2460641.9111111  13.441472164799 -11.289528661247 1000000.0000000000
2460641.9118056  13.441472169049 -11.289528680121 1000000.0000000000
2460641.9125000  13.441472173300 -11.289528698997 1000000.0000000000
2460641.9131944  13.441472177550 -11.289528717874 1000000.0000000000
2460641.9138889  13.441472181801 -11.289528736752 1000000.0000000000
2460641.9145833  13.441472186053 -11.289528755632 1000000.0000000000
2460641.9152778  13.441472190305 -11.289528774512 1000000.0000000000
2460641.9159722  13.441472194557 -11.289528793394 1000000.0000000000
2460641.9166667  13.441472198809 -11.289528812277 1000000.0000000000
2460641.9173611  13.441472203062 -11.289528831161 1000000.0000000000
2460641.9180556  13.441472207315 -11.289528850047 1000000.0000000000
2460641.9187500  13.441472211569 -11.289528868933 1000000.0000000000
2460641.9194444  13.441472215822 -11.289528887821 1000000.0000000000
2460641.9201389  13.441472220076 -11.289528906710 1000000.0000000000
2460641.9208333  13.441472224331 -11.289528925601 1000000.0000000000
2460641.9215278  13.441472228586 -11.289528944492 1000000.0000000000
2460641.9222222  13.441472232841 -11.289528963385 1000000.0000000000
2460641.9229167  13.441472237096 -11.289528982278 1000000.0000000000
2460641.9236111  13.441472241352 -11.289529001174 1000000.0000000000
2460641.9243056  13.441472245608 -11.289529020070 1000000.0000000000
