 13268  02 51 32.6 +55 56 33  3.77  1.690   K3Ib comp SB
 13531  02 55 04.8 +52 48 32  3.93  0.758   G4III       
 13701  02 56 59.4 -08 51 11  3.89  1.088   K1III-IV    
 13847  02 58 41.8 -40 15 32  2.88  0.128   A4III+      
 14135  03 02 52.9 +04 08 03  2.54  1.630 P M2III       
 14146  03 02 53.9 -23 34 48  4.08  0.163   A4V         
 14328  03 05 38.2 +53 33 02  2.91  0.716   G8III+      
 14354  03 05 55.0 +38 53 03  3.32  1.528 P M3IIIvar    
 14576  03 08 55.3 +40 59 57  2.09 -0.003 W B8V         
 14632  03 09 54.2 +49 39 23  4.05  0.595   G0V         
 14668  03 10 16.6 +44 54 01  3.79  0.980   K0III       
 14838  03 12 17.4 +19 46 10  4.35  1.033   K2IIIvar    
 14879  03 12 33.9 -28 56 34  3.80  0.543   F8V         
 15474  03 20 01.7 -21 43 00  3.70  1.614 P M3/M4III    
 15510  03 20 23.2 -43 01 35  4.26  0.711   G8V         
 15549  03 21 02.3 +29 05 22  4.47  1.555   K2II-III    
 15863  03 25 09.0 +49 54 04  1.79  0.481 P F5Ib        
 15900  03 25 26.0 +09 04 07  3.61  0.887   G8III       
 16083  03 27 47.6 +09 46 19  3.73 -0.082   B9Vn        
 16228  03 30 00.5 +59 58 46  4.21  0.419 D B9Ia        
 16335  03 31 23.4 +48 02 02  4.36  1.367   K3III       
 16369  03 31 30.6 +12 58 31  4.14  1.112   K0II-III    
 16537  03 33 28.4 -09 25 12  3.72  0.881 P K2V         
 16611  03 34 17.8 -21 35 42  4.26 -0.106   B9V         
 16826  03 37 18.7 +48 13 48  4.32 -0.058 P B5Ve        
 16852  03 37 27.7 +00 26 15  4.29  0.575   F9V         
 17358  03 43 44.9 +47 49 24  3.01 -0.125   B5III SB    
 17378  03 43 48.0 -09 43 30  3.52  0.915   K0IV        
 17440  03 44 20.8 -64 46 15  3.84  1.133   K0IV SB     
 17448  03 45 02.6 +32 19 26  3.84  0.022 W B1III       
 17499  03 45 33.6 +24 08 55  3.72 -0.105   B6III       
 17529  03 45 58.7 +42 36 50  3.77  0.425   F5IIvar     
 17531  03 45 53.7 +24 30 09  4.30 -0.110   B6V         
 17573  03 46 30.8 +24 24 10  3.87 -0.063   B8III       
 17593  03 46 41.2 -12 03 58  4.43  1.604   M1III       
 17608  03 47 00.7 +23 59 00  4.14 -0.051   B6IV        
 17651  03 47 20.6 -23 12 59  4.22  0.434   F3/F5V      
 17678  03 47 04.4 -74 12 13  3.26  1.590 P M2III       
 17702  03 48 10.2 +24 08 24  2.85 -0.086   B7III       
 17797  03 49 01.4 -37 35 08  4.30 -0.038   A+          
