 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
 24   21 28  21 38  21 46  21 52  21 58  22  3  22 12  22 19  22 27  22 34  22 42  22 52  22 57  23  3  23  3  23  6  23  9  23 12  23 15  23 19  23 23  23 27  23 32  23 38  23 44  23 51  23 59  ** **
 25   21 47  22  2  22 15  22 25  22 34  22 42  22 56  23  8  23 19  23 31  23 43  23 57  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  9
 26   22 10  22 31  22 48  23  2  23 14  23 24  23 42  23 58  ** **  ** **  ** **  ** **   0  5   0 15   0 15   0 19   0 23   0 28   0 34   0 39   0 46   0 53   1  1   1 10   1 20   1 32   1 46   2  3
 27   22 41  23  7  23 28  23 44  23 58  ** **  ** **  ** **   0 13   0 27   0 43   1  2   1 13   1 25   1 25   1 31   1 37   1 43   1 50   1 58   2  6   2 16   2 27   2 39   2 54   3 11   3 33   4  2
 28   23 21  23 51  ** **  ** **  ** **   0 11   0 32   0 50   1  8   1 25   1 43   2  5   2 18   2 32   2 32   2 39   2 46   2 54   3  2   3 11   3 22   3 33   3 47   4  2   4 21   4 44   5 16   6  6
 29   ** **  ** **   0 14   0 33   0 48   1  2   1 25   1 45   2  3   2 22   2 42   3  5   3 19   3 35   3 35   3 42   3 49   3 58   4  7   4 17   4 28   4 41   4 56   5 13   5 35   6  2   6 41  -- --
 30    0 14   0 45   1  8   1 27   1 43   1 56   2 20   2 40   2 58   3 17   3 37   4  0   4 14   4 30   4 30   4 37   4 44   4 53   5  2   5 12   5 23   5 36   5 50   6  8   6 28   6 55   7 33   0 23
 31    1 18   1 47   2  9   2 26   2 41   2 54   3 16   3 34   3 52   4 10   4 29   4 50   5  3   5 17   5 17   5 24   5 31   5 39   5 47   5 56   6  6   6 18   6 31   6 46   7  3   7 25   7 54   8 36
 32    2 30   2 54   3 13   3 28   3 41   3 52   4 11   4 28   4 43   4 59   5 15   5 34   5 45   5 58   5 58   6  3   6  9   6 16   6 23   6 31   6 39   6 49   6 59   7 11   7 25   7 42   8  3   8 29
 33    3 44   4  3   4 18   4 30   4 40   4 50   5  5   5 19   5 31   5 44   5 58   6 13   6 22   6 32   6 32   6 36   6 41   6 46   6 52   6 58   7  5   7 12   7 20   7 29   7 40   7 52   8  6   8 23
