 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
112   19 58  20 25  20 46  21  3  21 18  21 30  21 51  22 10  22 27  22 44  23  2  23 23  23 36  23 50  23 50  23 56  ** **  ** **  ** **  ** **  ** **   0  3   0 17   0 33   0 53   1 18   1 51   2 49
113   21 11  21 34  21 52  22  7  22 19  22 30  22 49  23  5  23 20  23 35  23 51  ** **  ** **  ** **  ** **  ** **   0  3   0 10   0 18   0 27   0 37   0 48   1  0   1 15   1 32   1 53   2 19   2 56
114   22 25  22 43  22 58  23  9  23 19  23 28  23 43  23 56  ** **  ** **  ** **   0  9   0 20   0 32   0 32   0 37   0 43   0 49   0 56   1  4   1 12   1 21   1 31   1 43   1 56   2 12   2 32   2 56
115   23 39  23 52  ** **  ** **  ** **  ** **  ** **  ** **   0  9   0 21   0 34   0 49   0 57   1  7   1  7   1 11   1 16   1 21   1 26   1 32   1 39   1 46   1 53   2  2   2 12   2 24   2 38   2 54
116   ** **  ** **   0  2   0 11   0 18   0 24   0 35   0 45   0 54   1  3   1 13   1 24   1 30   1 37   1 37   1 40   1 44   1 47   1 51   1 55   2  0   2  5   2 10   2 17   2 24   2 32   2 41   2 51
117    0 50   0 58   1  5   1 10   1 14   1 18   1 25   1 31   1 37   1 43   1 49   1 56   1 59   2  4   2  4   2  6   2  8   2 10   2 12   2 15   2 18   2 21   2 24   2 28   2 32   2 37   2 42   2 49
118    2  1   2  4   2  6   2  8   2 10   2 11   2 14   2 16   2 18   2 20   2 23   2 25   2 27   2 29   2 29   2 29   2 30   2 31   2 32   2 33   2 34   2 35   2 37   2 38   2 40   2 41   2 43   2 46
119    3 10   3  8   3  7   3  5   3  4   3  3   3  2   3  0   2 59   2 58   2 56   2 55   2 54   2 53   2 53   2 52   2 52   2 51   2 51   2 50   2 50   2 49   2 48   2 47   2 46   2 45   2 44   2 43
120    4 20   4 13   4  8   4  3   3 59   3 56   3 50   3 44   3 40   3 35   3 30   3 24   3 21   3 17   3 17   3 15   3 14   3 12   3 10   3  8   3  5   3  3   3  0   2 57   2 53   2 50   2 45   2 40
121    5 30   5 18   5  9   5  1   4 54   4 49   4 38   4 30   4 21   4 13   4  5   3 55   3 49   3 43   3 43   3 40   3 37   3 34   3 30   3 27   3 23   3 18   3 13   3  8   3  2   2 55   2 47   2 37
122    6 41   6 25   6 11   6  0   5 51   5 43   5 29   5 16   5  5   4 54   4 42   4 28   4 20   4 11   4 11   4  7   4  3   3 59   3 54   3 48   3 43   3 36   3 29   3 21   3 12   3  2   2 50   2 35
123    7 53   7 31   7 14   7  0   6 48   6 38   6 20   6  5   5 51   5 37   5 22   5  5   4 55   4 44   4 44   4 38   4 33   4 27   4 21   4 14   4  7   3 58   3 49   3 38   3 26   3 12   2 55   2 34
124    9  2   8 36   8 16   8  0   7 46   7 34   7 14   6 56   6 40   6 23   6  6   5 46   5 34   5 21   5 21   5 15   5  9   5  2   4 54   4 46   4 37   4 27   4 15   4  2   3 47   3 28   3  5   2 35
125   10  7   9 37   9 15   8 57   8 42   8 29   8  7   7 48   7 30   7 13   6 54   6 32   6 19   6  4   6  4   5 58   5 51   5 43   5 35   5 26   5 15   5  4   4 51   4 35   4 17   3 55   3 25   2 41
126   11  2  10 32  10 10   9 52   9 36   9 23   9  1   8 41   8 23   8  5   7 46   7 23   7 10   6 55   6 55   6 48   6 41   6 33   6 24   6 15   6  4   5 52   5 38   5 22   5  3   4 38   4  5   3 10
127   11 46  11 19  10 58  10 41  10 26  10 14   9 53   9 34   9 17   8 59   8 41   8 19   8  7   7 52   7 52   7 46   7 38   7 31   7 23   7 13   7  3   6 52   6 39   6 23   6  5   5 42   5 13   4 27
128   12 21  11 57  11 39  11 24  11 12  11  1  10 42  10 25  10 10   9 54   9 38   9 18   9  7   8 54   8 54   8 49   8 42   8 36   8 28   8 20   8 11   8  2   7 50   7 37   7 22   7  4   6 41   6 10
129   12 47  12 29  12 15  12  3  11 53  11 44  11 28  11 15  11  2  10 49  10 36  10 20  10 11  10  0  10  0   9 56   9 51   9 45   9 39   9 33   9 26   9 18   9  9   8 59   8 48   8 34   8 18   7 58
130   13  9  12 56  12 46  12 37  12 30  12 24  12 12  12  3  11 53  11 44  11 34  11 23  11 16  11  8  11  8  11  5  11  2  10 58  10 54  10 49  10 44  10 39  10 33  10 26  10 18  10  9   9 58   9 46
131   13 27  13 20  13 14  13  9  13  5  13  1  12 55  12 49  12 44  12 38  12 33  12 26  12 22  12 18  12 18  12 16  12 14  12 12  12  9  12  7  12  4  12  1  11 58  11 54  11 50  11 45  11 39  11 33
132   13 43  13 42  13 40  13 39  13 38  13 38  13 36  13 35  13 34  13 33  13 32  13 30  13 29  13 29  13 29  13 28  13 28  13 27  13 27  13 26  13 26  13 25  13 25  13 24  13 23  13 22  13 21  13 20
133   14  0  14  4  14  7  14 10  14 12  14 15  14 18  14 22  14 25  14 28  14 32  14 36  14 38  14 41  14 41  14 42  14 43  14 44  14 46  14 47  14 49  14 51  14 53  14 56  14 58  15  1  15  5  15  9
134   14 18  14 28  14 36  14 43  14 48  14 54  15  2  15 10  15 18  15 25  15 33  15 43  15 48  15 54  15 54  15 57  16  0  16  3  16  7  16 10  16 14  16 19  16 24  16 30  16 36  16 43  16 52  17  1
135   14 40  14 56  15  8  15 19  15 28  15 36  15 50  16  2  16 13  16 25  16 37  16 52  17  0  17 10  17 10  17 14  17 18  17 23  17 29  17 34  17 41  17 48  17 56  18  5  18 16  18 28  18 42  19  0
136   15  8  15 29  15 46  16  0  16 12  16 23  16 41  16 57  17 11  17 26  17 42  18  1  18 12  18 24  18 24  18 30  18 36  18 43  18 50  18 57  19  6  19 16  19 27  19 39  19 54  20 12  20 34  21  3
137   15 45  16 12  16 32  16 49  17  3  17 15  17 36  17 55  18 12  18 29  18 48  19  9  19 22  19 36  19 36  19 43  19 50  19 57  20  6  20 15  20 25  20 37  20 50  21  6  21 24  21 47  22 18  23  5
138   16 35  17  4  17 26  17 44  17 59  18 12  18 35  18 54  19 13  19 31  19 50  20 13  20 26  20 42  20 42  20 48  20 56  21  4  21 13  21 22  21 33  21 46  22  0  22 16  22 36  23  1  23 36  ** **
139   17 37  18  6  18 28  18 46  19  0  19 13  19 35  19 54  20 12  20 30  20 48  21 10  21 23  21 38  21 38  21 44  21 52  21 59  22  8  22 17  22 27  22 39  22 52  23  7  23 26  23 48  ** **   0 38
140   18 50  19 15  19 34  19 50  20  3  20 15  20 35  20 52  21  8  21 24  21 41  22  0  22 12  22 25  22 25  22 31  22 37  22 44  22 51  22 59  23  8  23 18  23 29  23 42  23 57  ** **   0 18   1  3
141   20  6  20 26  20 42  20 55  21  6  21 16  21 32  21 46  22  0  22 13  22 27  22 44  22 53  23  4  23  4  23  9  23 14  23 19  23 25  23 32  23 39  23 47  23 56  ** **  ** **   0 15   0 37   1  6
142   21 22  21 37  21 48  21 58  22  7  22 14  22 27  22 38  22 48  22 58  23  9  23 21  23 29  23 37  23 37  23 40  23 44  23 48  23 53  23 58  ** **  ** **  ** **   0  6   0 17   0 30   0 46   1  5
143   22 35  22 45  22 53  22 59  23  5  23 10  23 18  23 26  23 33  23 39  23 47  23 55  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  3   0  9   0 15   0 22   0 30   0 40   0 50   1  3
144   23 47  23 52  23 56  23 59  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  0   0  5   0  5   0  8   0 10   0 13   0 16   0 19   0 22   0 26   0 30   0 35   0 40   0 46   0 53   1  0
145   ** **  ** **  ** **  ** **   0  1   0  4   0  8   0 12   0 15   0 18   0 22   0 26   0 28   0 31   0 31   0 32   0 34   0 35   0 36   0 38   0 39   0 41   0 43   0 46   0 48   0 51   0 54   0 58
146    0 57   0 57   0 57   0 57   0 57   0 57   0 56   0 56   0 56   0 56   0 56   0 56   0 56   0 56   0 56   0 56   0 55   0 55   0 55   0 55   0 55   0 55   0 55   0 55   0 55   0 55   0 55   0 55
147    2  7   2  2   1 58   1 54   1 51   1 49   1 44   1 40   1 37   1 33   1 29   1 25   1 23   1 20   1 20   1 19   1 17   1 16   1 14   1 13   1 11   1  9   1  7   1  5   1  2   0 59   0 56   0 52
148    3 17   3  7   2 59   2 52   2 46   2 41   2 33   2 25   2 18   2 11   2  4   1 55   1 51   1 45   1 45   1 43   1 40   1 37   1 34   1 31   1 28   1 24   1 20   1 15   1 10   1  4   0 58   0 50
149    4 28   4 13   4  1   3 51   3 42   3 35   3 22   3 11   3  1   2 51   2 40   2 28   2 21   2 12   2 12   2  9   2  5   2  1   1 57   1 52   1 47   1 41   1 35   1 28   1 20   1 11   1  0   0 48
150    5 39   5 19   5  3   4 50   4 40   4 30   4 14   3 59   3 46   3 33   3 19   3  3   2 54   2 43   2 43   2 39   2 34   2 28   2 22   2 16   2  9   2  2   1 53   1 43   1 32   1 20   1  4   0 46
151    6 50   6 25   6  6   5 51   5 37   5 26   5  7   4 50   4 34   4 18   4  2   3 43   3 32   3 19   3 19   3 13   3  7   3  1   2 54   2 46   2 37   2 28   2 17   2  5   1 50   1 33   1 13   0 46
152    7 57   7 29   7  7   6 50   6 35   6 22   6  1   5 42   5 25   5  7   4 49   4 27   4 15   4  1   4  1   3 54   3 47   3 40   3 32   3 23   3 13   3  2   2 49   2 35   2 17   1 56   1 29   0 50
153    8 56   8 27   8  4   7 46   7 31   7 18   6 55   6 36   6 17   5 59   5 40   5 18   5  5   4 49   4 49   4 43   4 35   4 28   4 19   4  9   3 59   3 47   3 33   3 17   2 58   2 34   2  2   1  9
154    9 45   9 17   8 55   8 38   8 23   8 10   7 48   7 29   7 12   6 54   6 35   6 13   6  0   5 45   5 45   5 39   5 32   5 24   5 15   5  6   4 55   4 44   4 30   4 14   3 56   3 32   3  1   2 11
155   10 23   9 58   9 39   9 24   9 10   8 59   8 39   8 22   8  6   7 50   7 32   7 12   7  1   6 47   6 47   6 41   6 35   6 28   6 20   6 11   6  2   5 52   5 40   5 26   5 10   4 50   4 25   3 50
156   10 52  10 32  10 17  10  4   9 53   9 44   9 27   9 12   8 59   8 45   8 31   8 14   8  4   7 53   7 53   7 48   7 43   7 37   7 30   7 24   7 16   7  7   6 58   6 47   6 34   6 20   6  2   5 39
157   11 15  11  1  10 49  10 40  10 31  10 24  10 12  10  1   9 51   9 40   9 29   9 17   9  9   9  1   9  1   8 57   8 53   8 49   8 44   8 39   8 33   8 27   8 20   8 13   8  4   7 54   7 42   7 27
158   11 33  11 25  11 18  11 12  11  7  11  2  10 54  10 47  10 41  10 34  10 27  10 19  10 15  10 10  10 10  10  7  10  5  10  2   9 59   9 56   9 53   9 49   9 45   9 40   9 35   9 29   9 22   9 14
159   11 50  11 47  11 44  11 42  11 40  11 38  11 35  11 33  11 30  11 28  11 25  11 22  11 21  11 19  11 19  11 18  11 17  11 16  11 15  11 14  11 13  11 11  11 10  11  8  11  6  11  4  11  2  10 59
160   12  6  12  8  12 10  12 12  12 13  12 14  12 16  12 18  12 20  12 22  12 24  12 26  12 27  12 29  12 29  12 29  12 30  12 31  12 32  12 33  12 34  12 35  12 36  12 37  12 39  12 40  12 42  12 44
161   12 23  12 31  12 37  12 42  12 47  12 51  12 58  13  5  13 10  13 16  13 23  13 30  13 35  13 40  13 40  13 42  13 44  13 47  13 49  13 52  13 56  13 59  14  3  14  7  14 12  14 18  14 25  14 32
162   12 43  12 56  13  7  13 16  13 24  13 31  13 43  13 53  14  3  14 13  14 24  14 36  14 44  14 52  14 52  14 56  15  0  15  4  15  8  15 13  15 19  15 25  15 32  15 39  15 48  15 58  16 10  16 24
163   13  7  13 26  13 41  13 54  14  5  14 14  14 30  14 45  14 58  15 12  15 27  15 44  15 53  16  5  16  5  16 10  16 15  16 21  16 28  16 35  16 42  16 51  17  1  17 12  17 25  17 40  17 58  18 22
164   13 39  14  3  14 22  14 38  14 51  15  3  15 23  15 40  15 56  16 13  16 30  16 51  17  3  17 16  17 16  17 23  17 29  17 36  17 44  17 53  18  3  18 13  18 26  18 40  18 57  19 18  19 44  20 22
165   14 22  14 50  15 12  15 29  15 44  15 57  16 19  16 38  16 56  17 14  17 33  17 56  18  9  18 24  18 24  18 31  18 38  18 46  18 55  19  4  19 15  19 27  19 41  19 57  20 17  20 42  21 15  22 14
166   15 18  15 47  16 10  16 28  16 43  16 56  17 18  17 38  17 56  18 14  18 33  18 56  19  9  19 24  19 24  19 31  19 38  19 46  19 55  20  4  20 15  20 27  20 41  20 57  21 17  21 41  22 13  23  8
167   16 26  16 53  17 14  17 31  17 45  17 57  18 18  18 36  18 53  19 10  19 28  19 49  20  1  20 15  20 15  20 22  20 28  20 36  20 44  20 52  21  2  21 13  21 25  21 39  21 56  22 16  22 41  23 17
168   17 42  18  5  18 22  18 37  18 49  18 59  19 17  19 33  19 48  20  3  20 18  20 36  20 47  20 58  20 58  21  4  21  9  21 15  21 22  21 29  21 37  21 46  21 56  22  7  22 20  22 36  22 54  23 17
169   18 59  19 17  19 30  19 42  19 51  20  0  20 14  20 27  20 38  20 50  21  3  21 17  21 25  21 34  21 34  21 39  21 43  21 48  21 53  21 58  22  4  22 11  22 19  22 27  22 37  22 48  23  0  23 16
170   20 16  20 28  20 37  20 45  20 52  20 58  21  8  21 17  21 25  21 34  21 43  21 53  21 59  22  5  22  5  22  8  22 11  22 15  22 18  22 22  22 26  22 31  22 36  22 42  22 48  22 55  23  4  23 13
171   21 29  21 36  21 42  21 46  21 50  21 53  21 59  22  5  22  9  22 14  22 19  22 25  22 29  22 32  22 32  22 34  22 36  22 38  22 40  22 42  22 45  22 47  22 50  22 53  22 57  23  1  23  5  23 11
172   22 41  22 43  22 44  22 45  22 46  22 47  22 49  22 50  22 52  22 53  22 54  22 56  22 57  22 58  22 58  22 58  22 59  22 59  23  0  23  0  23  1  23  2  23  2  23  3  23  4  23  5  23  7  23  8
173   23 51  23 48  23 46  23 44  23 42  23 40  23 37  23 35  23 33  23 30  23 28  23 25  23 24  23 22  23 22  23 21  23 21  23 20  23 19  23 18  23 17  23 16  23 14  23 13  23 11  23 10  23  8  23  5
174   ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  23 55  23 51  23 47  23 47  23 45  23 43  23 41  23 38  23 36  23 33  23 30  23 27  23 23  23 19  23 14  23  9  23  3
175    1  1   0 53   0 47   0 41   0 37   0 33   0 26   0 19   0 14   0  8   0  2  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  23 55  23 51  23 46  23 41  23 35  23 28  23 20  23 11  23  0
176    2 12   1 59   1 48   1 40   1 32   1 26   1 15   1  5   0 56   0 47   0 37   0 27   0 20   0 13   0 13   0 10   0  7   0  3   0  0  ** **  ** **  ** **  23 57  23 49  23 39  23 28  23 14  22 59
177    3 23   3  5   2 50   2 39   2 29   2 20   2  5   1 52   1 40   1 28   1 15   1  1   0 52   0 43   0 43   0 38   0 34   0 29   0 24   0 18   0 12   0  5  ** **  ** **  23 54  23 39  23 21  22 58
178    4 34   4 11   3 53   3 38   3 26   3 15   2 57   2 41   2 26   2 12   1 56   1 38   1 28   1 16   1 16   1 11   1  5   0 59   0 52   0 45   0 37   0 28   0 19   0  7  ** **  23 58  23 33  23  0
179    5 43   5 16   4 55   4 38   4 24   4 12   3 51   3 33   3 16   2 59   2 41   2 21   2  9   1 55   1 55   1 49   1 42   1 35   1 27   1 19   1 10   0 59   0 47   0 33   0 17  ** **  23 58  23 10
180    6 46   6 16   5 54   5 36   5 21   5  8   4 45   4 26   4  8   3 50   3 31   3  9   2 56   2 41   2 41   2 34   2 27   2 19   2 11   2  2   1 51   1 39   1 26   1 10   0 52   0 28  ** **  23 52
181    7 40   7 10   6 48   6 30   6 15   6  2   5 40   5 20   5  2   4 44   4 25   4  3   3 50   3 35   3 35   3 28   3 21   3 13   3  4   2 54   2 44   2 32   2 18   2  2   1 43   1 19   0 46  ** **
182    8 22   7 56   7 36   7 19   7  5   6 53   6 32   6 14   5 57   5 40   5 22   5  1   4 49   4 35   4 35   4 29   4 22   4 15   4  7   3 58   3 48   3 37   3 24   3  9   2 52   2 30   2  3   1 22
183    8 55   8 33   8 16   8  2   7 51   7 40   7 22   7  7   6 52   6 37   6 22   6  4   5 53   5 41   5 41   5 35   5 30   5 23   5 16   5  9   5  1   4 51   4 41   4 29   4 15   3 58   3 38   3 11
184    9 20   9  4   8 51   8 41   8 31   8 23   8  9   7 57   7 46   7 34   7 22   7  7   6 59   6 50   6 50   6 46   6 41   6 36   6 31   6 25   6 19   6 12   6  4   5 55   5 45   5 33   5 19   5  2
185    9 40   9 30   9 22   9 14   9  8   9  3   8 53   8 45   8 37   8 30   8 21   8 12   8  6   8  0   8  0   7 57   7 54   7 51   7 47   7 44   7 39   7 35   7 30   7 24   7 18   7 10   7  2   6 52
186    9 58   9 53   9 49   9 46   9 43   9 40   9 36   9 32   9 28   9 24   9 20   9 16   9 13   9 10   9 10   9  9   9  7   9  6   9  4   9  2   9  1   8 58   8 56   8 54   8 51   8 47   8 44   8 39
187   10 14  10 15  10 15  10 16  10 16  10 16  10 17  10 17  10 18  10 18  10 19  10 19  10 20  10 20  10 20  10 20  10 21  10 21  10 21  10 21  10 22  10 22  10 22  10 23  10 23  10 24  10 24  10 25
188   10 31  10 37  10 42  10 46  10 49  10 53  10 58  11  3  11  8  11 13  11 18  11 24  11 27  11 31  11 31  11 33  11 34  11 36  11 38  11 41  11 43  11 46  11 49  11 53  11 56  12  1  12  6  12 12
189   10 49  11  1  11 10  11 18  11 25  11 31  11 41  11 50  11 59  12  8  12 17  12 28  12 35  12 42  12 42  12 45  12 48  12 52  12 56  13  1  13  5  13 11  13 16  13 23  13 31  13 39  13 49  14  1
190   11 11  11 28  11 42  11 54  12  3  12 12  12 27  12 40  12 52  13  5  13 18  13 34  13 43  13 53  13 53  13 58  14  3  14  8  14 14  14 20  14 27  14 35  14 44  14 54  15  5  15 18  15 35  15 54
191   11 39  12  2  12 20  12 34  12 47  12 58  13 16  13 33  13 48  14  4  14 20  14 39  14 51  15  4  15  4  15  9  15 16  15 23  15 30  15 38  15 47  15 57  16  9  16 22  16 37  16 56  17 19  17 51
192   12 17  12 44  13  5  13 22  13 36  13 48  14 10  14 28  14 46  15  3  15 22  15 44  15 56  16 11  16 11  16 18  16 25  16 33  16 41  16 50  17  1  17 13  17 26  17 42  18  1  18 24  18 55  19 45
193   13  6  13 36  13 58  14 16  14 31  14 44  15  6  15 26  15 44  16  2  16 22  16 44  16 58  17 13  17 13  17 20  17 27  17 35  17 44  17 54  18  5  18 17  18 31  18 47  19  7  19 32  20  6  21  6
194   14  9  14 37  14 59  15 16  15 31  15 44  16  5  16 24  16 42  16 59  17 18  17 40  17 52  18  7  18  7  18 14  18 21  18 28  18 36  18 46  18 56  19  7  19 20  19 35  19 53  20 16  20 44  21 27
195   15 21  15 46  16  5  16 20  16 33  16 45  17  4  17 21  17 37  17 53  18 10  18 29  18 40  18 53  18 53  18 59  19  5  19 11  19 19  19 27  19 35  19 45  19 56  20  9  20 23  20 41  21  2  21 30
196   16 37  16 57  17 13  17 25  17 36  17 46  18  2  18 16  18 29  18 42  18 56  19 12  19 21  19 32  19 32  19 36  19 41  19 47  19 52  19 59  20  6  20 13  20 22  20 32  20 43  20 55  21 11  21 29
197   17 54  18  9  18 20  18 30  18 38  18 45  18 57  19  8  19 18  19 27  19 38  19 50  19 57  20  5  20  5  20  8  20 12  20 16  20 20  20 25  20 30  20 35  20 41  20 48  20 56  21  5  21 15  21 27
198   19 10  19 19  19 26  19 32  19 37  19 42  19 50  19 57  20  3  20  9  20 16  20 24  20 28  20 34  20 34  20 36  20 38  20 41  20 43  20 46  20 49  20 53  20 57  21  1  21  6  21 11  21 18  21 25
199   20 23  20 27  20 30  20 33  20 35  20 37  20 40  20 43  20 46  20 49  20 52  20 56  20 58  21  0  21  0  21  1  21  2  21  3  21  4  21  5  21  7  21  8  21 10  21 12  21 14  21 16  21 19  21 22
200   21 34  21 33  21 32  21 32  21 31  21 30  21 30  21 29  21 28  21 27  21 27  21 26  21 25  21 25  21 25  21 24  21 24  21 24  21 24  21 23  21 23  21 23  21 22  21 22  21 21  21 21  21 20  21 20
201   22 45  22 39  22 34  22 30  22 26  22 23  22 18  22 14  22  9  22  5  22  1  21 56  21 53  21 49  21 49  21 48  21 46  21 45  21 43  21 41  21 39  21 37  21 35  21 32  21 29  21 25  21 21  21 17
202   23 55  23 44  23 35  23 28  23 22  23 16  23  7  22 59  22 51  22 43  22 35  22 26  22 21  22 15  22 15  22 13  22 10  22  7  22  4  22  0  21 56  21 52  21 48  21 43  21 37  21 31  21 23  21 15
203   ** **  ** **  ** **  ** **  ** **  ** **  23 56  23 45  23 34  23 23  23 12  22 59  22 51  22 43  22 43  22 39  22 35  22 31  22 26  22 21  22 16  22 10  22  3  21 56  21 47  21 37  21 26  21 13
204    1  5   0 49   0 37   0 26   0 17   0 10  ** **  ** **  ** **  ** **  23 51  23 35  23 25  23 14  23 14  23  9  23  4  22 59  22 53  22 46  22 39  22 31  22 22  22 12  22  0  21 47  21 31  21 12
205    2 16   1 55   1 39   1 25   1 14   1  4   0 47   0 33   0 19   0  5  ** **  ** **  ** **  23 50  23 50  23 44  23 38  23 32  23 24  23 16  23  8  22 58  22 47  22 34  22 19  22  2  21 40  21 12
206    3 25   3  0   2 40   2 24   2 11   1 59   1 40   1 23   1  7   0 51   0 34   0 14   0  3  ** **  ** **  ** **  ** **  ** **  ** **  23 54  23 44  23 33  23 20  23  5  22 48  22 26  21 58  21 18
207    4 31   4  2   3 40   3 23   3  8   2 55   2 33   2 15   1 57   1 40   1 21   0 59   0 47   0 32   0 32   0 26   0 19   0 12   0  3  ** **  ** **  ** **  ** **  23 50  23 31  23  7  22 34  21 42
208    5 28   4 59   4 36   4 18   4  3   3 50   3 28   3  8   2 50   2 32   2 13   1 50   1 37   1 22   1 22   1 15   1  8   1  0   0 52   0 42   0 31   0 19   0  6  ** **  ** **  ** **  23 38  22 51
209    6 16   5 48   5 27   5 10   4 55   4 43   4 21   4  2   3 45   3 27   3  8   2 47   2 34   2 19   2 19   2 13   2  6   1 58   1 50   1 40   1 30   1 19   1  5   0 50   0 31   0  8  ** **  ** **
210    6 53   6 30   6 11   5 56   5 43   5 32   5 13   4 56   4 40   4 24   4  7   3 48   3 36   3 23   3 23   3 17   3 11   3  4   2 57   2 49   2 40   2 29   2 18   2  5   1 49   1 30   1  6   0 34
211    7 22   7  4   6 49   6 37   6 27   6 17   6  2   5 48   5 35   5 22   5  8   4 52   4 43   4 32   4 32   4 27   4 22   4 16   4 10   4  4   3 57   3 49   3 40   3 29   3 18   3  4   2 47   2 26
212    7 45   7 32   7 22   7 13   7  6   6 59   6 48   6 38   6 29   6 19   6  9   5 57   5 51   5 43   5 43   5 40   5 36   5 32   5 28   5 23   5 18   5 13   5  6   4 59   4 51   4 42   4 32   4 19
213    8  4   7 57   7 51   7 47   7 42   7 39   7 32   7 26   7 21   7 16   7 10   7  3   6 59   6 55   6 55   6 53   6 51   6 49   6 47   6 44   6 41   6 38   6 35   6 31   6 27   6 22   6 16   6 10
214    8 22   8 20   8 19   8 18   8 17   8 16   8 15   8 14   8 13   8 11   8 10   8  9   8  8   8  7   8  7   8  7   8  7   8  6   8  6   8  5   8  5   8  4   8  4   8  3   8  2   8  1   8  0   7 59
215    8 39   8 43   8 46   8 49   8 51   8 53   8 57   9  1   9  4   9  7   9 11   9 15   9 17   9 20   9 20   9 21   9 22   9 23   9 25   9 27   9 28   9 30   9 32   9 35   9 37   9 40   9 44   9 48
216    8 57   9  7   9 14   9 21   9 27   9 32   9 41   9 48   9 56  10  3  10 11  10 20  10 26  10 32  10 32  10 35  10 38  10 41  10 44  10 48  10 52  10 56  11  1  11  7  11 13  11 20  11 28  11 38
217    9 18   9 33   9 46   9 56  10  5  10 12  10 26  10 38  10 49  11  0  11 13  11 27  11 35  11 44  11 44  11 48  11 53  11 58  12  3  12  8  12 15  12 22  12 29  12 38  12 48  13  0  13 14  13 31
218    9 44  10  5  10 21  10 35  10 47  10 57  11 14  11 30  11 44  11 59  12 14  12 32  12 43  12 55  12 55  13  1  13  6  13 13  13 20  13 27  13 35  13 45  13 55  14  7  14 22  14 38  14 59  15 26
219   10 18  10 44  11  4  11 20  11 34  11 45  12  6  12 24  12 41  12 58  13 16  13 37  13 49  14  3  14  3  14 10  14 16  14 24  14 32  14 41  14 51  15  2  15 15  15 30  15 47  16  9  16 38  17 20
220   11  3  11 32  11 53  12 11  12 26  12 39  13  1  13 20  13 38  13 56  14 15  14 38  14 51  15  6  15  6  15 13  15 20  15 28  15 37  15 46  15 57  16  9  16 23  16 39  16 59  17 24  17 57  18 54
221   12  0  12 29  12 51  13  8  13 23  13 36  13 58  14 17  14 35  14 53  15 12  15 34  15 47  16  2  16  2  16  8  16 16  16 23  16 32  16 41  16 52  17  3  17 17  17 32  17 51  18 14  18 45  19 33
222   13  7  13 34  13 54  14 10  14 24  14 36  14 56  15 14  15 30  15 47  16  4  16 24  16 36  16 50  16 50  16 56  17  2  17  9  17 17  17 25  17 34  17 45  17 57  18 10  18 26  18 45  19  9  19 40
223   14 21  14 43  15  0  15 14  15 25  15 36  15 53  16  8  16 22  16 36  16 52  17  9  17 19  17 30  17 30  17 35  17 41  17 47  17 53  18  0  18  7  18 16  18 25  18 36  18 48  19  3  19 20  19 41
224   15 37  15 54  16  7  16 17  16 27  16 35  16 48  17  0  17 12  17 23  17 35  17 48  17 56  18  5  18  5  18  9  18 13  18 18  18 22  18 28  18 33  18 40  18 47  18 55  19  4  19 14  19 26  19 40
225   16 53  17  4  17 13  17 20  17 26  17 32  17 42  17 50  17 58  18  6  18 14  18 23  18 29  18 35  18 35  18 38  18 41  18 44  18 47  18 51  18 55  18 59  19  4  19  9  19 15  19 22  19 29  19 39
226   18  6  18 12  18 17  18 21  18 25  18 28  18 33  18 37  18 42  18 46  18 51  18 56  18 59  19  2  19  2  19  4  19  5  19  7  19  9  19 11  19 13  19 15  19 18  19 21  19 24  19 28  19 32  19 36
227   19 18  19 19  19 20  19 21  19 21  19 22  19 23  19 23  19 24  19 25  19 26  19 27  19 27  19 28  19 28  19 28  19 28  19 29  19 29  19 29  19 30  19 30  19 31  19 31  19 32  19 32  19 33  19 34
228   20 29  20 25  20 22  20 19  20 17  20 15  20 11  20  8  20  6  20  3  20  0  19 57  19 55  19 53  19 53  19 52  19 51  19 50  19 49  19 47  19 46  19 45  19 43  19 41  19 39  19 37  19 35  19 32
229   21 39  21 30  21 23  21 17  21 12  21  8  21  0  20 53  20 47  20 41  20 34  20 27  20 23  20 18  20 18  20 16  20 14  20 11  20  9  20  6  20  3  20  0  19 56  19 52  19 47  19 42  19 36  19 30
230   22 49  22 35  22 24  22 15  22  8  22  1  21 49  21 39  21 30  21 20  21 10  20 59  20 52  20 45  20 45  20 42  20 38  20 35  20 30  20 26  20 21  20 16  20 10  20  4  19 57  19 49  19 39  19 28
231   23 59  23 40  23 26  23 14  23  3  22 55  22 39  22 26  22 13  22  1  21 48  21 33  21 24  21 15  21 15  21 10  21  6  21  1  20 55  20 49  20 43  20 36  20 28  20 19  20  9  19 57  19 43  19 27
232   ** **  ** **  ** **  ** **  ** **  23 49  23 30  23 14  22 59  22 45  22 29  22 11  22  0  21 48  21 48  21 43  21 37  21 31  21 24  21 17  21  9  21  0  20 50  20 39  20 25  20 10  19 51  19 27
