2460317.9701389  16.362650299811 -25.251062778300 379444.25442
2460317.9708333  16.363324041735 -25.253164081500 379440.23803
2460317.9715278  16.363997812411 -25.255264712986 379436.22175
2460317.9722222  16.364671631345 -25.257364731620 379432.20560
2460317.9729167  16.365345488779 -25.259464107762 379428.18957
2460317.9736111  16.366019374953 -25.261562811790 379424.17367
2460317.9743056  16.366693309378 -25.263660902547 379420.15788
2460317.9750000  16.367367282296 -25.265758350400 379416.14222
2460317.9756944  16.368041283945 -25.267855125777 379412.12668
2460317.9763889  16.368715333829 -25.269951287408 379408.11126
2460317.9770833  16.369389422202 -25.272046805754 379404.09596
2460317.9777778  16.370063539292 -25.274141651233 379400.08079
2460317.9784722  16.370737704612 -25.276235882537 379396.06574
2460317.9791667  16.371411908413 -25.278329470155 379392.05081
2460317.9798611  16.372086140916 -25.280422384504 379388.03600
2460317.9805556  16.372760421645 -25.282514684261 379384.02132
2460317.9812500  16.373434740845 -25.284606339919 379380.00676
2460317.9819444  16.374109088732 -25.286697321922 379375.99233
2460317.9826389  16.374783484842 -25.288787688909 379371.97802
2460317.9833333  16.375457919412 -25.290877411386 379367.96383
2460317.9840278  16.376132382657 -25.292966459818 379363.94977
2460317.9847222  16.376806894118 -25.295054892811 379359.93583
2460317.9854167  16.377481444032 -25.297142680884 379355.92202
2460317.9861111  16.378156022604 -25.299229794526 379351.90833
2460317.9868056  16.378830649396 -25.301316292319 379347.89476
2460317.9875000  16.379505314617 -25.303402144745 379343.88132
2460317.9881944  16.380180008488 -25.305487322368 379339.86801
2460317.9888889  16.380854750576 -25.307571883722 379335.85482
2460317.9895833  16.381529531082 -25.309655799298 379331.84176
2460317.9902778  16.382204340224 -25.311739039682 379327.82882
2460317.9909722  16.382879197578 -25.313821663371 379323.81601
2460317.9916667  16.383554093341 -25.315903640877 379319.80332
2460317.9923611  16.384229017725 -25.317984942796 379315.79076
2460317.9930556  16.384903990316 -25.320065627596 379311.77833
2460317.9937500  16.385579001307 -25.322145665812 379307.76602
2460317.9944444  16.386254040905 -25.324225028045 379303.75384
2460317.9951389  16.386929128704 -25.326303772740 379299.74178
2460317.9958333  16.387604254894 -25.328381870430 379295.72985
2460317.9965278  16.388279409675 -25.330459291761 379291.71805
2460317.9972222  16.388954612654 -25.332536095120 379287.70638
2460317.9979167  16.389629854020 -25.334612251095 379283.69483
2460317.9986111  16.390305123949 -25.336687730272 379279.68341
2460317.9993056  16.390980442078 -25.338762591077 379275.67212
2460318.0000000  16.391655798584 -25.340836804092 379271.66096
2460318.0006944  16.392331183639 -25.342910339916 379267.64993
2460318.0013889  16.393006616888 -25.344983256942 379263.63902
2460318.0020833  16.393682088506 -25.347055525774 379259.62824
2460318.0027778  16.394357588656 -25.349127117022 379255.61759
2460318.0034722  16.395033136997 -25.351198089056 379251.60707
2460318.0041667  16.395708723695 -25.353268412477 379247.59668
2460318.0048611  16.396384338912 -25.355338057931 379243.58641
2460318.0055556  16.397060002314 -25.357407083739 379239.57628
2460318.0062500  16.397735704064 -25.359475460535 379235.56627
2460318.0069444  16.398411434324 -25.361543158993 379231.55640
2460318.0076389  16.399087212751 -25.363610237338 379227.54665
2460318.0083333  16.399763029523 -25.365676666285 379223.53703
2460318.0090278  16.400438874790 -25.367742416500 379219.52755
2460318.0097222  16.401114768218 -25.369807546181 379215.51819
2460318.0104167  16.401790699981 -25.371872026055 379211.50896
2460318.0111111  16.402466660225 -25.373935826810 379207.49987
2460318.0118056  16.403142668625 -25.375999006607 379203.49090
2460318.0125000  16.403818715350 -25.378061536188 379199.48207
2460318.0131944  16.404494790540 -25.380123386260 379195.47336
2460318.0138889  16.405170913882 -25.382184614947 379191.46479
2460318.0145833  16.405847075538 -25.384245193016 379187.45635
2460318.0152778  16.406523265644 -25.386305091185 379183.44804
2460318.0159722  16.407199503897 -25.388364367544 379179.43986
2460318.0166667  16.407875780454 -25.390422992873 379175.43182
2460318.0173611  16.408552085446 -25.392480937919 379171.42390
2460318.0180556  16.409228438586 -25.394538260752 379167.41612
2460318.0187500  16.409904830007 -25.396594932104 379163.40847
2460318.0194444  16.410581249854 -25.398650922799 379159.40095
2460318.0201389  16.411257717844 -25.400706290861 379155.39356
2460318.0208333  16.411934224105 -25.402761007037 379151.38631
2460318.0215278  16.412610758776 -25.404815042167 379147.37919
2460318.0222222  16.413287341586 -25.406868454238 379143.37220
2460318.0229167  16.413963962656 -25.408921214015 379139.36535
2460318.0236111  16.414640612121 -25.410973292359 379135.35863
2460318.0243056  16.415317309719 -25.413024747216 379131.35204
2460318.0250000  16.415994045566 -25.415075549377 379127.34559
2460318.0256944  16.416670809794 -25.417125669711 379123.33927
2460318.0263889  16.417347622150 -25.419175166134 379119.33308
2460318.0270833  16.418024472744 -25.421224009455 379115.32703
2460318.0277778  16.418701351704 -25.423272170561 379111.32112
2460318.0284722  16.419378278786 -25.425319707333 379107.31533
2460318.0291667  16.420055244103 -25.427366590613 379103.30968
2460318.0298611  16.420732237756 -25.429412791250 379099.30417
2460318.0305556  16.421409279532 -25.431458367151 379095.29879
2460318.0312500  16.422086359534 -25.433503289151 379091.29355
2460318.0319444  16.422763467856 -25.435547528117 379087.28844
2460318.0326389  16.423440624297 -25.437591141928 379083.28347
2460318.0333333  16.424117818952 -25.439634101429 379079.27863
2460318.0340278  16.424795041911 -25.441676377509 379075.27393
2460318.0347222  16.425472312983 -25.443718028004 379071.26937
2460318.0354167  16.426149622260 -25.445759023786 379067.26494
2460318.0361111  16.426826959825 -25.447799335754 379063.26064
