2460484.5500000  19.301004844491 -28.207404676555       1.9016506142
2460484.5506944  19.300994794575 -28.207465535328       1.9016486300
2460484.5513889  19.300984744555 -28.207526393816       1.9016466460
2460484.5520833  19.300974694409 -28.207587252012       1.9016446620
2460484.5527778  19.300964644149 -28.207648109919       1.9016426782
2460484.5534722  19.300954593774 -28.207708967537       1.9016406946
2460484.5541667  19.300944543285 -28.207769824866       1.9016387110
2460484.5548611  19.300934492680 -28.207830681907       1.9016367276
2460484.5555556  19.300924441962 -28.207891538658       1.9016347443
2460484.5562500  19.300914391128 -28.207952395120       1.9016327612
2460484.5569444  19.300904340180 -28.208013251294       1.9016307781
2460484.5576389  19.300894289117 -28.208074107179       1.9016287952
2460484.5583333  19.300884237940 -28.208134962774       1.9016268125
2460484.5590278  19.300874186659 -28.208195818085       1.9016248298
2460484.5597222  19.300864135252 -28.208256673103       1.9016228473
2460484.5604167  19.300854083731 -28.208317527831       1.9016208649
2460484.5611111  19.300844032095 -28.208378382271       1.9016188826
2460484.5618056  19.300833980345 -28.208439236421       1.9016169005
2460484.5625000  19.300823928480 -28.208500090282       1.9016149185
2460484.5631944  19.300813876500 -28.208560943854       1.9016129366
2460484.5638889  19.300803824406 -28.208621797137       1.9016109548
2460484.5645833  19.300793772198 -28.208682650131       1.9016089732
2460484.5652778  19.300783719874 -28.208743502835       1.9016069917
2460484.5659722  19.300773667436 -28.208804355250       1.9016050103
2460484.5666667  19.300763614894 -28.208865207380       1.9016030291
2460484.5673611  19.300753562227 -28.208926059216       1.9016010479
2460484.5680556  19.300743509445 -28.208986910764       1.9015990669
2460484.5687500  19.300733456549 -28.209047762022       1.9015970861
2460484.5694444  19.300723403538 -28.209108612990       1.9015951053
2460484.5701389  19.300713350413 -28.209169463669       1.9015931247
2460484.5708333  19.300703297173 -28.209230314059       1.9015911442
2460484.5715278  19.300693243819 -28.209291164159       1.9015891639
2460484.5722222  19.300683190350 -28.209352013969       1.9015871836
2460484.5729167  19.300673136766 -28.209412863491       1.9015852035
2460484.5736111  19.300663083068 -28.209473712722       1.9015832236
2460484.5743056  19.300653029266 -28.209534561668       1.9015812437
2460484.5750000  19.300642975339 -28.209595410321       1.9015792640
2460484.5756944  19.300632921297 -28.209656258683       1.9015772844
2460484.5763889  19.300622867141 -28.209717106756       1.9015753049
2460484.5770833  19.300612812871 -28.209777954540       1.9015733256
2460484.5777778  19.300602758485 -28.209838802034       1.9015713464
2460484.5784722  19.300592703986 -28.209899649238       1.9015693673
2460484.5791667  19.300582649372 -28.209960496153       1.9015673883
2460484.5798611  19.300572594643 -28.210021342777       1.9015654095
2460484.5805556  19.300562539800 -28.210082189112       1.9015634308
2460484.5812500  19.300552484842 -28.210143035157       1.9015614522
2460484.5819444  19.300542429770 -28.210203880912       1.9015594738
2460484.5826389  19.300532374594 -28.210264726381       1.9015574954
2460484.5833333  19.300522319293 -28.210325571557       1.9015555172
2460484.5840278  19.300512263877 -28.210386416443       1.9015535392
2460484.5847222  19.300502208347 -28.210447261038       1.9015515612
2460484.5854167  19.300492152703 -28.210508105344       1.9015495834
2460484.5861111  19.300482096944 -28.210568949359       1.9015476057
2460484.5868056  19.300472041070 -28.210629793085       1.9015456282
2460484.5875000  19.300461985083 -28.210690636520       1.9015436507
2460484.5881944  19.300451928980 -28.210751479666       1.9015416734
2460484.5888889  19.300441872763 -28.210812322522       1.9015396963
2460484.5895833  19.300431816433 -28.210873165087       1.9015377192
2460484.5902778  19.300421759997 -28.210934007366       1.9015357423
2460484.5909722  19.300411703437 -28.210994849351       1.9015337655
2460484.5916667  19.300401646763 -28.211055691046       1.9015317888
2460484.5923611  19.300391589974 -28.211116532451       1.9015298123
2460484.5930556  19.300381533071 -28.211177373565       1.9015278359
2460484.5937500  19.300371476053 -28.211238214389       1.9015258596
2460484.5944444  19.300361418921 -28.211299054923       1.9015238834
2460484.5951389  19.300351361674 -28.211359895167       1.9015219074
2460484.5958333  19.300341304314 -28.211420735120       1.9015199315
2460484.5965278  19.300331246838 -28.211481574783       1.9015179557
2460484.5972222  19.300321189248 -28.211542414156       1.9015159800
2460484.5979167  19.300311131555 -28.211603253242       1.9015140045
2460484.5986111  19.300301073736 -28.211664092033       1.9015120291
2460484.5993056  19.300291015803 -28.211724930534       1.9015100539
2460484.6000000  19.300280957756 -28.211785768745       1.9015080787
2460484.6006944  19.300270899595 -28.211846606665       1.9015061037
2460484.6013889  19.300260841319 -28.211907444295       1.9015041288
2460484.6020833  19.300250782928 -28.211968281634       1.9015021541
2460484.6027778  19.300240724424 -28.212029118682       1.9015001794
2460484.6034722  19.300230665805 -28.212089955441       1.9014982049
2460484.6041667  19.300220607071 -28.212150791908       1.9014962305
2460484.6048611  19.300210548224 -28.212211628084       1.9014942563
2460484.6055556  19.300200489272 -28.212272463974       1.9014922822
2460484.6062500  19.300190430196 -28.212333299570       1.9014903082
2460484.6069444  19.300180371005 -28.212394134874       1.9014883343
2460484.6076389  19.300170311700 -28.212454969888       1.9014863606
2460484.6083333  19.300160252281 -28.212515804611       1.9014843869
2460484.6090278  19.300150192747 -28.212576639043       1.9014824135
2460484.6097222  19.300140133099 -28.212637473184       1.9014804401
2460484.6104167  19.300130073337 -28.212698307035       1.9014784669
2460484.6111111  19.300120013460 -28.212759140595       1.9014764938
2460484.6118056  19.300109953469 -28.212819973863       1.9014745208
2460484.6125000  19.300099893364 -28.212880806841       1.9014725479
2460484.6131944  19.300089833145 -28.212941639528       1.9014705752
2460484.6138889  19.300079772821 -28.213002471927       1.9014686026
