2460343.2069701  1 Afe
2460387.1916951  1 Per
2460431.1764951  1 Afe
2460475.1608576  1 Per
2460519.1452076  1 Afe
2460563.1297014  1 Per
2460607.1142576  1 Afe
2460651.0989388  1 Per
2460363.4655826  1 Sur
2460397.4018014  1 Nor
2460451.4353576  1 Sur
2460485.3699951  1 Nor
2460539.4035951  1 Sur
2460573.3396576  1 Nor
2460627.3729951  1 Sur
2460661.3083138  1 Nor
2460332.8364701  1 Des
2460382.5226826  1 Asc
2460420.8058139  1 Des
2460470.4914951  1 Asc
2460508.7741701  1 Des
2460558.4606576  1 Asc
2460596.7436389  1 Des
2460646.4294076  1 Asc
2460389.4084889  2 Afe
2460501.7172139  2 Per
2460614.0878764  2 Afe
2460411.3592014  2 Sur
2460523.1563764  2 Nor
2460636.0547139  2 Sur
2460354.5082514  2 Des
2460467.6486889  2 Asc
2460579.2099889  2 Des
2460312.5268076  3 Per
2460496.7125389  3 Afe
2460438.9464264  4 Per
2460412.6125264  4 Sur
2460559.6906014  4 Asc
2460376.5275139 16 Des
2460569.0765764 17 Nor
2460405.0893264 18 Asc
2460363.0874826 19 Asc
