                             
   2454857.937500       18 53 23.6981 24.5906  18 53 23.6981 24.5906  +0.8925
   2454857.940972       18 58 24.5195 25.4120  18 58 24.5195 25.4120  +0.8925
   2454857.944444       19 03 25.3408 26.2333  19 03 25.3408 26.2333  +0.8925
   2454857.947917       19 08 26.1622 27.0547  19 08 26.1622 27.0547  +0.8925
   2454857.951389       19 13 26.9836 27.8761  19 13 26.9836 27.8761  +0.8925
   2454857.954861       19 18 27.8050 28.6975  19 18 27.8050 28.6975  +0.8925
   2454857.958333       19 23 28.6263 29.5188  19 23 28.6263 29.5188  +0.8925
   2454857.961806       19 28 29.4477 30.3402  19 28 29.4477 30.3402  +0.8925
   2454857.965278       19 33 30.2691 31.1616  19 33 30.2691 31.1616  +0.8925
   2454857.968750       19 38 31.0904 31.9830  19 38 31.0904 31.9830  +0.8925
   2454857.972222       19 43 31.9118 32.8044  19 43 31.9118 32.8044  +0.8925
   2454857.975694       19 48 32.7332 33.6257  19 48 32.7332 33.6257  +0.8925
   2454857.979167       19 53 33.5546 34.4471  19 53 33.5546 34.4471  +0.8926
   2454857.982639       19 58 34.3759 35.2685  19 58 34.3759 35.2685  +0.8926
   2454857.986111       20 03 35.1973 36.0899  20 03 35.1973 36.0899  +0.8926
   2454857.989583       20 08 36.0187 36.9112  20 08 36.0187 36.9112  +0.8926
   2454857.993056       20 13 36.8400 37.7326  20 13 36.8400 37.7326  +0.8926
   2454857.996528       20 18 37.6614 38.5540  20 18 37.6614 38.5540  +0.8926
   2454858.000000       20 23 38.4828 39.3754  20 23 38.4828 39.3754  +0.8926

