2456692.4788130  1 Per
2456736.4634442  1 Afe
2456780.4479317  1 Per
2456824.4323567  1 Afe
2456868.4169442  1 Per
2456912.4011692  1 Afe
2456956.3856692  1 Per
2457000.3702129  1 Afe
2456668.7549317  1 Sur
2456702.6901942  1 Nor
2456756.7243192  1 Sur
2456790.6591317  1 Nor
2456844.6927567  1 Sur
2456878.6275754  1 Nor
2456932.6614942  1 Sur
2456966.5967379  1 Nor
2457020.6297692  1 Sur
2456687.8108005  1 Asc
2456726.0958442  1 Des
2456775.7799692  1 Asc
2456814.0638505  1 Des
2456863.7486192  1 Asc
2456902.0328629  1 Des
2456951.7174567  1 Asc
2456990.0011879  1 Des
2456681.5649380  2 Per
2456793.8516755  2 Afe
2456906.1518630  2 Per
2457018.4985755  2 Afe
2456703.2252880  2 Nor
2456816.1297130  2 Sur
2456927.9233005  2 Nor
2456759.2828630  2 Des
2456872.4175005  2 Asc
2456983.9773630  2 Des
2456661.9989942  3 Per
2456842.5093129  3 Afe
2456662.8442630  3 Nor
2456671.3668504  3 Sur
2456691.4758692  3 Nor
2456696.9905067  3 Nor
2456719.3786254  3 Sur
2456798.6040879  3 Sur
2456807.8219441  3 Sur
2456823.7158504  3 Sur
2456839.7808879  3 Nor
2456849.4693691  3 Nor
2456869.4965066  3 Sur
2456875.2115066  3 Sur
2456977.3942628  3 Sur
2457001.4604128  3 Sur
2457016.0733003  3 Nor
2456736.3432880  3 Des
2456918.8088192  3 Asc
2456660.5163880  4 Afe
2457003.8516380  4 Per
2456977.5531130  4 Sur
2456820.2792380  4 Des
2457014.6950567 16 Des
2456783.6303067 17 Asc
2456853.9667442 18 Per
2456909.3893692 18 Sur
2456662.6034942 18 Des
2456923.6729005 19 Per
2456729.9556505 19 Nor
2457012.5830255 19 Des
