 -3   15 53  15 36  15 23  15 12  15  3  14 55  14 41  14 28  14 17  14  5  13 53  13 39  13 31  13 22  13 22  13 18  13 14  13  9  13  4  12 58  12 52  12 46  12 38  12 30  12 21  12 10  11 57  11 42
 -2   17  8  16 48  16 32  16 19  16  8  15 58  15 42  15 27  15 13  15  0  14 45  14 29  14 19  14  8  14  8  14  3  13 58  13 52  13 46  13 39  13 32  13 24  13 15  13  5  12 53  12 39  12 22  12  2
 -1   18 19  17 57  17 39  17 25  17 13  17  2  16 44  16 28  16 14  15 59  15 43  15 25  15 14  15  2  15  2  14 57  14 51  14 44  14 38  14 30  14 22  14 13  14  3  13 51  13 37  13 21  13  1  12 36
  0   19 20  18 58  18 41  18 27  18 15  18  5  17 47  17 31  17 16  17  1  16 45  16 27  16 16  16  4  16  4  15 59  15 53  15 46  15 39  15 32  15 24  15 14  15  4  14 52  14 38  14 21  14  1  13 35
  1   20 11  19 51  19 36  19 23  19 13  19  3  18 47  18 32  18 19  18  5  17 51  17 34  17 24  17 13  17 13  17  8  17  2  16 57  16 50  16 43  16 36  16 27  16 18  16  7  15 54  15 40  15 22  14 59
  2   20 51  20 36  20 23  20 13  20  4  19 57  19 43  19 31  19 20  19  9  18 57  18 43  18 35  18 25  18 25  18 21  18 17  18 12  18  7  18  1  17 55  17 48  17 41  17 32  17 22  17 11  16 57  16 41
  3   21 23  21 13  21  4  20 57  20 50  20 45  20 35  20 26  20 18  20 10  20  1  19 51  19 45  19 39  19 39  19 36  19 33  19 29  19 26  19 21  19 17  19 12  19  7  19  1  18 54  18 46  18 37  18 26
  4   21 50  21 44  21 39  21 35  21 32  21 29  21 23  21 18  21 13  21  9  21  4  20 58  20 55  20 51  20 51  20 49  20 47  20 45  20 43  20 41  20 38  20 36  20 33  20 29  20 25  20 21  20 16  20 10
  5   22 14  22 13  22 12  22 11  22 10  22  9  22  8  22  7  22  6  22  5  22  3  22  2  22  1  22  0  22  0  22  0  21 59  21 59  21 58  21 58  21 57  21 56  21 56  21 55  21 54  21 53  21 52  21 50
  6   22 37  22 40  22 42  22 45  22 46  22 48  22 51  22 53  22 56  22 58  23  1  23  4  23  5  23  7  23  7  23  8  23  9  23 10  23 11  23 12  23 13  23 14  23 16  23 17  23 19  23 21  23 23  23 26
  7   22 59  23  7  23 13  23 18  23 22  23 26  23 33  23 39  23 45  23 50  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
  8   23 23  23 35  23 44  23 52  23 59  ** **  ** **  ** **  ** **  ** **  ** **   0  3   0  7   0 12   0 12   0 14   0 16   0 18   0 20   0 23   0 26   0 29   0 33   0 37   0 41   0 46   0 52   0 59
  9   23 50  ** **  ** **  ** **  ** **   0  5   0 15   0 24   0 33   0 41   0 50   1  1   1  7   1 14   1 14   1 17   1 20   1 24   1 28   1 32   1 36   1 41   1 47   1 53   2  0   2  8   2 17   2 28
 10   ** **   0  5   0 18   0 28   0 37   0 44   0 58   1 10   1 21   1 32   1 44   1 57   2  5   2 14   2 14   2 18   2 22   2 27   2 32   2 37   2 43   2 50   2 57   3  5   3 15   3 26   3 39   3 54
