27 & $\kappa$   Ori. & $Saiph$  & $ 2.1$ & \bf                        $-$ 9 & 39.7 & 39.8 & 39.8 & 39.8 & 39.8 & 39.7 & 39.6 & 39.5 & 39.5 & 39.5 & 39.6 & 39.7 \\
28 & $\alpha$   Ori. & $Betelgeuse$  & $*0.9$ & \bf                   $+$ 7 & 24.6 & 24.6 & 24.5 & 24.5 & 24.6 & 24.6 & 24.6 & 24.7 & 24.7 & 24.7 & 24.7 & 24.6 \\
29 & $\beta$    Aur. & $Menkalinan$  & $ 1.9$ & \bf                   $+$44 & 56.9 & 57.0 & 57.0 & 57.0 & 56.9 & 56.8 & 56.8 & 56.7 & 56.7 & 56.7 & 56.7 & 56.8 \\
30 & $\beta$    CMa. & $Mirzam$  & $ 2.0$ & \bf                       $-$17 & 58.4 & 58.5 & 58.5 & 58.5 & 58.5 & 58.4 & 58.3 & 58.2 & 58.1 & 58.2 & 58.2 & 58.4 \\[1.4ex]
31 & $\alpha$   Car. & $Canopus$  & $-0.7$ & \bf                      $-$52 & 42.9 & 43.0 & 43.1 & 43.1 & 43.0 & 42.8 & 42.7 & 42.5 & 42.5 & 42.5 & 42.6 & 42.8 \\
32 & $\gamma$   Gem. & $Alhena$  & $ 1.9$ & \bf                       $+$16 & 22.3 & 22.3 & 22.3 & 22.3 & 22.3 & 22.3 & 22.3 & 22.3 & 22.3 & 22.3 & 22.3 & 22.2 \\
33 & $\alpha$   CMa. & $Sirius$  & $-1.5$ & \bf                       $-$16 & 45.5 & 45.6 & 45.7 & 45.7 & 45.6 & 45.6 & 45.5 & 45.4 & 45.3 & 45.3 & 45.4 & 45.6 \\
34 & $\epsilon$ CMa. & $Adhara$  & $ 1.5$ & \bf                       $-$29 &  0.9 &  1.0 &  1.1 &  1.1 &  1.0 &  0.9 &  0.8 &  0.7 &  0.6 &  0.6 &  0.7 &  0.9 \\
35 & $\delta$   CMa. & $Wezen$  & $ 1.9$ & \bf                        $-$26 & 26.5 & 26.7 & 26.7 & 26.7 & 26.7 & 26.6 & 26.5 & 26.4 & 26.3 & 26.3 & 26.4 & 26.5 \\[1.4ex]
36 & $\eta$     CMa. & $Aludra$  & $ 2.5$ & \bf                       $-$29 & 21.8 & 21.9 & 22.0 & 22.0 & 22.0 & 21.9 & 21.7 & 21.6 & 21.5 & 21.5 & 21.6 & 21.8 \\
37 & $\alpha$   Gem. & $Castor$  & $ 2.0$ & \bf                       $+$31 & 49.3 & 49.3 & 49.3 & 49.3 & 49.3 & 49.3 & 49.3 & 49.2 & 49.2 & 49.1 & 49.1 & 49.1 \\
38 & $\alpha$   CMi. & $Procyon$  & $ 0.4$ & \bf                      $+$ 5 &  8.8 &  8.8 &  8.8 &  8.8 &  8.8 &  8.8 &  8.8 &  8.9 &  8.9 &  8.8 &  8.8 &  8.7 \\
39 & $\beta$    Gem. & $Pollux$  & $ 1.1$ & \bf                       $+$27 & 57.1 & 57.1 & 57.2 & 57.2 & 57.2 & 57.2 & 57.2 & 57.1 & 57.1 & 57.0 & 57.0 & 56.9 \\
40 & \multicolumn{2}{@{}l||}{$\zeta$    Puppis} & $ 2.3$ & \bf        $-$40 &  5.2 &  5.4 &  5.5 &  5.6 &  5.5 &  5.5 &  5.3 &  5.2 &  5.1 &  5.1 &  5.1 &  5.3 \\[1.4ex]
41 & $\gamma$   Vel. & $Regor$  & $ 1.8$ & \bf                        $-$47 & 25.4 & 25.6 & 25.7 & 25.8 & 25.8 & 25.7 & 25.6 & 25.4 & 25.3 & 25.3 & 25.3 & 25.5 \\
42 & $\epsilon$ Car. & $Avior$  & $ 1.8$ & \bf                        $-$59 & 36.2 & 36.4 & 36.6 & 36.6 & 36.6 & 36.6 & 36.4 & 36.3 & 36.2 & 36.1 & 36.1 & 36.3 \\
43 & \multicolumn{2}{@{}l||}{$\delta$   Velorum} & $ 2.0$ & \bf       $-$54 & 49.0 & 49.2 & 49.3 & 49.4 & 49.4 & 49.3 & 49.2 & 49.1 & 48.9 & 48.9 & 48.9 & 49.1 \\
44 & \multicolumn{2}{@{}l||}{$\zeta$    Hydrae} & $ 3.1$ & \bf        $+$ 5 & 49.9 & 49.8 & 49.8 & 49.8 & 49.8 & 49.8 & 49.9 & 49.9 & 49.9 & 49.8 & 49.8 & 49.7 \\
45 & $\lambda$  Vel. & $Suhail$  & $ 2.2$ & \bf                       $-$43 & 33.1 & 33.3 & 33.4 & 33.5 & 33.5 & 33.4 & 33.3 & 33.2 & 33.1 & 33.0 & 33.1 & 33.2 \\[1.4ex]
46 & $\beta$    Car. & $Miaplacidus$  & $ 1.7$ & \bf                  $-$69 & 50.2 & 50.4 & 50.5 & 50.7 & 50.7 & 50.7 & 50.6 & 50.4 & 50.3 & 50.2 & 50.2 & 50.3 \\
47 & $\iota$    Car. & $Aspidiske$  & $ 2.5$ & \bf                    $-$59 & 23.8 & 24.0 & 24.2 & 24.3 & 24.3 & 24.3 & 24.2 & 24.0 & 23.9 & 23.8 & 23.8 & 23.9 \\
48 & \multicolumn{2}{@{}l||}{$\alpha$   Lyncis} & $ 3.1$ & \bf        $+$34 & 15.9 & 15.9 & 16.0 & 16.0 & 16.0 & 16.0 & 16.0 & 15.9 & 15.8 & 15.7 & 15.7 & 15.6 \\
49 & $\alpha$   Hya. & $Alphard$  & $ 2.0$ & \bf                      $-$ 8 & 47.3 & 47.4 & 47.4 & 47.4 & 47.4 & 47.4 & 47.4 & 47.3 & 47.3 & 47.3 & 47.3 & 47.4 \\
50 & $\alpha$   Leo. & $Regulus$  & $ 1.4$ & \bf                      $+$11 & 49.3 & 49.2 & 49.2 & 49.2 & 49.3 & 49.3 & 49.3 & 49.3 & 49.3 & 49.2 & 49.1 & 49.0 \\
