76 & $\alpha$ Scorpii & $Antares$ & $*1.4$ &                                    19 & 43 & 17 & 53 & 15 & 52 & 13 & 54 & 11 & 48 \\
77 & $\alpha$ Triangulis Aust. & $Atria$ & $ 1.9$ &                             20 & 04 & 18 & 14 & 16 & 12 & 14 & 14 & 12 & 12 \\
81 & $\lambda$ Scorpii & $Shaula$ & $ 1.6$ &                                    20 & 48 & 18 & 58 & 16 & 56 & 14 & 58 & 12 & 56 \\
82 & $\alpha$ Ophiuci & $Rasalhague$ & $ 2.1$ &                                 20 & 48 & 18 & 58 & 16 & 56 & 14 & 58 & 12 & 57 \\
84 & $\gamma$ Draconis & $Eltanin$ & $ 2.2$ &                                   21 & 09 & 19 & 19 & 17 & 17 & 15 & 19 & 13 & 18 \\[1.4ex]
85 & $\epsilon$ Sagitarii & $Kaus\,Australis$ & $ 1.9$ &                        21 & 38 & 19 & 48 & 17 & 46 & 15 & 48 & 13 & 46 \\
86 & $\alpha$ Lyrae & $Vega$ & $ 0.0$ &                                         21 & 50 & 20 & 00 & 17 & 58 & 16 & 00 & 13 & 58 \\
87 & $\sigma$ Sagitarii & $Nunki$ & $ 2.0$ &                                    22 & 09 & 20 & 19 & 18 & 17 & 16 & 19 & 14 & 17 \\
88 & $\alpha$ Aquilae & $Altair$ & $ 0.8$ &                                     23 & 04 & 21 & 14 & 19 & 12 & 17 & 14 & 15 & 12 \\
90 & $\alpha$ Pavonis & $Peacock$ & $ 1.9$ &                                    23 & 40 & 21 & 49 & 19 & 48 & 17 & 50 & 15 & 48 \\[1.4ex]
91 & $\alpha$ Cygni & $Deneb$ & $ 1.3$ &                                        23 & 54 & 22 & 04 & 20 & 02 & 18 & 04 & 16 & 02 \\
93 & $\epsilon$ Pegasi & $Enif$ & $*2.1$ &                                       0 & 57 & 23 & 07 & 21 & 05 & 19 & 07 & 17 & 05 \\
95 & $\alpha$ Gruis & $Al\,Na$'$ir$ & $ 1.7$ &                                   1 & 21 & 23 & 31 & 21 & 29 & 19 & 31 & 17 & 30 \\
97 & $\alpha$ Piscis Australis & $Fomalhaut$ & $ 1.2$ &                          2 & 10 &  0 & 20 & 22 & 18 & 20 & 21 & 18 & 19 \\
99 & $\alpha$ Pegasi & $Markab$ & $ 2.5$ &                                       2 & 17 &  0 & 27 & 22 & 25 & 20 & 27 & 18 & 26 \\
