 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     357 &  31.4 &  31.5 &  31.5 &  31.5 &  31.3 &  31.0 &  30.8 &  30.6 &  30.4 &  30.4 &  30.4 &  30.5 \\
 2 & $\beta$    Cas. & $Caph$  & $ 2.3$ & \bf                         357 &  18.3 &  18.5 &  18.6 &  18.5 &  18.2 &  17.8 &  17.4 &  17.1 &  16.9 &  16.9 &  17.0 &  17.2 \\
 3 & $\gamma$   Peg. & $Algenib$  & $ 2.8$ & \bf                      356 &  18.8 &  18.9 &  18.9 &  18.9 &  18.7 &  18.4 &  18.2 &  18.0 &  17.9 &  17.8 &  17.9 &  17.9 \\
 4 & $\alpha$   Phe. & $Ankaa$  & $ 2.4$ & \bf                        353 &   4.1 &   4.2 &   4.3 &   4.2 &   4.1 &   3.8 &   3.5 &   3.3 &   3.1 &   3.1 &   3.1 &   3.3 \\
 5 & $\alpha$   Cas. & $Schedar$  & $ 2.2$ & \bf                      349 &  27.2 &  27.4 &  27.5 &  27.5 &  27.2 &  26.9 &  26.5 &  26.2 &  25.9 &  25.9 &  25.9 &  26.1 \\[1.4ex]
 6 & $\beta$    Cet. & $Diphda$  & $ 2.0$ & \bf                       348 &  44.1 &  44.2 &  44.2 &  44.2 &  44.1 &  43.8 &  43.6 &  43.4 &  43.2 &  43.2 &  43.2 &  43.3 \\
 7 & $\gamma$   Cas. & $Navi$  & $*2.3$ & \bf                         345 &  22.5 &  22.8 &  22.9 &  22.9 &  22.6 &  22.2 &  21.8 &  21.4 &  21.2 &  21.0 &  21.1 &  21.2 \\
 8 & $\beta$    And. & $Mirach$  & $ 2.1$ & \bf                       342 &   9.2 &   9.3 &   9.4 &   9.4 &   9.2 &   9.0 &   8.7 &   8.4 &   8.3 &   8.2 &   8.1 &   8.2 \\
 9 & $\alpha$   Eri. & $Achernar$  & $ 0.5$ & \bf                     335 &  17.8 &  18.0 &  18.2 &  18.3 &  18.2 &  17.9 &  17.6 &  17.3 &  17.0 &  16.9 &  16.9 &  17.1 \\
10 & $\gamma$   And. & $Almak$  & $ 2.3$ & \bf                        328 &  34.2 &  34.3 &  34.5 &  34.5 &  34.4 &  34.1 &  33.8 &  33.5 &  33.3 &  33.1 &  33.1 &  33.1 \\[1.4ex]
12 & $\alpha$   Ari. & $Hamal$  & $ 2.0$ & \bf                        327 &  47.4 &  47.5 &  47.6 &  47.6 &  47.5 &  47.3 &  47.1 &  46.8 &  46.6 &  46.5 &  46.4 &  46.4 \\
