 2458438.679190  4  2458438.702740
 2458461.721065  6  2458461.722402
 2458435.259190  9  2458435.254727
 2458462.648565  9  2458462.644615
 2458145.940440 11  2458145.931952
 2458173.231690 11  2458173.222302
 2458200.457940 11  2458200.446390
 2458227.716065 11  2458227.701940
 2458255.061690 11  2458255.046340
 2458309.912940 11  2458309.898165
 2458337.292940 11  2458337.277377
 2458364.584815 11  2458364.567402
 2458123.825440 13  2458123.841902
 2458151.283565 13  2458151.300690
 2458178.731065 13  2458178.748440
 2458206.085440 13  2458206.104252
 2458233.336690 13  2458233.360140
 2458335.461690 18  2458335.433715
 2458130.681690 19  2458130.673502
 2458159.054190 19  2458159.039665
 2458296.885440 19  2458296.887215
