 1   1    3.287 -6.256    1 -22 -16  354.08  0.70  335.908 246.31  0.477
 1  11   -4.910  5.635  -12 -23 -14  115.46  0.93   14.671 116.86  0.967
 1  21    3.308 -2.048   -7 -20 -24  237.01  1.16    1.109  92.37  0.066
 1  31   -0.488 -3.706  -13 -23 -13  358.84  1.33  339.720 250.94  0.485
 2  10   -2.873  6.516  -20 -19 -20  120.25  1.43   23.077 122.45  0.942
 2  20    4.680 -5.499  -13 -18 -22  241.91  1.52  346.359  85.17  0.042
 3   1   -4.310  0.051  -23 -22 -13    3.83  1.55  350.088 261.64  0.496
 3  11    0.484  4.376  -24 -15 -25  125.34  1.49   22.547 116.06  0.905
 3  21    4.519 -6.574  -18 -17 -19  247.17  1.42  337.567  82.54  0.027
 3  31   -7.129  3.877  -30 -21 -16    9.24  1.32    4.059 275.24  0.519
 4  10    3.852  0.096  -22 -12 -27  130.90  1.10   11.751 100.28  0.855
 4  20    2.836 -5.155  -21 -15 -17  252.93  0.92  336.179  82.30  0.017
 4  30   -8.004  6.428  -31 -17 -21   15.15  0.72   16.734 286.65  0.562
 5  10    6.249 -4.197  -16  -9 -27  136.96  0.40  355.697  82.07  0.798
 5  20    0.096 -1.959  -20 -13 -16  259.17  0.17  342.391  81.73  0.009
 5  30   -6.606  6.470  -25 -12 -25   21.49 -0.07   23.778 291.99  0.628
 6   9    7.147 -6.579   -7  -6 -25  143.42 -0.41  342.545  69.31  0.745
 6  19   -2.769  1.905  -14 -10 -17  265.74 -0.62  354.737  74.47  0.004
 6  29   -3.510  3.616  -11  -7 -27   28.10 -0.84   21.702 289.13  0.707
 7   9    6.249 -6.327    4  -4 -21  150.07 -1.11  336.139  64.57  0.701
 7  19   -4.654  5.165   -3  -6 -20  272.42 -1.24    9.012  38.66  0.002
 7  29    0.208 -0.962    7  -4 -27   34.74 -1.37    9.433 278.43  0.786
 8   8    3.651 -3.849   15  -3 -18  156.67 -1.51  337.253  67.48  0.669
 8  18   -4.758  6.547   10  -3 -24  278.98 -1.52   20.180 340.05  0.003
 8  28    3.532 -4.996   25  -1 -24   41.18 -1.53  352.830 265.62  0.851
 9   7   -0.005 -0.142   23  -3 -17  163.02 -1.50  345.479  77.01  0.646
 9  17   -3.026  5.191   21   1 -27  285.22 -1.38   24.334 311.29  0.012
 9  27    5.553 -6.642   34   2 -21   47.25 -1.25  340.348 256.99  0.897
10   7   -3.701  3.622   24  -1 -19  168.95 -1.08  358.502  90.57  0.626
10  17   -0.134  1.387   27   5 -28  291.01 -0.85   18.657 289.92  0.033
10  27    5.626 -5.495   32   5 -18   52.85 -0.60  335.586 253.33  0.925
11   6   -6.386  6.252   17   2 -23  174.40 -0.34   12.017 103.69  0.603
11  16    3.033 -3.140   24   8 -27  296.33 -0.06    4.150 268.47  0.065
11  26    3.795 -2.352   20   8 -16   58.01  0.24  339.007 253.89  0.940
12   6   -7.330  6.701    4   6 -26  179.43  0.50   21.738 112.16  0.569
12  16    5.624 -6.166   14  11 -24  301.26  0.76  348.230 251.32  0.102
12  26    0.810  1.522    4  11 -17   62.83  1.02  349.423 258.66  0.948
