 2455926.5   4.276297318906   4.279273670751  -0.272543638661  -0.273025762834  4.030091 12.5 2455926.90512752      99.00000000
 2455927.5   4.282311686953   4.285290900592  -0.273412045506  -0.273888004539  4.022937 12.5 2455927.90334942      99.00000000
 2455928.5   4.288309372189   4.291291511010  -0.274261241541  -0.274730987461  4.015639 12.5 2455928.90156866      99.00000000
 2455929.5   4.294289847720   4.297275028484  -0.275091235556  -0.275554747000  4.008199 12.5 2455929.89978513      99.00000000
 2455930.5   4.300252667990   4.303241040970  -0.275902056685  -0.276359340560  4.000618 12.5 2455930.89799878      99.00000000
 2455931.5   4.306197312925   4.309189039239  -0.276693719985  -0.277144811035  3.992898 12.5 2455931.89620953      99.00000000
 2455932.5   4.312123342811   4.315118568861  -0.277466260287  -0.277911217852  3.985039 12.5 2455932.89441730      99.00000000
 2455933.5   4.318030241773   4.321029071600  -0.278219698080  -0.278658599584  3.977043 12.5 2455933.89262200      99.00000000
 2455934.5   4.323917572098   4.326920040995  -0.278954072807  -0.279387003006  3.968910 12.5 2455934.89082358      99.00000000
 2455935.5   4.329784815488   4.332790870793  -0.279669409045  -0.280096445712  3.960641 12.5 2455935.88902193      99.00000000
 2455936.5   4.335631525602   4.338641022519  -0.280365749368  -0.280786947083  3.952237 12.5 2455936.88721701      99.00000000
 2455937.5   4.341457166519   4.344469885329  -0.281043121062  -0.281458497294  3.943699 12.5 2455937.88540871      99.00000000
 2455938.5   4.347261264060   4.350276949905  -0.281701568878  -0.282111096770  3.935029 12.5 2455938.88359696      99.00000000
 2455939.5   4.353043243167   4.356061661248  -0.282341122608  -0.282744734555  3.926225 12.5 2455939.88178167      99.00000000
 2455940.5   4.358802580633   4.361823572637  -0.282961829971  -0.283359432376  3.917291 12.5 2455940.87996276      99.00000000
 2455941.5   4.364538644243   4.367562169226  -0.283563725123  -0.283955221716  3.908225 12.5 2455941.87814012      99.00000000
 2455942.5   4.370250849322   4.373276996046  -0.284146861560  -0.284532179080  3.899029 12.5 2455942.87631368      99.00000000
 2455943.5   4.375938501083   4.378967466441  -0.284711281300  -0.285090391014  3.889705 12.5 2455943.87448331      99.00000000
 2455944.5   4.381600955565   4.384632993156  -0.285257047495  -0.285629976242  3.880252 12.5 2455944.87264891      99.00000000
 2455945.5   4.387237465149   4.390272816244  -0.285784213961  -0.286151041533  3.870671 12.5 2455945.87081036      99.00000000
 2455946.5   4.392847343572   4.395886168919  -0.286292857199  -0.286653699709  3.860965 12.5 2455946.86896755      99.00000000
 2455947.5   4.398429813902   4.401472146308  -0.286783045941  -0.287138029659  3.851135 12.5 2455947.86712036      99.00000000
 2455948.5   4.403984176185   4.407029908854  -0.287254872241  -0.287604105265  3.841181 12.5 2455948.86526867      99.00000000
 2455949.5   4.409509655177   4.412558568527  -0.287708420724  -0.288051971590  3.831105 12.5 2455949.86341236      99.00000000
 2455950.5   4.415005566843   4.418057382604  -0.288143798565  -0.288481687502  3.820909 12.5 2455950.86155132      99.00000000
 2455951.5   4.420471161748   4.423525604397  -0.288561104503  -0.288893308461  3.810595 12.5 2455951.85968543      99.00000000
 2455952.5   4.425905787348   4.428962634293  -0.288960458062  -0.289286925104  3.800164 12.5 2455952.85781460      99.00000000
 2455953.5   4.431308725990   4.434367836350  -0.289341968851  -0.289662636167  3.789619 12.5 2455953.85593872      99.00000000
 2455954.5   4.436679354240   4.439740676024  -0.289705765574  -0.290020575630  3.778961 12.5 2455954.85405768      99.00000000
 2455955.5   4.442016978250   4.445080539578  -0.290051966013  -0.290360878573  3.768191 12.5 2455955.85217138      99.00000000
 2455956.5   4.447320993344   4.450386884767  -0.290380706016  -0.290683705297  3.757313 12.5 2455956.85027972      99.00000000
 2455957.5   4.452590719408   4.455659072404  -0.290692110130  -0.290989208288  3.746326 12.5 2455957.84838260      99.00000000
 2455958.5   4.457825562419   4.460896526713  -0.290986320414  -0.291277558021  3.735235 12.5 2455958.84647993      99.00000000
 2455959.5   4.463024850420   4.466098570582  -0.291263467504  -0.291548911963  3.724039 12.5 2455959.84457160      99.00000000
 2455960.5   4.468187996678   4.471264587793  -0.291523699041  -0.291803440471  3.712741 12.5 2455960.84265751      99.00000000
 2455961.5   4.473314335167   4.476393857994  -0.291767150988  -0.292041295238  3.701343 12.5 2455961.84073756      99.00000000
 2455962.5   4.478403283730   4.481485722187  -0.291993975592  -0.292262633180  3.689846 12.5 2455962.83881165      99.00000000
 2455963.5   4.483454176968   4.486539423816  -0.292204312935  -0.292467584200  3.678253 12.5 2455963.83687969      99.00000000
 2455964.5   4.488466427225   4.491554286643  -0.292398318565  -0.292656276383  3.666564 12.5 2455964.83494157      99.00000000
 2455965.5   4.493439353110   4.496529567962  -0.292576135568  -0.292828810427  3.654781 12.5 2455965.83299718      99.00000000
 2455966.5   4.498372337870   4.501464642620  -0.292737922279  -0.292985295683  3.642906 12.5 2455966.83104643      99.00000000
 2455967.5   4.503264655190   4.506358842833  -0.292883825308  -0.293125837374  3.630941 12.5 2455967.82908920      99.00000000
 2455968.5   4.508115629098   4.511211609433  -0.293014007639  -0.293250579065  3.618886 12.5 2455968.82712540      99.00000000
 2455969.5   4.512924462771   4.516022288246  -0.293128622602  -0.293359685280  3.606744 12.5 2455969.82515488      99.00000000
 2455970.5   4.517690405486   4.520790253120  -0.293227841988  -0.293453367342  3.594515 12.5 2455970.82317754      99.00000000
 2455971.5   4.522412587647   4.525514703696  -0.293311830298  -0.293531846148  3.582203 12.5 2455971.82119323      99.00000000
