2457517.915277778   3.116879935001  17.522422452237 1.0096838825   3.140590793129  17.590786823191 0.5575966127  16.859369033846
2457517.915972222   3.116925110259  17.522605447809 1.0096840414   3.140566198591  17.590478291416 0.5575946834  17.110053513888
2457517.916666667   3.116970285591  17.522788441021 1.0096842004   3.140541603903  17.590169756643 0.5575927547  17.360737993931
2457517.917361111   3.117015460999  17.522971431873 1.0096843593   3.140517009064  17.589861218873 0.5575908266  17.611422473974
2457517.918055555   3.117060636482  17.523154420364 1.0096845182   3.140492414075  17.589552678108 0.5575888991  17.862106954017
2457517.918750000   3.117105812039  17.523337406495 1.0096846771   3.140467818937  17.589244134351 0.5575869722  18.112791434061
2457517.919444445   3.117150987701  17.523520390389 1.0096848361   3.140443223633  17.588935587396 0.5575850459  18.363476082200
2457517.920138889   3.117196163408  17.523703371799 1.0096849950   3.140418628268  17.588627038087 0.5575831202  18.614160562245
2457517.920833333   3.117241339190  17.523886350849 1.0096851539   3.140394032682  17.588318485362 0.5575811951  18.864845042289
2457517.921527778   3.117286515046  17.524069327538 1.0096853128   3.140369436948  17.588009929653 0.5575792706  19.115529522334
2457517.922222222   3.117331690978  17.524252301867 1.0096854717   3.140344841065  17.587701370959 0.5575773467  19.366214002380
2457517.922916667   3.117376866984  17.524435273835 1.0096856306   3.140320245033  17.587392809285 0.5575754234  19.616898482425
2457517.923611111   3.117422043065  17.524618243442 1.0096857895   3.140295648854  17.587084244630 0.5575735006  19.867582962471
2457517.924305555   3.117467219221  17.524801210689 1.0096859484   3.140271052527  17.586775676998 0.5575715785  20.118267442516
2457517.925000000   3.117512395451  17.524984175576 1.0096861074   3.140246456123  17.586467106818 0.5575696569  20.368951922562
2457517.925694444   3.117557571757  17.525167138102 1.0096862663   3.140221859501  17.586158533236 0.5575677360  20.619636402608
2457517.926388889   3.117602748137  17.525350098267 1.0096864252   3.140197262732  17.585849956682 0.5575658156  20.870320882655
2457517.927083333   3.117647924622  17.525533056194 1.0096865841   3.140172665799  17.585541376950 0.5575638959  21.121005530800
2457517.927777778   3.117693101152  17.525716011637 1.0096867429   3.140148068736  17.585232794457 0.5575619767  21.371690010847
2457517.928472222   3.117738277757  17.525898964720 1.0096869018   3.140123471526  17.584924208998 0.5575600581  21.622374490895
2457517.929166667   3.117783454436  17.526081915442 1.0096870607   3.140098874242  17.584615621001 0.5575581401  21.873058970942
2457517.929861111   3.117828631190  17.526264863803 1.0096872196   3.140074276740  17.584307029614 0.5575562228  22.123743450990
2457517.930555556   3.117873808019  17.526447809803 1.0096873785   3.140049679093  17.583998435267 0.5575543060  22.374427931038
2457517.931250000   3.117918984923  17.526630753443 1.0096875374   3.140025081300  17.583689837960 0.5575523898  22.625112411087
2457517.931944444   3.117964161902  17.526813694721 1.0096876963   3.140000483433  17.583381238123 0.5575504742  22.875796891136
2457517.932638889   3.118009338956  17.526996633639 1.0096878552   3.139975885350  17.583072634904 0.5575485592  23.126481371186
2457517.933333333   3.118054516084  17.527179570195 1.0096880140   3.139951287121  17.582764028731 0.5575466448  23.377165851236
2457517.934027778   3.118099693287  17.527362504391 1.0096881729   3.139926688748  17.582455419607 0.5575447309  23.627850331285
2457517.934722222   3.118144870565  17.527545436225 1.0096883318   3.139902090302  17.582146807961 0.5575428177  23.878534811334
2457517.935416667   3.118190047948  17.527728365821 1.0096884907   3.139877491624  17.581838192732 0.5575409051  24.129219459482
2457517.936111111   3.118235225375  17.527911292934 1.0096886495   3.139852892819  17.581529574765 0.5575389931  24.379903939533
2457517.936805556   3.118280402878  17.528094217685 1.0096888084   3.139828293870  17.581220953853 0.5575370816  24.630588419583
2457517.937500000   3.118325580455  17.528277140075 1.0096889673   3.139803694848  17.580912330427 0.5575351708  24.881272899635
2457517.938194444   3.118370758107  17.528460060104 1.0096891261   3.139779095612  17.580603703633 0.5575332605  25.131957379686
2457517.938888889   3.118415935833  17.528642977771 1.0096892850   3.139754496233  17.580295073900 0.5575313509  25.382641859738
2457517.939583333   3.118461113635  17.528825893078 1.0096894439   3.139729896783  17.579986441659 0.5575294418  25.633326339788
2457517.940277778   3.118506291511  17.529008806023 1.0096896027   3.139705297118  17.579677806055 0.5575275333  25.884010819841
2457517.940972222   3.118551469462  17.529191716606 1.0096897616   3.139680697312  17.579369167519 0.5575256255  26.134695299893
2457517.941666666   3.118596647488  17.529374624829 1.0096899204   3.139656097434  17.579060526480 0.5575237182  26.385379779945
2457517.942361111   3.118641825589  17.529557530690 1.0096900793   3.139631497343  17.578751882083 0.5575218115  26.636064259999
2457517.943055556   3.118687003795  17.529740434312 1.0096902382   3.139606897094  17.578443234553 0.5575199054  26.886748908149
2457517.943750000   3.118732182045  17.529923335450 1.0096903970   3.139582296792  17.578134584732 0.5575179999  27.137433388201
2457517.944444444   3.118777360370  17.530106234227 1.0096905559   3.139557696276  17.577825931560 0.5575160950  27.388117868254
2457517.945138889   3.118822538770  17.530289130643 1.0096907147   3.139533095691  17.577517275894 0.5575141907  27.638802348308
2457517.945833333   3.118867717245  17.530472024696 1.0096908735   3.139508494895  17.577208616881 0.5575122870  27.889486828363
2457517.946527778   3.118912895794  17.530654916389 1.0096910324   3.139483893957  17.576899954950 0.5575103839  28.140171308416
2457517.947222222   3.118958074419  17.530837805719 1.0096911912   3.139459292951  17.576591290531 0.5575084814  28.390855788471
2457517.947916667   3.119003253118  17.531020692688 1.0096913501   3.139434691733  17.576282622770 0.5575065794  28.641540268525
2457517.948611111   3.119048431892  17.531203577296 1.0096915089   3.139410090446  17.575973952525 0.5575046781  28.892224748580
