 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     357 &  45.5 &  45.5 &  45.6 &  45.5 &  45.3 &  45.1 &  44.8 &  44.6 &  44.4 &  44.4 &  44.5 &  44.5 \\
28 & $\alpha$   Ori. & $Betelgeuse$  & $*0.9$ & \bf                   271 &   2.8 &   2.9 &   3.0 &   3.1 &   3.2 &   3.2 &   3.1 &   2.9 &   2.7 &   2.5 &   2.2 &   2.1 \\
29 & $\beta$    Aur. & $Menkalinan$  & $ 1.9$ & \bf                   269 &  54.1 &  54.1 &  54.3 &  54.5 &  54.6 &  54.6 &  54.4 &  54.2 &  53.9 &  53.6 &  53.3 &  53.1 \\
30 & $\beta$    CMa. & $Mirzam$  & $ 2.0$ & \bf                       264 &  11.6 &  11.7 &  11.8 &  11.9 &  12.0 &  12.1 &  12.0 &  11.8 &  11.6 &  11.4 &  11.2 &  11.0 \\[1.4ex]
31 & $\alpha$   Car. & $Canopus$  & $-0.7$ & \bf                      263 &  56.4 &  56.5 &  56.7 &  57.0 &  57.2 &  57.3 &  57.3 &  57.1 &  56.8 &  56.5 &  56.2 &  56.1 \\
32 & $\gamma$   Gem. & $Alhena$  & $ 1.9$ & \bf                       260 &  24.1 &  24.1 &  24.2 &  24.4 &  24.4 &  24.4 &  24.4 &  24.2 &  24.0 &  23.8 &  23.5 &  23.3 \\
33 & $\alpha$   CMa. & $Sirius$  & $-1.5$ & \bf                       258 &  34.9 &  34.9 &  35.0 &  35.2 &  35.3 &  35.3 &  35.3 &  35.1 &  34.9 &  34.7 &  34.5 &  34.3 \\
34 & $\epsilon$ CMa. & $Adhara$  & $ 1.5$ & \bf                       255 &  13.5 &  13.5 &  13.7 &  13.8 &  14.0 &  14.0 &  14.0 &  13.8 &  13.6 &  13.4 &  13.2 &  13.0 \\
35 & $\delta$   CMa. & $Wezen$  & $ 1.9$ & \bf                        252 &  46.8 &  46.8 &  46.9 &  47.1 &  47.2 &  47.3 &  47.2 &  47.1 &  46.9 &  46.7 &  46.5 &  46.3 \\[1.4ex]
36 & $\eta$     CMa. & $Aludra$  & $ 2.5$ & \bf                       248 &  51.4 &  51.4 &  51.5 &  51.7 &  51.8 &  51.9 &  51.9 &  51.8 &  51.6 &  51.4 &  51.1 &  50.9 \\
37 & $\alpha$   Gem. & $Castor$  & $ 2.0$ & \bf                       246 &   9.7 &   9.7 &   9.8 &   9.9 &  10.0 &  10.1 &  10.0 &   9.9 &   9.7 &   9.4 &   9.2 &   8.9 \\
38 & $\alpha$   CMi. & $Procyon$  & $ 0.4$ & \bf                      245 &   1.2 &   1.2 &   1.2 &   1.4 &   1.5 &   1.5 &   1.5 &   1.4 &   1.2 &   1.0 &   0.7 &   0.5 \\
39 & $\beta$    Gem. & $Pollux$  & $ 1.1$ & \bf                       243 &  29.4 &  29.4 &  29.5 &  29.6 &  29.7 &  29.8 &  29.7 &  29.6 &  29.4 &  29.2 &  28.9 &  28.7 \\
40 & \multicolumn{2}{@{}l||}{$\zeta$    Puppis} & $ 2.3$ & \bf        238 &  59.8 &  59.8 &  59.9 &  60.1 &  60.2 &  60.4 &  60.4 &  60.3 &  60.1 &  59.9 &  59.6 &  59.4 \\[1.4ex]
41 & $\gamma$   Vel. & $Regor$  & $ 1.8$ & \bf                        237 &  31.2 &  31.2 &  31.4 &  31.6 &  31.8 &  31.9 &  32.0 &  31.9 &  31.7 &  31.5 &  31.2 &  30.9 \\
42 & $\epsilon$ Car. & $Avior$  & $ 1.8$ & \bf                        234 &  18.1 &  18.2 &  18.3 &  18.6 &  18.9 &  19.1 &  19.2 &  19.2 &  19.0 &  18.7 &  18.3 &  18.0 \\
43 & \multicolumn{2}{@{}l||}{$\delta$   Velorum} & $ 2.0$ & \bf       228 &  44.2 &  44.1 &  44.2 &  44.5 &  44.7 &  44.9 &  45.0 &  45.0 &  44.8 &  44.6 &  44.2 &  43.9 \\
44 & \multicolumn{2}{@{}l||}{$\zeta$    Hydrae} & $ 3.1$ & \bf        225 &  59.7 &  59.7 &  59.7 &  59.8 &  59.9 &  60.0 &  60.0 &  59.9 &  59.8 &  59.6 &  59.4 &  59.1 \\
45 & $\lambda$  Vel. & $Suhail$  & $ 2.2$ & \bf                       222 &  53.3 &  53.3 &  53.3 &  53.5 &  53.7 &  53.8 &  53.9 &  53.9 &  53.7 &  53.5 &  53.2 &  53.0 \\[1.4ex]
46 & $\beta$    Car. & $Miaplacidus$  & $ 1.7$ & \bf                  221 &  39.3 &  39.2 &  39.4 &  39.8 &  40.2 &  40.6 &  40.9 &  41.0 &  40.8 &  40.4 &  39.9 &  39.4 \\
47 & $\iota$    Car. & $Aspidiske$  & $ 2.5$ & \bf                    220 &  38.5 &  38.4 &  38.5 &  38.7 &  39.0 &  39.3 &  39.4 &  39.4 &  39.3 &  39.0 &  38.6 &  38.3 \\
48 & \multicolumn{2}{@{}l||}{$\alpha$   Lyncis} & $ 3.1$ & \bf        219 &  33.4 &  33.3 &  33.3 &  33.4 &  33.6 &  33.7 &  33.7 &  33.7 &  33.5 &  33.4 &  33.1 &  32.8 \\
49 & $\alpha$   Hya. & $Alphard$  & $ 2.0$ & \bf                      217 &  57.5 &  57.4 &  57.4 &  57.5 &  57.6 &  57.7 &  57.7 &  57.7 &  57.6 &  57.4 &  57.2 &  56.9 \\
50 & $\alpha$   Leo. & $Regulus$  & $ 1.4$ & \bf                      207 &  45.1 &  44.9 &  44.9 &  45.0 &  45.1 &  45.2 &  45.2 &  45.2 &  45.1 &  45.0 &  44.8 &  44.5 \\
