76 & $\alpha$ Scorpii & $Antares$ & $*1.4$ &                                    19 & 50 & 17 & 48 & 15 & 50 & 13 & 48 & 11 & 50 \\
77 & $\alpha$ Triangulis Aust. & $Atria$ & $ 1.9$ &                             20 & 10 & 18 & 08 & 16 & 10 & 14 & 08 & 12 & 10 \\
81 & $\lambda$ Scorpii & $Shaula$ & $ 1.6$ &                                    20 & 54 & 18 & 52 & 16 & 54 & 14 & 52 & 12 & 54 \\
82 & $\alpha$ Ophiuci & $Rasalhague$ & $ 2.1$ &                                 20 & 55 & 18 & 53 & 16 & 55 & 14 & 53 & 12 & 55 \\
84 & $\gamma$ Draconis & $Eltanin$ & $ 2.2$ &                                   21 & 16 & 19 & 14 & 17 & 17 & 15 & 15 & 13 & 17 \\[1.4ex]
85 & $\epsilon$ Sagitarii & $Kaus\,Australis$ & $ 1.9$ &                        21 & 44 & 19 & 42 & 17 & 45 & 15 & 43 & 13 & 45 \\
86 & $\alpha$ Lyrae & $Vega$ & $ 0.0$ &                                         21 & 57 & 19 & 55 & 17 & 57 & 15 & 55 & 13 & 57 \\
87 & $\sigma$ Sagitarii & $Nunki$ & $ 2.0$ &                                    22 & 15 & 20 & 13 & 18 & 15 & 16 & 14 & 14 & 16 \\
88 & $\alpha$ Aquilae & $Altair$ & $ 0.8$ &                                     23 & 11 & 21 & 09 & 19 & 11 & 17 & 09 & 15 & 11 \\
90 & $\alpha$ Pavonis & $Peacock$ & $ 1.9$ &                                    23 & 46 & 21 & 44 & 19 & 46 & 17 & 44 & 15 & 46 \\[1.4ex]
91 & $\alpha$ Cygni & $Deneb$ & $ 1.3$ &                                         0 & 05 & 21 & 59 & 20 & 01 & 17 & 59 & 16 & 01 \\
93 & $\epsilon$ Pegasi & $Enif$ & $*2.1$ &                                       1 & 08 & 23 & 02 & 21 & 04 & 19 & 02 & 17 & 04 \\
95 & $\alpha$ Gruis & $Al\,Na$'$ir$ & $ 1.7$ &                                   1 & 32 & 23 & 26 & 21 & 28 & 19 & 26 & 17 & 28 \\
97 & $\alpha$ Piscis Australis & $Fomalhaut$ & $ 1.2$ &                          2 & 21 &  0 & 19 & 22 & 17 & 20 & 15 & 18 & 17 \\
99 & $\alpha$ Pegasi & $Markab$ & $ 2.5$ &                                       2 & 28 &  0 & 26 & 22 & 24 & 20 & 22 & 18 & 24 \\[1.4ex]
