65 & $\alpha$ Virginis & $Spica$ & $ 1.0$ &                                      6 & 43 &  4 & 42 &  2 & 52 &  0 & 50 & 22 & 48 & 20 & 46 & 18 & 48 \\[1.4ex]
68 & $\theta$ Centauri & $Menkent$ & $ 2.1$ &                                    7 & 25 &  5 & 23 &  3 & 33 &  1 & 31 & 23 & 29 & 21 & 27 & 19 & 29 \\
69 & $\alpha$ Bootis & $Arcturus$ & $ 0.0$ &                                     7 & 34 &  5 & 32 &  3 & 42 &  1 & 40 & 23 & 38 & 21 & 36 & 19 & 38 \\
70 & $\alpha$ Centauri & $Rigil\,Kent$ & $ 0.0$ &                                7 & 58 &  5 & 56 &  4 & 06 &  2 & 04 &  0 & 06 & 22 & 00 & 20 & 02 \\
72 & $\beta$ Ursae Minoris & $Kochab$ & $ 2.1$ &                                 8 & 08 &  6 & 06 &  4 & 16 &  2 & 14 &  0 & 16 & 22 & 11 & 20 & 13 \\
74 & $\alpha$ Coronae Borealis & $Alphecca$ & $ 2.2$ &                           8 & 52 &  6 & 51 &  5 & 01 &  2 & 59 &  1 & 01 & 22 & 55 & 20 & 57 \\[1.4ex]
76 & $\alpha$ Scorpii & $Antares$ & $*1.4$ &                                     9 & 47 &  7 & 45 &  5 & 55 &  3 & 53 &  1 & 56 & 23 & 50 & 21 & 52 \\
77 & $\alpha$ Triangulis Aust. & $Atria$ & $ 1.9$ &                             10 & 07 &  8 & 05 &  6 & 15 &  4 & 13 &  2 & 15 &  0 & 13 & 22 & 12 \\
81 & $\lambda$ Scorpii & $Shaula$ & $ 1.6$ &                                    10 & 51 &  8 & 49 &  6 & 59 &  4 & 58 &  3 & 00 &  0 & 58 & 22 & 56 \\
82 & $\alpha$ Ophiuci & $Rasalhague$ & $ 2.1$ &                                 10 & 52 &  8 & 51 &  7 & 00 &  4 & 59 &  3 & 01 &  0 & 59 & 22 & 57 \\
84 & $\gamma$ Draconis & $Eltanin$ & $ 2.2$ &                                   11 & 14 &  9 & 12 &  7 & 22 &  5 & 20 &  3 & 22 &  1 & 20 & 23 & 18 \\[1.4ex]
85 & $\epsilon$ Sagitarii & $Kaus\,Australis$ & $ 1.9$ &                        11 & 42 &  9 & 40 &  7 & 50 &  5 & 48 &  3 & 50 &  1 & 48 & 23 & 46 \\
86 & $\alpha$ Lyrae & $Vega$ & $ 0.0$ &                                         11 & 54 &  9 & 52 &  8 & 02 &  6 & 00 &  4 & 02 &  2 & 00 &  0 & 03 \\
87 & $\sigma$ Sagitarii & $Nunki$ & $ 2.0$ &                                    12 & 13 & 10 & 11 &  8 & 21 &  6 & 19 &  4 & 21 &  2 & 19 &  0 & 21 \\
88 & $\alpha$ Aquilae & $Altair$ & $ 0.8$ &                                     13 & 08 & 11 & 06 &  9 & 16 &  7 & 14 &  5 & 16 &  3 & 14 &  1 & 16 \\
90 & $\alpha$ Pavonis & $Peacock$ & $ 1.9$ &                                    13 & 43 & 11 & 41 &  9 & 51 &  7 & 49 &  5 & 51 &  3 & 49 &  1 & 51 \\[1.4ex]
91 & $\alpha$ Cygni & $Deneb$ & $ 1.3$ &                                        13 & 58 & 11 & 56 & 10 & 06 &  8 & 04 &  6 & 07 &  4 & 05 &  2 & 07 \\
93 & $\epsilon$ Pegasi & $Enif$ & $*2.1$ &                                      15 & 01 & 12 & 59 & 11 & 09 &  9 & 07 &  7 & 09 &  5 & 07 &  3 & 09 \\
95 & $\alpha$ Gruis & $Al\,Na$'$ir$ & $ 1.7$ &                                  15 & 25 & 13 & 23 & 11 & 33 &  9 & 31 &  7 & 33 &  5 & 32 &  3 & 34 \\
97 & $\alpha$ Piscis Australis & $Fomalhaut$ & $ 1.2$ &                         16 & 14 & 14 & 12 & 12 & 22 & 10 & 21 &  8 & 23 &  6 & 21 &  4 & 23 \\
99 & $\alpha$ Pegasi & $Markab$ & $ 2.5$ &                                      16 & 21 & 14 & 20 & 12 & 29 & 10 & 28 &  8 & 30 &  6 & 28 &  4 & 30 \\[1.4ex]
