 mag. 2.1 UT =  17 25.  15 23.  13 33.  11 31.   9 33.   7 31.   5 33.   3 31.   1 30.  23 28.  21 26.  19 28.
 mag. 2.4 UT =  17 26.  15 24.  13 34.  11 32.   9 34.   7 32.   5 34.   3 32.   1 30.  23 28.  21 27.  19 29.
 mag. 2.2 UT =  17 60.  15 58.  14  8.  12  6.  10  8.   8  6.   6  8.   4  6.   2  5.   0  7.  22  1.  20  3.
 mag. 0.6 UT =  18 54.  16 52.  15  2.  12 60.  11  2.   9  0.   7  2.   5  0.   2 58.   1  0.  22 55.  20 57.
 mag. 2.2 UT =  19 23.  17 22.  15 31.  13 30.  11 32.   9 30.   7 32.   5 30.   3 28.   1 30.  23 24.  21 26.
 mag. 3.4 UT =  20 14.  18 12.  16 22.  14 20.  12 22.  10 20.   8 22.   6 21.   4 19.   2 21.   0 19.  22 17.
 mag. 1.9 UT =  20 41.  18 39.  16 49.  14 47.  12 49.  10 47.   8 49.   6 47.   4 45.   2 47.   0 45.  22 43.
 mag. 1.1 UT =  21 52.  19 50.  17 60.  15 58.  13 60.  11 58.  10  0.   7 58.   5 56.   3 58.   1 57.  23 55.
 mag. 0.3 UT =  22 30.  20 28.  18 38.  16 36.  14 38.  12 36.  10 39.   8 37.   6 35.   4 37.   2 35.   0 37.
 mag. 0.2 UT =  22 33.  20 31.  18 41.  16 39.  14 41.  12 39.  10 41.   8 39.   6 37.   4 39.   2 37.   0 39.
 mag. 1.7 UT =  22 41.  20 39.  18 49.  16 47.  14 49.  12 47.  10 49.   8 47.   6 45.   4 47.   2 46.   0 48.
 mag. 0.1 UT =  23 11.  21  9.  19 19.  17 17.  15 19.  13 17.  11 19.   9 17.   7 15.   5 17.   3 16.   1 18.
 mag.-0.9 UT =  23 39.  21 37.  19 47.  17 45.  15 47.  13 45.  11 47.   9 46.   7 44.   5 46.   3 44.   1 46.
 mag.-1.6 UT =   0  4.  21 59.  20  9.  18  7.  16  9.  14  7.  12  9.  10  7.   8  5.   6  7.   4  5.   2  7.
 mag. 1.6 UT =   0 18.  22 12.  20 22.  18 20.  16 22.  14 20.  12 22.  10 20.   8 18.   6 21.   4 19.   2 21.
 mag. 0.5 UT =   0 59.  22 53.  21  3.  19  1.  17  3.  15  1.  13  3.  11  1.   8 59.   7  1.   4 59.   3  1.
 mag. 1.2 UT =   1  5.  22 59.  21  9.  19  7.  17  9.  15  7.  13  9.  11  7.   9  5.   7  7.   5  5.   3  8.
 mag. 1.7 UT =   1 41.  23 35.  21 45.  19 43.  17 46.  15 44.  13 46.  11 44.   9 42.   7 44.   5 42.   3 44.
 mag. 2.2 UT =   2 27.   0 25.  22 31.  20 29.  18 31.  16 29.  14 31.  12 29.  10 27.   8 29.   6 28.   4 30.
 mag. 1.8 UT =   2 32.   0 30.  22 36.  20 34.  18 36.  16 34.  14 36.  12 34.  10 32.   8 34.   6 32.   4 35.
 mag. 2.2 UT =   2 46.   0 45.  22 51.  20 49.  18 51.  16 49.  14 51.  12 49.  10 47.   8 49.   6 47.   4 49.
 mag. 1.3 UT =   3 27.   1 25.  23 31.  21 29.  19 31.  17 30.  15 32.  13 30.  11 28.   9 30.   7 28.   5 30.
 mag. 1.9 UT =   4 23.   2 21.   0 31.  22 25.  20 27.  18 25.  16 27.  14 25.  12 23.  10 25.   8 23.   6 25.
 mag. 2.2 UT =   5  8.   3  6.   1 16.  23 10.  21 12.  19 10.  17 12.  15 10.  13  8.  11 10.   9  8.   7 10.
 mag. 1.6 UT =   5 45.   3 43.   1 53.  23 47.  21 49.  19 47.  17 50.  15 48.  13 46.  11 48.   9 46.   7 48.
 mag. 1.6 UT =   5 50.   3 48.   1 58.  23 52.  21 54.  19 52.  17 54.  15 52.  13 50.  11 52.   9 50.   7 53.
 mag. 1.5 UT =   6  6.   4  4.   2 14.   0 12.  22 10.  20  9.  18 11.  16  9.  14  7.  12  9.  10  7.   8  9.
 mag. 1.7 UT =   6 12.   4 10.   2 20.   0 18.  22 17.  20 15.  18 17.  16 15.  14 13.  12 15.  10 13.   8 15.
 mag. 2.4 UT =   6 42.   4 40.   2 50.   0 48.  22 46.  20 44.  18 46.  16 45.  14 43.  12 45.  10 43.   8 45.
 mag. 1.2 UT =   6 43.   4 42.   2 52.   0 50.  22 48.  20 46.  18 48.  16 46.  14 44.  12 46.  10 44.   8 46.
 mag. 2.3 UT =   7 25.   5 23.   3 33.   1 31.  23 29.  21 27.  19 29.  17 27.  15 26.  13 28.  11 26.   9 28.
 mag. 0.2 UT =   7 34.   5 32.   3 42.   1 40.  23 38.  21 36.  19 38.  17 36.  15 34.  13 36.  11 35.   9 37.
 mag. 0.3 UT =   7 58.   5 56.   4  6.   2  4.   0  6.  22  0.  20  2.  18  0.  15 59.  14  1.  11 59.  10  1.
 mag. 2.2 UT =   8  8.   6  6.   4 16.   2 14.   0 16.  22 11.  20 13.  18 11.  16  9.  14 11.  12  9.  10 11.
 mag. 2.3 UT =   8 52.   6 51.   5  1.   2 59.   1  1.  22 55.  20 57.  18 55.  16 53.  14 55.  12 53.  10 55.
 mag. 1.2 UT =   9 47.   7 45.   5 55.   3 53.   1 56.  23 50.  21 52.  19 50.  17 48.  15 50.  13 48.  11 50.
 mag. 1.9 UT =  10  7.   8  5.   6 15.   4 13.   2 15.   0 13.  22 12.  20 10.  18  8.  16 10.  14  8.  12 10.
 mag. 1.7 UT =  10 51.   8 49.   6 59.   4 58.   2 60.   0 58.  22 56.  20 54.  18 52.  16 54.  14 52.  12 54.
 mag. 2.1 UT =  10 52.   8 51.   7  0.   4 59.   3  1.   0 59.  22 57.  20 55.  18 53.  16 55.  14 53.  12 55.
 mag. 2.4 UT =  11 14.   9 12.   7 22.   5 20.   3 22.   1 20.  23 18.  21 16.  19 14.  17 17.  15 15.  13 17.
 mag. 1.9 UT =  11 42.   9 40.   7 50.   5 48.   3 50.   1 48.  23 46.  21 44.  19 42.  17 45.  15 43.  13 45.
 mag. 0.1 UT =  11 54.   9 52.   8  2.   6  0.   4  2.   2  0.   0  3.  21 57.  19 55.  17 57.  15 55.  13 57.
 mag. 2.1 UT =  12 13.  10 11.   8 21.   6 19.   4 21.   2 19.   0 21.  22 15.  20 13.  18 15.  16 14.  14 16.
 mag. 0.9 UT =  13  8.  11  6.   9 16.   7 14.   5 16.   3 14.   1 16.  23 11.  21  9.  19 11.  17  9.  15 11.
 mag. 2.1 UT =  13 43.  11 41.   9 51.   7 49.   5 51.   3 49.   1 51.  23 46.  21 44.  19 46.  17 44.  15 46.
 mag. 1.3 UT =  13 58.  11 56.  10  6.   8  4.   6  7.   4  5.   2  7.   0  5.  21 59.  20  1.  17 59.  16  1.
 mag. 2.5 UT =  15  1.  12 59.  11  9.   9  7.   7  9.   5  7.   3  9.   1  8.  23  2.  21  4.  19  2.  17  4.
 mag. 2.2 UT =  15 25.  13 23.  11 33.   9 31.   7 33.   5 32.   3 34.   1 32.  23 26.  21 28.  19 26.  17 28.
 mag. 1.3 UT =  16 14.  14 12.  12 22.  10 21.   8 23.   6 21.   4 23.   2 21.   0 19.  22 17.  20 15.  18 17.
 mag. 2.6 UT =  16 21.  14 20.  12 29.  10 28.   8 30.   6 28.   4 30.   2 28.   0 26.  22 24.  20 22.  18 24.
