 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     $+$29 &  9.3 &  9.2 &  9.2 &  9.1 &  9.1 &  9.2 &  9.3 &  9.4 &  9.5 &  9.6 &  9.7 &  9.7 \\
 2 & $\beta$    Cas. & $Caph$  & $ 2.3$ & \bf                         $+$59 & 13.0 & 12.9 & 12.8 & 12.7 & 12.6 & 12.6 & 12.7 & 12.8 & 13.0 & 13.2 & 13.3 & 13.3 \\
 3 & $\gamma$   Peg. & $Algenib$  & $ 2.8$ & \bf                      $+$15 & 14.8 & 14.8 & 14.7 & 14.7 & 14.8 & 14.8 & 14.9 & 15.1 & 15.1 & 15.2 & 15.2 & 15.2 \\
 4 & $\alpha$   Phe. & $Ankaa$  & $ 2.4$ & \bf                        $-$42 & 14.9 & 14.9 & 14.8 & 14.6 & 14.5 & 14.3 & 14.2 & 14.2 & 14.3 & 14.4 & 14.5 & 14.6 \\
 5 & $\alpha$   Cas. & $Schedar$  & $ 2.2$ & \bf                      $+$56 & 36.2 & 36.2 & 36.0 & 35.9 & 35.8 & 35.8 & 35.9 & 36.0 & 36.2 & 36.3 & 36.5 & 36.5 \\[1.4ex]
 6 & $\beta$    Cet. & $Diphda$  & $ 2.0$ & \bf                       $-$17 & 55.6 & 55.6 & 55.6 & 55.5 & 55.4 & 55.2 & 55.1 & 55.1 & 55.1 & 55.1 & 55.2 & 55.3 \\
 7 & $\gamma$   Cas. & $Navi$  & $*2.3$ & \bf                         $+$60 & 47.0 & 46.9 & 46.8 & 46.6 & 46.6 & 46.5 & 46.6 & 46.7 & 46.9 & 47.0 & 47.2 & 47.3 \\
 8 & $\beta$    And. & $Mirach$  & $ 2.1$ & \bf                       $+$35 & 41.0 & 40.9 & 40.9 & 40.8 & 40.7 & 40.8 & 40.8 & 41.0 & 41.1 & 41.2 & 41.3 & 41.3 \\
 9 & $\alpha$   Eri. & $Achernar$  & $ 0.5$ & \bf                     $-$57 & 11.1 & 11.0 & 10.9 & 10.7 & 10.6 & 10.4 & 10.3 & 10.3 & 10.3 & 10.5 & 10.6 & 10.7 \\
10 & $\gamma$   And. & $Almak$  & $ 2.3$ & \bf                        $+$42 & 23.2 & 23.2 & 23.1 & 23.0 & 23.0 & 22.9 & 23.0 & 23.1 & 23.2 & 23.3 & 23.4 & 23.5 \\[1.4ex]
12 & $\alpha$   Ari. & $Hamal$  & $ 2.0$ & \bf                        $+$23 & 31.0 & 31.0 & 31.0 & 30.9 & 30.9 & 30.9 & 31.0 & 31.1 & 31.2 & 31.2 & 31.3 & 31.3 \\
11 & $\alpha$ {\bf UMi.}&{\bf Polaris}  & $ 2.0$ & \bf                $+$89 & 19.1 & 19.1 & 19.1 & 18.9 & 18.8 & 18.6 & 18.6 & 18.6 & 18.7 & 18.8 & 19.0 & 19.2 \\
13 & $\theta$   Eri. & $Acamar$  & $ 3.3$ & \bf                       $-$40 & 15.8 & 15.8 & 15.8 & 15.7 & 15.5 & 15.4 & 15.2 & 15.2 & 15.2 & 15.3 & 15.4 & 15.5 \\
14 & $\alpha$   Cet. & $Menkar$  & $ 2.5$ & \bf                       $+$ 4 &  8.0 &  8.0 &  8.0 &  8.0 &  8.0 &  8.1 &  8.2 &  8.2 &  8.3 &  8.3 &  8.3 &  8.2 \\
15 & $\beta$    Per. & $Algol$  & $*2.8$ & \bf                        $+$40 & 60.1 & 60.1 & 60.0 & 60.0 & 59.9 & 59.9 & 59.9 & 59.9 & 60.0 & 60.1 & 60.2 & 60.2 \\[1.4ex]
16 & $\alpha$   Per. & $Mirfak$  & $ 1.8$ & \bf                       $+$49 & 54.2 & 54.3 & 54.2 & 54.1 & 54.0 & 54.0 & 54.0 & 54.0 & 54.1 & 54.1 & 54.3 & 54.4 \\
17 & $\eta$     Tau. & $Alcyone$  & $ 2.9$ & \bf                      $+$24 &  8.4 &  8.4 &  8.4 &  8.4 &  8.3 &  8.3 &  8.4 &  8.4 &  8.5 &  8.5 &  8.6 &  8.6 \\
18 & $\gamma$   Eri. & $Zaurak$  & $ 3.0$ & \bf                       $-$13 & 28.7 & 28.8 & 28.8 & 28.7 & 28.7 & 28.5 & 28.4 & 28.3 & 28.3 & 28.3 & 28.4 & 28.5 \\
19 & $\alpha$   Tau. & $Aldebaran$  & $ 0.9$ & \bf                    $+$16 & 31.9 & 31.9 & 31.9 & 31.9 & 31.8 & 31.9 & 31.9 & 31.9 & 32.0 & 32.0 & 32.0 & 32.0 \\
20 & $\beta$    Ori. & $Rigel$  & $ 0.1$ & \bf                        $-$ 8 & 11.4 & 11.5 & 11.5 & 11.5 & 11.4 & 11.4 & 11.3 & 11.2 & 11.2 & 11.2 & 11.2 & 11.3 \\[1.4ex]
