 2458549.5 -15.0352 -3.1074   0.409033989286   378.3225  -3.9178  0.0016
 2458550.5 -15.1759 -3.0797   0.409034117712   378.3215  -3.8900  0.0015
 2458551.5 -15.3212 -3.0674   0.409034170807   378.3186  -3.8778  0.0015
 2458552.5 -15.4558 -3.0710   0.409034147409   378.3199  -3.8813  0.0015
 2458553.5 -15.5645 -3.0879   0.409034059115   378.3315  -3.8983  0.0015
 2458554.5 -15.6352 -3.1133   0.409033929934   378.3582  -3.9238  0.0016
 2458555.5 -15.6610 -3.1400   0.409033794007   378.4026  -3.9507  0.0016
 2458556.5 -15.6430 -3.1599   0.409033691221   378.4646  -3.9709  0.0016
 2458557.5 -15.5909 -3.1650   0.409033660335   378.5401  -3.9763  0.0016
 2458558.5 -15.5240 -3.1495   0.409033729571   378.6217  -3.9611  0.0016
 2458559.5 -15.4683 -3.1118   0.409033905969   378.6988  -3.9238  0.0016
 2458560.5 -15.4507 -3.0567   0.409034167075   378.7610  -3.8689  0.0015
 2458561.5 -15.4899 -2.9948   0.409034460708   378.8005  -3.8072  0.0014
 2458562.5 -15.5884 -2.9405   0.409034717773   378.8164  -3.7530  0.0014
 2458563.5 -15.7294 -2.9065   0.409034876207   378.8153  -3.7190  0.0014
 2458564.5 -15.8829 -2.8994   0.409034904702   378.8092  -3.7118  0.0014
 2458565.5 -16.0173 -2.9171   0.409034812595   378.8105  -3.7295  0.0014
 2458566.5 -16.1108 -2.9511   0.409034641400   378.8280  -3.7636  0.0014
 2458567.5 -16.1567 -2.9902   0.409034445614   378.8645  -3.8029  0.0014
 2458568.5 -16.1610 -3.0242   0.409034274544   378.9175  -3.8371  0.0015
 2458569.5 -16.1380 -3.0462   0.409034161997   378.9814  -3.8593  0.0015
 2458570.5 -16.1048 -3.0528   0.409034123889   379.0495  -3.8662  0.0015
 2458571.5 -16.0774 -3.0439   0.409034160526   379.1153  -3.8576  0.0015
 2458572.5 -16.0690 -3.0220   0.409034260429   379.1736  -3.8360  0.0015
 2458573.5 -16.0891 -2.9911   0.409034403959   379.2206  -3.8053  0.0014
 2458574.5 -16.1426 -2.9564   0.409034566353   379.2543  -3.7707  0.0014
 2458575.5 -16.2299 -2.9233   0.409034720402   379.2746  -3.7377  0.0014
 2458576.5 -16.3468 -2.8975   0.409034839251   379.2831  -3.7119  0.0014
 2458577.5 -16.4840 -2.8838   0.409034899672   379.2834  -3.6982  0.0013
 2458578.5 -16.6286 -2.8853   0.409034885777   379.2808  -3.6998  0.0013
 2458579.5 -16.7648 -2.9033   0.409034792627   379.2814  -3.7177  0.0014
 2458580.5 -16.8767 -2.9358   0.409034628789   379.2916  -3.7503  0.0014
 2458581.5 -16.9506 -2.9782   0.409034416839   379.3169  -3.7928  0.0014
 2458582.5 -16.9786 -3.0235   0.409034190992   379.3604  -3.8383  0.0015
 2458583.5 -16.9611 -3.0633   0.409033991687   379.4221  -3.8784  0.0015
 2458584.5 -16.9072 -3.0897   0.409033857809   379.4983  -3.9050  0.0015
 2458585.5 -16.8346 -3.0967   0.409033817762   379.5820  -3.9124  0.0015
 2458586.5 -16.7670 -3.0823   0.409033881024   379.6638  -3.8984  0.0015
 2458587.5 -16.7286 -3.0498   0.409034032381   379.7341  -3.8662  0.0015
 2458588.5 -16.7382 -3.0075   0.409034231549   379.7853  -3.8240  0.0015
 2458589.5 -16.8026 -2.9672   0.409034420575   379.8147  -3.7839  0.0014
 2458590.5 -16.9132 -2.9414   0.409034539284   379.8257  -3.7582  0.0014
 2458591.5 -17.0467 -2.9390   0.409034544733   379.8275  -3.7558  0.0014
 2458592.5 -17.1728 -2.9621   0.409034426421   379.8321  -3.7789  0.0014
 2458593.5 -17.2648 -3.0057   0.409034209214   379.8502  -3.8225  0.0015
 2458594.5 -17.3076 -3.0594   0.409033942405   379.8878  -3.8764  0.0015
 2458595.5 -17.3010 -3.1120   0.409033681339   379.9451  -3.9292  0.0015
 2458596.5 -17.2568 -3.1541   0.409033471020   380.0173  -3.9716  0.0016
 2458597.5 -17.1933 -3.1803   0.409033337535   380.0973  -3.9982  0.0016
 2458598.5 -17.1293 -3.1894   0.409033287373   380.1776  -4.0076  0.0016
 2458599.5 -17.0809 -3.1832   0.409033311389   380.2518  -4.0017  0.0016
 2458600.5 -17.0593 -3.1656   0.409033390047   380.3153  -3.9845  0.0016
 2458601.5 -17.0708 -3.1421   0.409033498029   380.3657  -3.9611  0.0016
 2458602.5 -17.1169 -3.1182   0.409033607694   380.4023  -3.9374  0.0016
 2458603.5 -17.1941 -3.0996   0.409033691754   380.4266  -3.9189  0.0015
 2458604.5 -17.2946 -3.0913   0.409033725800   380.4415  -3.9106  0.0015
 2458605.5 -17.4063 -3.0971   0.409033691234   380.4519  -3.9165  0.0015
 2458606.5 -17.5141 -3.1190   0.409033578711   380.4638  -3.9385  0.0016
 2458607.5 -17.6011 -3.1564   0.409033391581   380.4839  -3.9759  0.0016
 2458608.5 -17.6520 -3.2053   0.409033148140   380.5183  -4.0250  0.0016
 2458609.5 -17.6560 -3.2591   0.409032881051   380.5714  -4.0790  0.0017
 2458610.5 -17.6106 -3.3090   0.409032632646   380.6441  -4.1293  0.0017
 2458611.5 -17.5238 -3.3462   0.409032446138   380.7333  -4.1669  0.0018
 2458612.5 -17.4135 -3.3638   0.409032354601   380.8320  -4.1849  0.0018
 2458613.5 -17.3040 -3.3592   0.409032371012   380.9304  -4.1806  0.0018
 2458614.5 -17.2203 -3.3348   0.409032482765   381.0187  -4.1567  0.0017
 2458615.5 -17.1819 -3.2985   0.409032652853   381.0890  -4.1206  0.0017
 2458616.5 -17.1967 -3.2611   0.409032827964   381.1381  -4.0834  0.0017
 2458617.5 -17.2591 -3.2342   0.409032951814   381.1683  -4.0567  0.0017
 2458618.5 -17.3504 -3.2271   0.409032980389   381.1869  -4.0496  0.0016
 2458619.5 -17.4439 -3.2435   0.409032894588   381.2045  -4.0661  0.0017
 2458620.5 -17.5129 -3.2812   0.409032705695   381.2317  -4.1039  0.0017
 2458621.5 -17.5381 -3.3324   0.409032451219   381.2763  -4.1553  0.0017
