6337.88881256864	-4762.46953659351	-881.75560047783	5176.98334892734	-4762.93097827776	-881.70718669915	5176.51056352685
6337.88882645768	-4756.08274692285	-880.10658298841	5183.10675297976	-4756.54454366076	-880.05806461274	5182.63455224338
6337.88885192104	-4744.35373394556	-877.07969877684	5194.31133815722	-4744.81617932976	-877.03098877540	5193.84021089169
6337.88886696759	-4737.41089099948	-875.28885426631	5200.91901665007	-4737.87371828151	-875.24003111438	5200.44852466802
6337.88898733977	-4681.54760757246	-860.90295953906	5253.42515462008	-4682.01345261627	-860.85323342694	5252.95977026505
6337.88899428443	-4678.30736565718	-860.06980309358	5256.43505853989	-4678.77338276904	-860.02002500941	5255.96997022294
6337.88907414678	-4640.91033800252	-850.46388723507	5290.89590860146	-4641.37831782541	-850.41351245358	5290.43423520559
6337.88907646168	-4639.82265551991	-850.18477247851	5291.89059916136	-4640.29069179308	-850.13438042791	5291.42902503804
6337.88909729530	-4630.02442117615	-847.67109052456	5300.83194210831	-4630.49296436951	-847.62054312390	5300.37126214050
6337.88911812901	-4620.20939707311	-845.15433126910	5309.75410297802	-4620.67844516962	-845.10362864111	5309.29431846712
6337.88914474983	-4607.64367912137	-841.93402860336	5321.12660419317	-4608.11336942819	-841.88312780991	5320.66796575479
6337.88915285180	-4603.81393551207	-840.95295112325	5324.58154159718	-4604.28382061757	-840.90199005901	5324.12325237940
6337.88917600041	-4592.85788299728	-838.14732449411	5334.43674798827	-4593.32832298406	-838.09619133061	5333.97945761625
6337.88919336171	-4584.62745687918	-836.04066669359	5341.81241644653	-4585.09831137905	-835.98940455815	5341.35587623607
6337.88921882511	-4572.53526749322	-832.94708578422	5352.60579202838	-4573.00672739666	-832.89563464648	5352.15035365720
6337.88930447478	-4531.68059461519	-822.50846730281	5388.69767510654	-4532.15406853962	-822.45638181660	5388.24595671918
6337.88940285605	-4484.41129785580	-810.45616640539	5429.74684376010	-4484.88704250467	-810.40335494728	5429.29942416495
6337.88943410667	-4469.32043129625	-806.61405123516	5442.69430249022	-4469.79688764703	-806.56100977875	5442.24825408735
6337.88959614661	-4390.49118397714	-786.58744637951	5509.11471365522	-4390.97125608303	-786.53321710197	5508.67581814289
6337.88961003570	-4383.68947488622	-784.86281615969	5514.75184452764	-4384.16985107540	-784.80848544527	5514.31356542003
6337.88968989831	-4344.44306405169	-774.92174839748	5546.99273653609	-4344.92517076100	-774.86683558815	5546.55801168577
6337.88972462128	-4327.30722245333	-770.58665575682	5560.91846360951	-4327.79007199653	-770.53149048844	5560.48528930658
6337.88974198260	-4318.72307103344	-768.41622432010	5567.86026400727	-4319.20628981068	-768.36093296691	5567.42786614283
6337.88975239948	-4313.56732683705	-767.11302716313	5572.01865221274	-4314.05076645858	-767.05766020448	5571.58672058870
6337.88975934403	-4310.12801363198	-766.24384783130	5574.78809158941	-4310.61160019130	-766.18843048849	5574.35647094585
