 2456714.724838  2  2456714.719950
 2456844.556713  4  2456844.561725
 2456683.082338  6  2456683.074575
 2456710.429213  6  2456710.425125
 2456737.637963  6  2456737.634488
 2456764.805463  6  2456764.800463
 2456792.012963  6  2456792.005000
 2456819.283588  6  2456819.274713
 2456846.601088  6  2456846.594000
 2456873.938588  6  2456873.937075
 2456901.291088  6  2456901.296400
 2456928.684213  6  2456928.694300
 2456956.155463  6  2456956.168550
 2456884.207963  7  2456884.183038
 2456911.569838  7  2456911.546775
 2456938.942963  7  2456938.918175
 2456966.263588  7  2456966.236275
 2456993.501088  7  2456993.474113
 2457020.707338  7  2457020.685888
 2456928.534838 16  2456928.532925
 2456929.141088 19  2456929.147200
