2460695.0837826  1 Afe
2460739.0687201  1 Per
2460783.0536639  1 Afe
2460827.0381451  1 Per
2460871.0225076  1 Afe
2460915.0070576  1 Per
2460958.9913826  1 Afe
2461002.9759013  1 Per
2460715.3416951  1 Sur
2460749.2782576  1 Nor
2460803.3115139  1 Sur
2460837.2468201  1 Nor
2460891.2801326  1 Sur
2460925.2156951  1 Nor
2460979.2485576  1 Sur
2461013.1846013  1 Nor
2460684.7123576  1 Des
2460734.3991451  1 Asc
2460772.6820326  1 Des
2460822.3682326  1 Asc
2460860.6501264  1 Des
2460910.3372201  1 Asc
2460948.6192764  1 Des
2460998.3058014  1 Asc
2461036.5874889  1 Des
2460726.3284264  2 Per
2460838.5976389  2 Afe
2460950.8718389  2 Per
2460747.8547889  2 Nor
2460860.7584139  2 Sur
2460972.5514639  2 Nor
2460692.3484139  2 Asc
2460803.9068889  2 Des
2460917.0499764  2 Asc
2461028.6024889  2 Des
2460680.0611764  3 Per
2460860.3296576  3 Afe
2460782.4252264  4 Afe
2460744.2012764  4 Nor
2460942.2534764  4 Des
2460939.7021389  5 Asc
2460759.8555764 16 Afe
2460850.8827014 16 Sur
2460852.9157014 17 Afe
2460833.9254514 18 Afe
2460991.2738889 18 Nor
2460901.8649514 19 Per
2460707.5509201 19 Nor
2460989.4625764 19 Des
