 2460661.5 220.84   5.18 262.66  55.15  40.33
 2460662.5 211.87 163.19  53.05 205.80 131.00
 2460663.5 202.91 321.20 203.43 356.45 221.67
 2460664.5 193.96 119.21 353.81 147.09 312.34
 2460665.5 185.03 277.22 144.18 297.73  43.01
 2460666.5 176.11  75.22 294.56  88.37 133.67
 2460667.5 167.20 233.22  84.92 239.01 224.34
 2460668.5 158.30  31.21 235.29  29.64 315.00
 2460669.5 149.42 189.21  25.66 180.27  45.67
 2460670.5 140.54 347.20 176.02 330.90 136.33
 2460671.5 131.68 145.18 326.37 121.52 226.99
 2460672.5 122.83 303.17 116.73 272.15 317.66
 2460673.5 114.00 101.15 267.08  62.76  48.32
 2460674.5 105.17 259.12  57.42 213.38 138.98
 2460675.5  96.35  57.10 207.77   3.99 229.64
 2460676.5  87.54 215.07 358.11 154.59 320.30
 2460677.5  78.74  13.03 148.44 305.19  50.95
 2460678.5  69.95 170.99 298.77  95.79 141.61
 2460679.5  61.17 328.95  89.10 246.39 232.27
 2460680.5  52.40 126.91 239.43  36.98 322.92
 2460681.5  43.63 284.86  29.75 187.56  53.58
 2460682.5  34.87  82.80 180.06 338.15 144.24
 2460683.5  26.11 240.74 330.38 128.73 234.89
 2460684.5  17.36  38.68 120.68 279.30 325.55
 2460685.5   8.61 196.62 270.99  69.87  56.20
 2460686.5 359.86 354.54  61.29 220.44 146.85
 2460687.5 351.12 152.47 211.58  11.00 237.51
 2460688.5 342.38 310.39   1.88 161.56 328.16
 2460689.5 333.64 108.31 152.16 312.12  58.81
 2460690.5 324.90 266.22 302.45 102.67 149.47
 2460691.5 316.16  64.13  92.73 253.21 240.12
 2460692.5 307.42 222.04 243.00  43.75 330.77
 2460693.5 298.68  19.94  33.27 194.29  61.42
 2460694.5 289.93 177.83 183.54 344.83 152.08
 2460695.5 281.19 335.73 333.80 135.35 242.73
 2460696.5 272.43 133.61 124.06 285.88 333.38
 2460697.5 263.68 291.50 274.32  76.40  64.03
 2460698.5 254.92  89.38  64.57 226.92 154.69
 2460699.5 246.15 247.25 214.81  17.43 245.34
 2460700.5 237.38  45.12   5.05 167.94 335.99
 2460701.5 228.60 202.99 155.29 318.44  66.64
 2460702.5 219.81   0.85 305.52 108.94 157.30
 2460703.5 211.01 158.71  95.75 259.44 247.95
 2460704.5 202.21 316.56 245.98  49.93 338.60
 2460705.5 193.40 114.41  36.20 200.41  69.26
 2460706.5 184.57 272.26 186.41 350.90 159.91
 2460707.5 175.74  70.10 336.63 141.38 250.56
 2460708.5 166.90 227.94 126.83 291.85 341.22
 2460709.5 158.04  25.77 277.04  82.32  71.87
 2460710.5 149.18 183.60  67.24 232.79 162.53
 2460711.5 140.30 341.43 217.43  23.25 253.18
 2460712.5 131.41 139.25   7.63 173.71 343.84
 2460713.5 122.51 297.06 157.81 324.16  74.49
 2460714.5 113.60  94.88 308.00 114.61 165.15
 2460715.5 104.68 252.69  98.18 265.06 255.81
 2460716.5  95.74  50.49 248.35  55.50 346.47
 2460717.5  86.80 208.29  38.53 205.94  77.13
 2460718.5  77.84   6.09 188.69 356.38 167.78
 2460719.5  68.86 163.89 338.86 146.81 258.44
 2460720.5  59.88 321.68 129.02 297.24 349.10
 2460721.5  50.88 119.46 279.18  87.66  79.76
 2460722.5  41.87 277.25  69.33 238.08 170.43
 2460723.5  32.85  75.03 219.48  28.50 261.09
 2460724.5  23.82 232.80   9.63 178.91 351.75
 2460725.5  14.77  30.58 159.77 329.32  82.41
 2460726.5   5.72 188.34 309.91 119.73 173.08
