 -3   19 14  18 35  18  7  17 45  17 27  17 12  16 45  16 23  16  2  15 41  15 18  14 52  14 37  14 19  14 19  14 11  14  2  13 53  13 42  13 31  13 18  13  3  12 45  12 24  11 57  11 19  -- --  -- --
 -2   20 25  19 42  19 11  18 48  18 28  18 11  17 43  17 19  16 56  16 34  16 10  15 41  15 25  15  5  15  5  14 56  14 47  14 36  14 24  14 11  13 56  13 39  13 18  12 51  12 14  -- --  -- --  -- --
 -1   21 19  20 37  20  7  19 44  19 25  19  8  18 40  18 16  17 53  17 31  17  7  16 38  16 21  16  2  16  2  15 53  15 43  15 32  15 20  15  7  14 51  14 34  14 12  13 44  13  3  -- --  -- --  -- --
  0   21 55  21 19  20 53  20 32  20 15  20  0  19 34  19 12  18 51  18 30  18  7  17 41  17 25  17  7  17  7  16 59  16 50  16 40  16 29  16 17  16  3  15 47  15 28  15  5  14 34  13 44  -- --  -- --
  1   22 17  21 50  21 29  21 12  20 57  20 45  20 23  20  4  19 47  19 29  19  9  18 47  18 34  18 18  18 18  18 12  18  4  17 56  17 47  17 37  17 26  17 14  16 59  16 42  16 21  15 55  15 16  -- --
  2   22 32  22 13  21 57  21 45  21 34  21 24  21  8  20 53  20 39  20 26  20 11  19 54  19 43  19 32  19 32  19 27  19 21  19 15  19  9  19  1  18 53  18 44  18 34  18 23  18  9  17 53  17 34  17  8
  3   22 42  22 30  22 21  22 12  22  5  21 59  21 48  21 39  21 30  21 20  21 11  20 59  20 53  20 45  20 45  20 42  20 38  20 34  20 30  20 25  20 20  20 15  20  8  20  1  19 53  19 44  19 33  19 21
  4   22 51  22 45  22 41  22 37  22 34  22 31  22 26  22 22  22 18  22 13  22  9  22  3  22  0  21 57  21 57  21 55  21 54  21 52  21 50  21 48  21 46  21 43  21 40  21 37  21 34  21 30  21 25  21 20
  5   22 58  22 59  23  0  23  1  23  1  23  2  23  3  23  4  23  5  23  5  23  6  23  7  23  8  23  8  23  8  23  9  23  9  23  9  23  9  23 10  23 10  23 11  23 11  23 12  23 12  23 13  23 13  23 14
  6   23  5  23 13  23 19  23 25  23 29  23 33  23 40  23 46  23 52  23 58  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
  7   23 14  23 29  23 41  23 51  23 59  ** **  ** **  ** **  ** **  ** **   0  4   0 11   0 16   0 20   0 20   0 22   0 25   0 27   0 30   0 32   0 35   0 39   0 43   0 47   0 51   0 57   1  3   1 10
  8   23 26  23 48  ** **  ** **  ** **   0  6   0 19   0 31   0 42   0 52   1  4   1 17   1 25   1 34   1 34   1 38   1 42   1 47   1 51   1 57   2  3   2  9   2 17   2 25   2 34   2 45   2 58   3 14
  9   23 44  ** **   0  6   0 21   0 33   0 44   1  2   1 19   1 34   1 50   2  6   2 25   2 36   2 49   2 49   2 55   3  1   3  8   3 15   3 23   3 32   3 43   3 54   4  7   4 23   4 42   5  5   5 38
 10   ** **   0 15   0 38   0 57   1 13   1 27   1 51   2 11   2 31   2 50   3 11   3 35   3 49   4  5   4  5   4 13   4 21   4 30   4 39   4 50   5  2   5 16   5 32   5 51   6 15   6 48   7 43  ++ ++
 11    0 12   0 52   1 20   1 43   2  2   2 18   2 45   3  8   3 30   3 52   4 16   4 43   5  0   5 19   5 19   5 27   5 37   5 47   5 58   6 11   6 26   6 43   7  3   7 28   8  3   9 11  ++ ++  ++ ++
 12    0 59   1 43   2 15   2 39   2 59   3 16   3 44   4  9   4 32   4 55   5 19   5 48   6  5   6 25   6 25   6 33   6 43   6 54   7  6   7 19   7 34   7 52   8 14   8 41   9 20  ++ ++  ++ ++  ++ ++
