 1 & $\alpha$   Andromedae & $Alpheratz$ & $ 2.1$ &                             17 & 23 & 15 & 21 & 13 & 31 & 11 & 29 &  9 & 31 &  7 & 30 &  5 & 32 \\
 2 & $\beta$    Cassiopeae & $Caph$  & $ 2.3$ &                                 17 & 24 & 15 & 22 & 13 & 32 & 11 & 30 &  9 & 32 &  7 & 30 &  5 & 32 \\
 6 & $\beta$    Ceti & $Diphda$  & $ 2.0$ &                                     17 & 58 & 15 & 56 & 14 & 06 & 12 & 04 & 10 & 06 &  8 & 05 &  6 & 07 \\
 9 & $\alpha$   Eridani & $Achernar$  & $ 0.5$ &                                18 & 52 & 16 & 50 & 15 & 00 & 12 & 58 & 11 & 00 &  8 & 58 &  7 & 00 \\
12 & $\alpha$   Arietis & $Hamal$  & $ 2.0$ &                                   19 & 22 & 17 & 20 & 15 & 30 & 13 & 28 & 11 & 30 &  9 & 28 &  7 & 30 \\[1.4ex]
13 & $\theta$   Eridani & $Acamar$  & $ 3.3$ &                                  20 & 12 & 18 & 10 & 16 & 20 & 14 & 18 & 12 & 20 & 10 & 19 &  8 & 21 \\
16 & $\alpha$   Persei & $Mirfak$  & $ 1.8$ &                                   20 & 39 & 18 & 37 & 16 & 47 & 14 & 45 & 12 & 47 & 10 & 45 &  8 & 47 \\
19 & $\alpha$   Tauri & $Aldebaran$  & $ 0.9$ &                                 21 & 50 & 19 & 48 & 17 & 58 & 15 & 56 & 13 & 58 & 11 & 56 &  9 & 59 \\
20 & $\beta$    Orionis & $Rigel$  & $ 0.1$ &                                   22 & 28 & 20 & 27 & 18 & 36 & 16 & 35 & 14 & 37 & 12 & 35 & 10 & 37 \\
21 & $\alpha$   Aurigae & $Capella$  & $ 0.1$ &                                 22 & 31 & 20 & 29 & 18 & 39 & 16 & 37 & 14 & 39 & 12 & 38 & 10 & 40 \\[1.4ex]
22 & $\gamma$   Orionis & $Bellatrix$  & $ 1.6$ &                               22 & 39 & 20 & 37 & 18 & 47 & 16 & 45 & 14 & 47 & 12 & 45 & 10 & 47 \\
28 & $\alpha$   Orionis & $Betelgeuse$  & $*0.9$ &                              23 & 09 & 21 & 07 & 19 & 17 & 17 & 15 & 15 & 17 & 13 & 15 & 11 & 17 \\
31 & $\alpha$   Carinae & $Canopus$  & $-0.7$ &                                 23 & 37 & 21 & 35 & 19 & 45 & 17 & 43 & 15 & 45 & 13 & 43 & 11 & 45 \\
33 & $\alpha$   Canis Majoris & $Sirius$  & $-1.5$ &                             0 & 03 & 21 & 57 & 20 & 07 & 18 & 05 & 16 & 07 & 14 & 05 & 12 & 07 \\
34 & $\epsilon$ Canis Majoris & $Adhara$  & $ 1.5$ &                             0 & 16 & 22 & 10 & 20 & 20 & 18 & 18 & 16 & 20 & 14 & 18 & 12 & 20 \\[1.4ex]
38 & $\alpha$   Canis Minoris & $Procyon$  & $ 0.4$ &                            0 & 57 & 22 & 51 & 21 & 01 & 18 & 59 & 17 & 01 & 14 & 59 & 13 & 01 \\
39 & $\beta$    Geminorum & $Pollux$  & $ 1.1$ &                                 1 & 03 & 22 & 57 & 21 & 07 & 19 & 05 & 17 & 07 & 15 & 05 & 13 & 07 \\
42 & $\epsilon$ Carinae & $Avior$  & $ 1.8$ &                                    1 & 39 & 23 & 33 & 21 & 43 & 19 & 41 & 17 & 43 & 15 & 41 & 13 & 44 \\
45 & $\lambda$  Velorum & $Suhail$  & $ 2.2$ &                                   2 & 25 &  0 & 23 & 22 & 29 & 20 & 27 & 18 & 29 & 16 & 27 & 14 & 29 \\
46 & $\beta$    Carinae & $Miaplacidus$  & $ 1.7$ &                              2 & 29 &  0 & 28 & 22 & 34 & 20 & 32 & 18 & 34 & 16 & 32 & 14 & 34 \\[1.4ex]
49 & $\alpha$   Hydrae & $Alphard$  & $ 2.0$ &                                   2 & 45 &  0 & 43 & 22 & 49 & 20 & 47 & 18 & 49 & 16 & 47 & 14 & 49 \\
50 & $\alpha$   Leonis & $Regulus$  & $ 1.4$ &                                   3 & 26 &  1 & 24 & 23 & 30 & 21 & 28 & 19 & 30 & 17 & 28 & 15 & 30 \\
54 & $\alpha$ Ursae Majoris & $Dubhe$ & $ 1.8$ &                                 4 & 21 &  2 & 19 &  0 & 29 & 22 & 23 & 20 & 25 & 18 & 23 & 16 & 25 \\
55 & $\beta$ Leonis & $Denebola$ & $ 2.1$ &                                      5 & 06 &  3 & 04 &  1 & 14 & 23 & 08 & 21 & 10 & 19 & 08 & 17 & 10 \\
57 & $\alpha$ Crucis & $Acrux$ & $ 1.3$ &                                        5 & 43 &  3 & 42 &  1 & 52 & 23 & 46 & 21 & 48 & 19 & 46 & 17 & 48 \\[1.4ex]
58 & $\gamma$ Crucis & $Gacrux$ & $*1.6$ &                                       5 & 48 &  3 & 46 &  1 & 56 & 23 & 50 & 21 & 52 & 19 & 50 & 17 & 52 \\
