2456084.3541667   4.954876515901  22.654098816950 1.0147137465   4.975505624279  22.887518528228 0.2887053580 201.891232925822
2456084.3548611   4.954924234862  22.654170243750 1.0147138404   4.975475417544  22.887309073828 0.2887053279 202.141917416142
2456084.3555556   4.954971953865  22.654241667361 1.0147139344   4.975445210749  22.887099617602 0.2887052980 202.392601906457
2456084.3562500   4.955019672910  22.654313087782 1.0147140283   4.975415004162  22.886890160160 0.2887052683 202.643286396768
2456084.3569444   4.955067391996  22.654384505014 1.0147141223   4.975384797515  22.886680700893 0.2887052387 202.893970887077
2456084.3576389   4.955115111125  22.654455919056 1.0147142162   4.975354591075  22.886471240411 0.2887052092 203.144655377382
2456084.3583333   4.955162830327  22.654527329956 1.0147143102   4.975324384689  22.886261778270 0.2887051799 203.395340035780
2456084.3590278   4.955210549538  22.654598737619 1.0147144041   4.975294178265  22.886052314445 0.2887051508 203.646024526078
2456084.3597222   4.955258268792  22.654670142092 1.0147144981   4.975263972048  22.885842849407 0.2887051218 203.896709016372
2456084.3604167   4.955305988087  22.654741543376 1.0147145920   4.975233765905  22.885633382851 0.2887050929 204.147393506663
2456084.3611111   4.955353707423  22.654812941470 1.0147146860   4.975203559704  22.885423914473 0.2887050642 204.398077996950
2456084.3618056   4.955401426802  22.654884336374 1.0147147799   4.975173353711  22.885214444883 0.2887050357 204.648762487234
2456084.3625000   4.955449146222  22.654955728089 1.0147148739   4.975143147792  22.885004973777 0.2887050073 204.899446977514
2456084.3631944   4.955496865684  22.655027116615 1.0147149678   4.975112941815  22.884795500849 0.2887049791 205.150131467791
2456084.3638889   4.955544585188  22.655098501950 1.0147150618   4.975082736046  22.884586026711 0.2887049510 205.400815958064
2456084.3645833   4.955592304733  22.655169884096 1.0147151557   4.975052530352  22.884376551058 0.2887049231 205.651500448334
2456084.3652778   4.955640024320  22.655241263052 1.0147152496   4.975022324600  22.884167073585 0.2887048953 205.902184938600
2456084.3659722   4.955687743981  22.655312638866 1.0147153436   4.974992119036  22.883957594763 0.2887048677 206.152869596960
2456084.3666667   4.955735463652  22.655384011443 1.0147154375   4.974961913434  22.883748114263 0.2887048402 206.403554087219
2456084.3673611   4.955783183364  22.655455380830 1.0147155314   4.974931708041  22.883538632555 0.2887048129 206.654238577474
2456084.3680556   4.955830903118  22.655526747027 1.0147156254   4.974901502724  22.883329149334 0.2887047857 206.904923067726
2456084.3687500   4.955878622913  22.655598110035 1.0147157193   4.974871297349  22.883119664295 0.2887047587 207.155607557975
2456084.3694444   4.955926342751  22.655669469853 1.0147158132   4.974841092183  22.882910178051 0.2887047319 207.406292048221
2456084.3701389   4.955974062630  22.655740826481 1.0147159071   4.974810887092  22.882700690295 0.2887047052 207.656976538461
2456084.3708333   4.956021782551  22.655812179919 1.0147160011   4.974780681945  22.882491200722 0.2887046786 207.907661028699
2456084.3715278   4.956069502513  22.655883530167 1.0147160950   4.974750477006  22.882281709945 0.2887046522 208.158345518934
2456084.3722222   4.956117222517  22.655954877226 1.0147161889   4.974720272144  22.882072217658 0.2887046259 208.409030009163
2456084.3729167   4.956164942563  22.656026221095 1.0147162828   4.974690067225  22.881862723556 0.2887045998 208.659714499391
2456084.3736111   4.956212662650  22.656097561773 1.0147163768   4.974659862515  22.881653228251 0.2887045739 208.910398989615
2456084.3743056   4.956260382812  22.656168899310 1.0147164707   4.974629657861  22.881443731296 0.2887045481 209.161083647932
2456084.3750000   4.956308102983  22.656240233609 1.0147165646   4.974599453304  22.881234232975 0.2887045225 209.411768138148
2456084.3756944   4.956355823195  22.656311564719 1.0147166585   4.974569248690  22.881024732839 0.2887044970 209.662452628362
2456084.3763889   4.956403543449  22.656382892638 1.0147167524   4.974539044286  22.880815231503 0.2887044716 209.913137118571
2456084.3770833   4.956451263745  22.656454217367 1.0147168463   4.974508839959  22.880605728660 0.2887044464 210.163821608777
2456084.3777778   4.956498984083  22.656525538907 1.0147169403   4.974478635576  22.880396224005 0.2887044214 210.414506098979
2456084.3784722   4.956546704462  22.656596857256 1.0147170342   4.974448431403  22.880186718151 0.2887043965 210.665190589178
2456084.3791667   4.956594424883  22.656668172416 1.0147171281   4.974418227307  22.879977210791 0.2887043718 210.915875079373
2456084.3798611   4.956642145346  22.656739484386 1.0147172220   4.974388023155  22.879767701620 0.2887043472 211.166559569564
2456084.3805556   4.956689865850  22.656810793165 1.0147173159   4.974357819213  22.879558191252 0.2887043228 211.417244059752
2456084.3812500   4.956737586396  22.656882098755 1.0147174098   4.974327615349  22.879348679379 0.2887042985 211.667928549936
2456084.3819444   4.956785307016  22.656953401202 1.0147175037   4.974297411409  22.879139165557 0.2887042744 211.918613208214
2456084.3826389   4.956833027645  22.657024700412 1.0147175976   4.974267207699  22.878929650678 0.2887042504 212.169297698391
2456084.3833333   4.956880748316  22.657095996432 1.0147176915   4.974237004068  22.878720134297 0.2887042266 212.419982188565
2456084.3840278   4.956928469029  22.657167289261 1.0147177854   4.974206800514  22.878510616414 0.2887042029 212.670666678735
2456084.3847222   4.956976189783  22.657238578900 1.0147178793   4.974176596905  22.878301096724 0.2887041794 212.921351168901
2456084.3854167   4.957023910580  22.657309865350 1.0147179732   4.974146393507  22.878091575838 0.2887041561 213.172035659064
2456084.3861111   4.957071631417  22.657381148609 1.0147180671   4.974116190187  22.877882053452 0.2887041328 213.422720149223
2456084.3868056   4.957119352297  22.657452428678 1.0147181610   4.974085986812  22.877672529260 0.2887041098 213.673404639378
2456084.3875000   4.957167073218  22.657523705557 1.0147182549   4.974055783649  22.877463003875 0.2887040869 213.924089129530
