1	1	1	1	1	1	1	1	70.	0.9708816165680085
5	-2.586219998562169	3.178457385673806
-0.1298497879467755	0.53561034061025	-1.8958880206727363e-6	-7.149172574426695e-6
0.42329432742675016	-0.03664962104142701	0.0001458019844250569	6.045263947720689e-7
254.9358929173375	14.99627148159736	3.523780183780906e-7	-1.747324201455544e-8
-0.3967225004883738	0.000022537914965408276	1.0303588591518443e-7
0.917938591417821	9.740613383824837e-6	4.419991046553825e-8
0.5589136208707189	0.00012794241070787505	-0.000011178603361655506
0.012465377675258855	0.00012730493962185424	-0.000011122908186346532
0.004754850557227822	0.004731161005296517	0.26173431771336464	0.000024619036608840914
2.458843604046408e6	60	34.11849421111924	17	47.14075452077637
2.4588438372968277e6	144	0.12837610744895755	10	37.11959915799312
2.4588437092998503e6	69	51.06401630145882	62	13.352484893148642
2.4588437319920524e6	143	53.294103890138445	57	28.353023772109083
2.458843650027681e6	48	12.522916522690508	25	58.885983610255934
2.4588437912557884e6	156	42.77415552267087	18	53.794492859106384
2.4588436489828085e6	48	25.79734704812026	25	41.86072397763688
2.458843792335961e6	156	28.12243999195914	18	35.99155649457501
2.4588436510759415e6	47	59.4837723749302	26	16.380320798545895
2.4588437901731175e6	156	57.20421464991546	19	12.09015054772145
2.458843718434731e6	101	25.710340383868697	1	7.023766173305193
2.4588437206253284e6	102	15.236789084943894	1	0.31744030509650134
