 2460027.935451  2  2460027.938839
 2460257.896076  2  2460257.940501
 2459948.317951  4  2459948.327826
 2459975.684201  4  2459975.685951
 2460003.689201  4  2460003.674789
 2460204.306076  4  2460204.332939
 2459998.417326  5  2459998.456276
 2460082.054201  5  2460082.027839
 2459946.427951  7  2459946.406776
 2459973.672951  7  2459973.644551
 2460001.046076  7  2460001.009039
 2460188.806076  8  2460188.848939
 2460216.207951  8  2460216.252501
 2460298.052951  8  2460298.094701
 2460181.587326 12  2460181.604126
 2460208.852326 12  2460208.866401
 2460236.078576 12  2460236.092139
 2460263.346076 12  2460263.359789
 2460174.947326 17  2460174.990476
