 -3   19 29  18 59  18 36  18 18  18  3  17 50  17 28  17  8  16 50  16 32  16 13  15 51  15 38  15 24  15 24  15 17  15 10  15  2  14 54  14 45  14 34  14 23  14 10  13 54  13 36  13 14  12 44  12  1
 -2   20 34  20  1  19 36  19 17  19  0  18 46  18 22  18  2  17 42  17 23  17  3  16 39  16 25  16  9  16  9  16  2  15 54  15 46  15 36  15 26  15 15  15  2  14 47  14 29  14  7  13 39  12 59  ** **
 -1   21 27  20 55  20 30  20 11  19 55  19 41  19 17  18 56  18 36  18 17  17 56  17 32  17 18  17  2  17  2  16 55  16 47  16 38  16 29  16 18  16  7  15 53  15 38  15 19  14 57  14 27  13 43  ++ ++
  0   22  8  21 39  21 17  20 59  20 44  20 31  20  8  19 49  19 31  19 13  18 53  18 31  18 17  18  2  18  2  17 55  17 48  17 40  17 31  17 21  17 10  16 58  16 44  16 27  16  7  15 41  15  6  13 56
  1   22 38  22 14  21 56  21 41  21 28  21 17  20 57  20 40  20 25  20  9  19 52  19 32  19 20  19  7  19  7  19  1  18 55  18 48  18 41  18 32  18 23  18 13  18  1  17 48  17 32  17 12  16 48  16 14
  2   23  1  22 43  22 29  22 17  22  7  21 58  21 43  21 29  21 16  21  4  20 50  20 35  20 26  20 15  20 15  20 11  20  6  20  0  19 54  19 48  19 41  19 33  19 24  19 14  19  3  18 50  18 33  18 13
  3   23 18  23  6  22 56  22 48  22 42  22 35  22 25  22 15  22  7  21 58  21 48  21 38  21 31  21 24  21 24  21 21  21 17  21 14  21 10  21  6  21  1  20 56  20 50  20 43  20 36  20 28  20 18  20  6
  4   23 33  23 27  23 22  23 17  23 14  23 11  23  5  23  0  22 55  22 51  22 46  22 40  22 37  22 33  22 33  22 32  22 30  22 28  22 26  22 24  22 21  22 19  22 16  22 12  22  9  22  5  22  0  21 54
  5   23 46  23 46  23 45  23 45  23 45  23 45  23 44  23 44  23 44  23 43  23 43  23 43  23 43  23 43  23 43  23 43  23 42  23 42  23 42  23 42  23 42  23 42  23 42  23 42  23 42  23 42  23 41  23 41
  6   ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
  7    0  0   0  5   0  9   0 13   0 16   0 19   0 24   0 28   0 33   0 37   0 41   0 46   0 50   0 53   0 53   0 54   0 56   0 58   1  0   1  2   1  4   1  7   1  9   1 12   1 16   1 20   1 24   1 29
  8    0 15   0 26   0 35   0 43   0 50   0 55   1  6   1 15   1 23   1 32   1 41   1 52   1 58   2  5   2  5   2  8   2 11   2 15   2 19   2 23   2 28   2 33   2 39   2 45   2 53   3  1   3 11   3 22
  9    0 34   0 51   1  5   1 17   1 27   1 35   1 51   2  4   2 17   2 29   2 43   2 59   3  8   3 18   3 18   3 23   3 28   3 34   3 40   3 46   3 53   4  1   4 10   4 20   4 32   4 46   5  3   5 23
 10    0 59   1 22   1 41   1 56   2  9   2 21   2 40   2 57   3 13   3 29   3 47   4  7   4 19   4 32   4 32   4 39   4 45   4 52   5  0   5  9   5 18   5 29   5 41   5 55   6 12   6 33   6 59   7 37
 11    1 33   2  3   2 25   2 43   2 59   3 12   3 35   3 54   4 13   4 32   4 51   5 15   5 28   5 44   5 44   5 51   5 59   6  7   6 16   6 27   6 38   6 51   7  6   7 23   7 45   8 13   8 53  -- --
 12    2 23   2 55   3 19   3 39   3 55   4  9   4 34   4 54   5 14   5 34   5 55   6 19   6 33   6 50   6 50   6 57   7  5   7 14   7 24   7 34   7 46   8  0   8 16   8 35   8 58   9 29  10 18  -- --
 13    3 27   3 59   4 23   4 42   4 58   5 12   5 35   5 55   6 14   6 33   6 53   7 17   7 31   7 46   7 46   7 54   8  1   8 10   8 19   8 29   8 40   8 53   9  7   9 25   9 46  10 12  10 49  12 12
 14    4 44   5 11   5 32   5 49   6  3   6 16   6 37   6 55   7 12   7 29   7 47   8  7   8 20   8 33   8 33   8 40   8 46   8 54   9  1   9 10   9 20   9 30   9 42   9 56  10 13  10 32  10 57  11 31
 15    6  5   6 27   6 43   6 57   7  9   7 19   7 36   7 51   8  5   8 19   8 34   8 51   9  1   9 12   9 12   9 17   9 22   9 28   9 34   9 41   9 48   9 57  10  6  10 16  10 28  10 42  10 59  11 20
 16    7 26   7 41   7 54   8  4   8 12   8 20   8 32   8 44   8 54   9  5   9 16   9 28   9 36   9 44   9 44   9 48   9 51   9 56  10  0  10  5  10 10  10 16  10 23  10 30  10 38  10 48  10 59  11 12
 17    8 44   8 53   9  1   9  7   9 13   9 17   9 26   9 33   9 40   9 46   9 53  10  2  10  6  10 11  10 11  10 14  10 16  10 19  10 22  10 25  10 28  10 32  10 36  10 40  10 45  10 51  10 57  11  5
 18    9 59  10  3  10  6  10  9  10 11  10 13  10 16  10 19  10 22  10 25  10 28  10 32  10 34  10 36  10 36  10 37  10 38  10 39  10 40  10 42  10 43  10 45  10 47  10 48  10 51  10 53  10 56  10 59
 19   11 11  11 10  11  9  11  8  11  7  11  7  11  5  11  4  11  3  11  3  11  2  11  1  11  0  10 59  10 59  10 59  10 59  10 58  10 58  10 58  10 57  10 57  10 56  10 56  10 55  10 55  10 54  10 53
 20   12 23  12 16  12 11  12  7  12  3  11 59  11 54  11 49  11 44  11 40  11 35  11 29  11 26  11 22  11 22  11 21  11 19  11 17  11 16  11 14  11 11  11  9  11  6  11  3  11  0  10 56  10 52  10 47
 21   13 35  13 23  13 13  13  5  12 58  12 53  12 42  12 34  12 25  12 17  12  8  11 59  11 53  11 47  11 47  11 44  11 41  11 38  11 34  11 30  11 26  11 22  11 17  11 11  11  5  10 58  10 50  10 41
 22   14 47  14 30  14 16  14  5  13 55  13 47  13 32  13 20  13  8  12 57  12 44  12 30  12 22  12 13  12 13  12  9  12  5  12  0  11 55  11 50  11 44  11 37  11 30  11 22  11 12  11  2  10 49  10 35
 23   16  0  15 37  15 19  15  5  14 53  14 42  14 24  14  8  13 53  13 39  13 23  13  5  12 55  12 43  12 43  12 38  12 32  12 26  12 20  12 13  12  5  11 56  11 46  11 35  11 23  11  8  10 50  10 27
 24   17 12  16 44  16 23  16  5  15 51  15 38  15 17  14 58  14 41  14 24  14  6  13 45  13 33  13 19  13 19  13 12  13  6  12 58  12 50  12 42  12 32  12 21  12  9  11 55  11 38  11 18  10 52  10 17
