2459244.5955255  1 Max 99.
2459266.0194005  1 Min 99.
2459364.5758380  1 Max 99.
2459388.4433067  1 Min 99.
2459484.6724005  1 Max 99.
2459505.5369317  1 Min 99.
2459238.5740880  1 Eas 19.
2459279.9663692  1 Wes 27.
2459351.7391817  1 Eas 22.
2459400.3165880  1 Wes 22.
2459471.6762442  1 Eas 27.
2459512.7218692  1 Wes 18.
2459254.0749317  1 Inf 99.
2459323.5760880  1 Sup 99.
2459376.5506192  1 Inf 99.
2459428.0885880  1 Sup 99.
2459497.1793692  1 Inf 99.
2459547.6940567  1 Sup 99.
2459566.9578380  2 Max 99.
2459517.3592755  2 Eas 47.
2459299.7901817  2 Sup 99.
2459495.6673380  4 Con 99.
2459386.6883380  5 Max 99.
2459505.9558380  5 Min 99.
2459243.5691817  5 Con 99.
2459446.5198067  5 Opo 99.
2459358.3288692  6 Max 99.
2459498.6020567  6 Min 99.
2459238.6259630  6 Con 99.
2459428.7600255  6 Opo 99.
2459229.0660567  7 Min 99.
2459446.6467442  7 Max 99.
2459335.3291192  7 Con 99.
2459523.4984317  7 Opo 99.
2459391.9103067  8 Max 99.
2459550.4301817  8 Min 99.
2459284.5006192  8 Con 99.
2459471.8895255  8 Opo 99.
2459333.2774630  9 Max 99.
2459494.0242755  9 Min 99.
2459229.0964630  9 Con 99.
2459413.4488692  9 Opo 99.
2459496.3048380 16 Max 99.
2459311.7954317 16 Con 99.
2459545.6594317 16 Opo 99.
2459414.3251817 17 Max 99.
2459519.5732442 17 Min 99.
2459255.3264630 17 Con 99.
2459468.5754942 17 Opo 99.
2459317.5642755 18 Max 99.
2459431.6579630 18 Min 99.
2459372.4115880 18 Opo 99.
2459238.4144005 19 Max 99.
2459327.2372442 19 Min 99.
2459278.2552755 19 Opo 99.
2459546.9335255 19 Con 99.
