 -3    2  0   2 26   2 46   3  3   3 16   3 29   3 49   4  7   4 24   4 41   4 59   5 20   5 33   5 47   5 47   5 53   6  0   6  8   6 16   6 25   6 35   6 46   6 59   7 14   7 32   7 54   8 22   9  6
 -2    2 32   3  2   3 25   3 44   4  0   4 13   4 36   4 56   5 15   5 34   5 54   6 17   6 31   6 47   6 47   6 54   7  1   7 10   7 19   7 29   7 40   7 53   8  8   8 26   8 47   9 15   9 54  ** **
 -1    3 16   3 49   4 14   4 33   4 50   5  4   5 28   5 49   6  8   6 28   6 49   7 13   7 27   7 43   7 43   7 50   7 58   8  7   8 16   8 27   8 39   8 52   9  8   9 26   9 49  10 18  11  3  ++ ++
  0    4 14   4 47   5 11   5 30   5 46   6  0   6 23   6 44   7  3   7 22   7 42   8  5   8 19   8 34   8 34   8 41   8 49   8 57   9  6   9 16   9 27   9 40   9 54  10 11  10 32  10 58  11 34  12 44
  1    5 26   5 54   6 15   6 33   6 47   7  0   7 21   7 40   7 57   8 14   8 32   8 53   9  5   9 19   9 19   9 25   9 32   9 39   9 47   9 56  10  5  10 16  10 28  10 42  10 59  11 19  11 44  12 18
  2    6 45   7  8   7 25   7 39   7 51   8  2   8 20   8 35   8 50   9  4   9 19   9 36   9 46   9 58   9 58  10  3  10  8  10 14  10 21  10 27  10 35  10 43  10 53  11  3  11 16  11 30  11 47  12  8
  3    8  9   8 25   8 37   8 48   8 57   9  5   9 18   9 30   9 41   9 51  10  3  10 16  10 23  10 32  10 32  10 35  10 39  10 43  10 48  10 53  10 58  11  4  11 11  11 18  11 27  11 36  11 47  12  0
  4    9 33   9 43   9 51   9 57  10  3  10  7  10 16  10 23  10 30  10 37  10 44  10 52  10 56  11  2  11  2  11  4  11  6  11  9  11 12  11 15  11 18  11 22  11 26  11 30  11 35  11 40  11 47  11 54
  5   10 57  11  1  11  4  11  6  11  8  11 10  11 13  11 16  11 18  11 21  11 23  11 26  11 28  11 30  11 30  11 31  11 31  11 32  11 33  11 34  11 36  11 37  11 38  11 40  11 41  11 43  11 45  11 48
  6   12 22  12 20  12 18  12 16  12 14  12 13  12 11  12  9  12  7  12  5  12  3  12  0  11 59  11 57  11 57  11 57  11 56  11 55  11 54  11 53  11 52  11 51  11 50  11 49  11 47  11 46  11 44  11 42
  7   13 49  13 40  13 33  13 27  13 22  13 17  13 10  13  3  12 56  12 50  12 43  12 35  12 31  12 26  12 26  12 24  12 21  12 19  12 16  12 13  12 10  12  7  12  3  11 59  11 54  11 49  11 43  11 35
  8   15 18  15  2  14 50  14 40  14 31  14 23  14 10  13 59  13 48  13 38  13 26  13 13  13  6  12 58  12 58  12 54  12 50  12 46  12 41  12 36  12 31  12 25  12 18  12 11  12  2  11 53  11 42  11 28
  9   16 48  16 25  16  8  15 54  15 42  15 31  15 13  14 58  14 43  14 29  14 13  13 56  13 45  13 34  13 34  13 29  13 23  13 17  13 11  13  4  12 56  12 47  12 38  12 27  12 14  11 59  11 42  11 20
 10   18 15  17 46  17 24  17  7  16 52  16 39  16 18  15 59  15 41  15 24  15  5  14 44  14 31  14 17  14 17  14 10  14  4  13 56  13 48  13 39  13 29  13 18  13  5  12 50  12 33  12 12  11 45  11  6
 11   19 32  18 59  18 35  18 16  18  0  17 46  17 22  17  1  16 42  16 23  16  2  15 38  15 24  15  8  15  8  15  1  14 53  14 45  14 35  14 25  14 13  14  0  13 45  13 27  13  5  12 37  11 56  -- --
 12   20 33  20  1  19 37  19 17  19  1  18 47  18 23  18  2  17 43  17 24  17  3  16 39  16 24  16  8  16  8  16  0  15 52  15 43  15 34  15 23  15 11  14 58  14 42  14 23  13 59  13 29  12 40  -- --
 13   21 17  20 49  20 27  20  9  19 55  19 42  19 20  19  0  18 42  18 24  18  5  17 42  17 29  17 13  17 13  17  6  16 59  16 51  16 42  16 32  16 21  16  9  15 54  15 37  15 17  14 51  14 14  12 52
 14   21 47  21 25  21  7  20 52  20 40  20 29  20 10  19 53  19 38  19 22  19  5  18 46  18 35  18 22  18 22  18 16  18  9  18  3  17 55  17 47  17 38  17 28  17 16  17  2  16 47  16 28  16  3  15 30
 15   22  9  21 52  21 38  21 27  21 18  21  9  20 54  20 41  20 29  20 17  20  4  19 48  19 39  19 29  19 29  19 25  19 20  19 15  19  9  19  3  18 56  18 48  18 39  18 30  18 18  18  5  17 49  17 30
 16   22 25  22 14  22  5  21 57  21 50  21 44  21 34  21 25  21 16  21  8  20 58  20 48  20 42  20 34  20 34  20 31  20 28  20 24  20 20  20 16  20 12  20  6  20  1  19 54  19 47  19 38  19 29  19 17
 17   22 38  22 32  22 27  22 23  22 19  22 16  22 10  22  5  22  0  21 56  21 50  21 44  21 41  21 37  21 37  21 35  21 33  21 31  21 29  21 27  21 24  21 22  21 18  21 15  21 11  21  7  21  2  20 56
 18   22 50  22 49  22 48  22 47  22 46  22 45  22 44  22 43  22 42  22 41  22 40  22 39  22 38  22 37  22 37  22 37  22 37  22 36  22 36  22 35  22 35  22 34  22 33  22 33  22 32  22 31  22 30  22 29
 19   23  1  23  4  23  7  23 10  23 12  23 14  23 17  23 20  23 23  23 26  23 29  23 32  23 34  23 36  23 36  23 37  23 38  23 39  23 41  23 42  23 43  23 45  23 47  23 49  23 51  23 53  23 56  23 59
 20   23 12  23 21  23 28  23 33  23 38  23 43  23 51  23 57  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
 21   23 25  23 38  23 49  23 58  ** **  ** **  ** **  ** **   0  4   0 10   0 17   0 25   0 30   0 35   0 35   0 37   0 40   0 42   0 45   0 48   0 52   0 55   0 59   1  4   1  9   1 15   1 22   1 30
 22   23 40  23 59  ** **  ** **   0  6   0 13   0 25   0 36   0 46   0 56   1  6   1 19   1 26   1 34   1 34   1 37   1 41   1 45   1 50   1 55   2  0   2  6   2 13   2 20   2 28   2 38   2 50   3  3
 23   ** **  ** **   0 14   0 26   0 37   0 46   1  2   1 16   1 29   1 43   1 57   2 13   2 23   2 33   2 33   2 38   2 44   2 49   2 55   3  2   3  9   3 18   3 27   3 37   3 49   4  4   4 21   4 42
 24    0  1   0 25   0 44   0 59   1 12   1 23   1 43   2  0   2 16   2 32   2 49   3  9   3 21   3 34   3 34   3 40   3 46   3 53   4  1   4  9   4 19   4 29   4 41   4 55   5 11   5 30   5 56   6 30
