 2461090.460451  1  2461090.465101
 2461209.347951  2  2461209.354564
 2461297.966076  2  2461297.982326
 2461351.981701  2  2461351.946426
 2461318.731076  4  2461318.758051
 2461347.101076  4  2461347.068851
 2461292.257951  5  2461292.280514
 2461319.928576  5  2461319.933101
 2461347.465451  5  2461347.448589
 2461374.886701  5  2461374.850789
 2461087.107326  9  2461087.085401
 2461114.544201  9  2461114.518464
 2461055.341701 12  2461055.334289
 2461082.669201 12  2461082.660151
 2461110.011701 12  2461110.002276
 2461137.337951 12  2461137.330076
 2461164.628576 12  2461164.622789
 2461191.887326 12  2461191.882626
 2461219.137951 12  2461219.132164
 2461246.406701 12  2461246.399914
 2461273.710451 12  2461273.703126
 2461301.043576 12  2461301.037051
 2461328.381701 12  2461328.376951
 2461355.696076 12  2461355.692801
 2461047.208576 13  2461047.223376
 2461074.644826 13  2461074.656526
 2461102.028576 13  2461102.040514
 2461129.321076 13  2461129.332064
 2461156.554826 13  2461156.561051
 2461183.806701 13  2461183.803964
 2461211.132326 13  2461211.121251
 2461238.532326 13  2461238.515876
 2461293.344201 13  2461293.326851
 2461320.651076 13  2461320.630764
 2461347.889826 13  2461347.862714
 2461375.136701 13  2461375.100651
 2461402.474826 13  2461402.432576
 2461345.138576 16  2461345.146764
