2458309.7319444   4.435009552340  17.134466236387 366132.27372
2458309.7326389   4.435696659267  17.136541340351 366128.74163
2458309.7333333   4.436383795571  17.138615965155 366125.21004
2458309.7340278   4.437070951952  17.140690099079 366121.67894
2458309.7347222   4.437758147022  17.142763765281 366118.14835
2458309.7354167   4.438445371463  17.144836951973 366114.61825
2458309.7361111   4.439132615970  17.146909647448 366111.08866
2458309.7368056   4.439819899164  17.148981874848 366107.55956
2458309.7375000   4.440507211730  17.151053622415 366104.03096
2458309.7381944   4.441194553658  17.153124890009 366100.50287
2458309.7388889   4.441881915636  17.155195665942 366096.97528
2458309.7395833   4.442569316301  17.157265973319 366093.44818
2458309.7402778   4.443256746321  17.159335800385 366089.92159
2458309.7409722   4.443944196380  17.161405135445 366086.39550
2458309.7416667   4.444631685124  17.163474001604 366082.86991
2458309.7423611   4.445319203217  17.165542387097 366079.34482
2458309.7430556   4.446006750670  17.167610291860 366075.82023
2458309.7437500   4.446694318142  17.169677704150 366072.29614
2458309.7444444   4.447381924288  17.171744647040 366068.77256
2458309.7451389   4.448069559789  17.173811108850 366065.24947
2458309.7458333   4.448757215296  17.175877077851 366061.72689
2458309.7465278   4.449444909476  17.177942577096 366058.20481
2458309.7472222   4.450132633004  17.180007594919 366054.68324
2458309.7479167   4.450820376527  17.182072119594 366051.16217
2458309.7486111   4.451508158729  17.184136174183 366047.64160
2458309.7493056   4.452195970257  17.186199746957 366044.12153
2458309.7500000   4.452883811125  17.188262837843 366040.60196
2458309.7506944   4.453571671973  17.190325435141 366037.08290
2458309.7513889   4.454259571490  17.192387561852 366033.56435
2458309.7520833   4.454947500339  17.194449206336 366030.04629
2458309.7527778   4.455635449158  17.196510356887 366026.52874
2458309.7534722   4.456323436643  17.198571036500 366023.01170
2458309.7541667   4.457011453453  17.200631233536 366019.49515
2458309.7548611   4.457699499581  17.202690947860 366015.97912
2458309.7555556   4.458387565655  17.204750167786 366012.46358
2458309.7562500   4.459075670408  17.206808916340 366008.94856
2458309.7569444   4.459763804470  17.208867181842 366005.43403
2458309.7576389   4.460451958468  17.210924952603 366001.92001
2458309.7583333   4.461140151142  17.212982251642 365998.40650
2458309.7590278   4.461828373120  17.215039067281 365994.89349
2458309.7597222   4.462516624398  17.217095399399 365991.38099
2458309.7604167   4.463204895597  17.219151236333 365987.86899
2458309.7611111   4.463893205469  17.221206601071 365984.35750
2458309.7618056   4.464581544635  17.223261481945 365980.84652
2458309.7625000   4.465269903711  17.225315867300 365977.33604
2458309.7631944   4.465958301457  17.227369780106 365973.82607
2458309.7638889   4.466646728492  17.229423208701 365970.31660
2458309.7645833   4.467335184804  17.231476152950 365966.80764
2458309.7652778   4.468023661024  17.233528601277 365963.29919
2458309.7659722   4.468712175906  17.235580576559 365959.79124
2458309.7666667   4.469400720059  17.237632067150 365956.28381
2458309.7673611   4.470089284108  17.239683061479 365952.77688
2458309.7680556   4.470777886817  17.241733582412 365949.27045
2458309.7687500   4.471466518797  17.243783618328 365945.76454
2458309.7694444   4.472155170647  17.245833157606 365942.25913
2458309.7701389   4.472843861162  17.247882223153 365938.75423
2458309.7708333   4.473532580942  17.249930803340 365935.24984
2458309.7715278   4.474221329977  17.251978898031 365931.74595
2458309.7722222   4.474910098882  17.254026495677 365928.24258
2458309.7729167   4.475598906440  17.256073619100 365924.73971
2458309.7736111   4.476287743247  17.258120256680 365921.23736
2458309.7743056   4.476976599912  17.260166396883 365917.73551
2458309.7750000   4.477665495229  17.262212062507 365914.23417
2458309.7756944   4.478354419787  17.264257241941 365910.73334
2458309.7763889   4.479043373599  17.266301935117 365907.23302
2458309.7770833   4.479732347245  17.268346130449 365903.73321
2458309.7777778   4.480421359534  17.270389850703 365900.23391
2458309.7784722   4.481110401069  17.272433084356 365896.73512
2458309.7791667   4.481799462427  17.274475819829 365893.23684
2458309.7798611   4.482488562432  17.276518079893 365889.73907
2458309.7805556   4.483177691663  17.278559852964 365886.24181
2458309.7812500   4.483866850130  17.280601138974 365882.74506
2458309.7819444   4.484556028405  17.282641926357 365879.24882
2458309.7826389   4.485245245316  17.284682237836 365875.75309
2458309.7833333   4.485934491458  17.286722061907 365872.25788
