2458296.7208333  17.768613443085 -20.321548142443       1.1491461138
2458296.7215278  17.768601984201 -20.321598739224       1.1491474415
2458296.7222222  17.768590525402 -20.321649336070       1.1491487694
2458296.7229167  17.768579066707 -20.321699933022       1.1491500973
2458296.7236111  17.768567608077 -20.321750529998       1.1491514254
2458296.7243056  17.768556149533 -20.321801127041       1.1491527536
2458296.7250000  17.768544691073 -20.321851724148       1.1491540819
2458296.7256944  17.768533232697 -20.321902321321       1.1491554104
2458296.7263889  17.768521774407 -20.321952918560       1.1491567389
2458296.7270833  17.768510316202 -20.322003515863       1.1491580676
2458296.7277778  17.768498858081 -20.322054113232       1.1491593963
2458296.7284722  17.768487400046 -20.322104710667       1.1491607252
2458296.7291667  17.768475942095 -20.322155308166       1.1491620542
2458296.7298611  17.768464484229 -20.322205905731       1.1491633834
2458296.7305556  17.768453026468 -20.322256503402       1.1491647126
2458296.7312500  17.768441568773 -20.322307101097       1.1491660419
2458296.7319444  17.768430111162 -20.322357698858       1.1491673714
2458296.7326389  17.768418653636 -20.322408296684       1.1491687010
2458296.7333333  17.768407196195 -20.322458894575       1.1491700307
2458296.7340278  17.768395738838 -20.322509492531       1.1491713605
2458296.7347222  17.768384281567 -20.322560090553       1.1491726904
2458296.7354167  17.768372824381 -20.322610688640       1.1491740205
2458296.7361111  17.768361367280 -20.322661286792       1.1491753506
2458296.7368056  17.768349910263 -20.322711885009       1.1491766809
2458296.7375000  17.768338453332 -20.322762483291       1.1491780113
2458296.7381944  17.768326996486 -20.322813081639       1.1491793418
2458296.7388889  17.768315539745 -20.322863680091       1.1491806724
2458296.7395833  17.768304083068 -20.322914278569       1.1491820031
2458296.7402778  17.768292626477 -20.322964877112       1.1491833340
2458296.7409722  17.768281169971 -20.323015475719       1.1491846649
2458296.7416667  17.768269713549 -20.323066074392       1.1491859960
2458296.7423611  17.768258257214 -20.323116673130       1.1491873272
2458296.7430556  17.768246800962 -20.323167271933       1.1491886585
2458296.7437500  17.768235344796 -20.323217870801       1.1491899899
2458296.7444444  17.768223888715 -20.323268469734       1.1491913215
2458296.7451389  17.768212432719 -20.323319068732       1.1491926531
2458296.7458333  17.768200976808 -20.323369667795       1.1491939849
2458296.7465278  17.768189521003 -20.323420266964       1.1491953167
2458296.7472222  17.768178065262 -20.323470866157       1.1491966487
2458296.7479167  17.768166609606 -20.323521465415       1.1491979809
2458296.7486111  17.768155154036 -20.323572064737       1.1491993131
2458296.7493056  17.768143698551 -20.323622664125       1.1492006454
2458296.7500000  17.768132243150 -20.323673263578       1.1492019779
2458296.7506944  17.768120787835 -20.323723863096       1.1492033104
2458296.7513889  17.768109332605 -20.323774462678       1.1492046431
2458296.7520833  17.768097877460 -20.323825062326       1.1492059759
2458296.7527778  17.768086422401 -20.323875662038       1.1492073089
2458296.7534722  17.768074967426 -20.323926261815       1.1492086419
2458296.7541667  17.768063512557 -20.323976861697       1.1492099750
2458296.7548611  17.768052057752 -20.324027461604       1.1492113083
2458296.7555556  17.768040603034 -20.324078061576       1.1492126417
2458296.7562500  17.768029148400 -20.324128661612       1.1492139752
2458296.7569444  17.768017693851 -20.324179261713       1.1492153088
2458296.7576389  17.768006239387 -20.324229861879       1.1492166425
2458296.7583333  17.767994785010 -20.324280462110       1.1492179763
2458296.7590278  17.767983330716 -20.324331062406       1.1492193103
2458296.7597222  17.767971876508 -20.324381662766       1.1492206443
2458296.7604167  17.767960422386 -20.324432263191       1.1492219785
2458296.7611111  17.767948968349 -20.324482863680       1.1492233128
2458296.7618056  17.767937514416 -20.324533464275       1.1492246472
2458296.7625000  17.767926060550 -20.324584064894       1.1492259818
2458296.7631944  17.767914606768 -20.324634665578       1.1492273164
2458296.7638889  17.767903153072 -20.324685266326       1.1492286512
2458296.7645833  17.767891699461 -20.324735867139       1.1492299860
2458296.7652778  17.767880245935 -20.324786468017       1.1492313210
2458296.7659722  17.767868792495 -20.324837068959       1.1492326561
2458296.7666667  17.767857339140 -20.324887669966       1.1492339913
2458296.7673611  17.767845885870 -20.324938271037       1.1492353267
2458296.7680556  17.767834432685 -20.324988872174       1.1492366621
2458296.7687500  17.767822979586 -20.325039473374       1.1492379977
2458296.7694444  17.767811526572 -20.325090074639       1.1492393333
2458296.7701389  17.767800073663 -20.325140676009       1.1492406691
2458296.7708333  17.767788620820 -20.325191277403       1.1492420050
2458296.7715278  17.767777168063 -20.325241878862       1.1492433411
2458296.7722222  17.767765715390 -20.325292480386       1.1492446772
2458296.7729167  17.767754262803 -20.325343081973       1.1492460135
2458296.7736111  17.767742810301 -20.325393683626       1.1492473498
2458296.7743056  17.767731357885 -20.325444285342       1.1492486863
2458296.7750000  17.767719905553 -20.325494887124       1.1492500229
2458296.7756944  17.767708453308 -20.325545488969       1.1492513596
2458296.7763889  17.767697001148 -20.325596090879       1.1492526964
2458296.7770833  17.767685549073 -20.325646692854       1.1492540334
2458296.7777778  17.767674097104 -20.325697294933       1.1492553704
2458296.7784722  17.767662645200 -20.325747897036       1.1492567076
2458296.7791667  17.767651193381 -20.325798499204       1.1492580449
2458296.7798611  17.767639741648 -20.325849101436       1.1492593823
2458296.7805556  17.767628290000 -20.325899703732       1.1492607198
2458296.7812500  17.767616838438 -20.325950306093       1.1492620574
2458296.7819444  17.767605386961 -20.326000908518       1.1492633952
2458296.7826389  17.767593935570 -20.326051511007       1.1492647331
2458296.7833333  17.767582484264 -20.326102113561       1.1492660710
2458296.7840278  17.767571033043 -20.326152716179       1.1492674091
2458296.7847222  17.767559581909 -20.326203318861       1.1492687473
2458296.7854167  17.767548130879 -20.326253921647       1.1492700856
2458296.7861111  17.767536679915 -20.326304524458       1.1492714241
2458296.7868056  17.767525229037 -20.326355127333       1.1492727626
2458296.7875000  17.767513778244 -20.326405730272       1.1492741013
2458296.7881944  17.767502327537 -20.326456333276       1.1492754401
2458296.7888889  17.767490876915 -20.326506936343       1.1492767790
2458296.7895833  17.767479426379 -20.326557539475       1.1492781180
2458296.7902778  17.767467975928 -20.326608142671       1.1492794571
2458296.7909722  17.767456525563 -20.326658745931       1.1492807964
2458296.7916667  17.767445075284 -20.326709349255       1.1492821357
2458296.7923611  17.767433625089 -20.326759952644       1.1492834752
2458296.7930556  17.767422175001 -20.326810556136       1.1492848148
2458296.7937500  17.767410724978 -20.326861159653       1.1492861545
2458296.7944444  17.767399275041 -20.326911763233       1.1492874943
2458296.7951389  17.767387825189 -20.326962366878       1.1492888342
2458296.7958333  17.767376375423 -20.327012970587       1.1492901743
2458296.7965278  17.767364925743 -20.327063574360       1.1492915144
2458296.7972222  17.767353476148 -20.327114178197       1.1492928547
2458296.7979167  17.767342026639 -20.327164782098       1.1492941951
2458296.7986111  17.767330577215 -20.327215386063       1.1492955356
2458296.7993056  17.767319127877 -20.327265990092       1.1492968762
2458296.8000000  17.767307678625 -20.327316594185       1.1492982170
2458296.8006944  17.767296229458 -20.327367198342       1.1492995578
2458296.8013889  17.767284780397 -20.327417802603       1.1493008988
2458296.8020833  17.767273331402 -20.327468406887       1.1493022399
2458296.8027778  17.767261882492 -20.327519011236       1.1493035811
2458296.8034722  17.767250433668 -20.327569615649       1.1493049224
2458296.8041667  17.767238984930 -20.327620220126       1.1493062638
2458296.8048611  17.767227536278 -20.327670824666       1.1493076054
2458296.8055556  17.767216087711 -20.327721429271       1.1493089470
2458296.8062500  17.767204639229 -20.327772033939       1.1493102888
2458296.8069444  17.767193190834 -20.327822638671       1.1493116307
2458296.8076389  17.767181742525 -20.327873243467       1.1493129727
2458296.8083333  17.767170294300 -20.327923848327       1.1493143148
2458296.8090278  17.767158846183 -20.327974453291       1.1493156570
2458296.8097222  17.767147398130 -20.328025058278       1.1493169994
2458296.8104167  17.767135950163 -20.328075663329       1.1493183418
2458296.8111111  17.767124502282 -20.328126268445       1.1493196844
2458296.8118056  17.767113054487 -20.328176873623       1.1493210271
2458296.8125000  17.767101606778 -20.328227478866       1.1493223699
2458296.8131944  17.767090159154 -20.328278084172       1.1493237128
2458296.8138889  17.767078711617 -20.328328689542       1.1493250559
2458296.8145833  17.767067264165 -20.328379294976       1.1493263990
2458296.8152778  17.767055816798 -20.328429900474       1.1493277423
2458296.8159722  17.767044369518 -20.328480506035       1.1493290857
2458296.8166667  17.767032922343 -20.328531111700       1.1493304292
2458296.8173611  17.767021475235 -20.328581717388       1.1493317728
2458296.8180556  17.767010028212 -20.328632323141       1.1493331165
2458296.8187500  17.766998581275 -20.328682928957       1.1493344603
2458296.8194444  17.766987134424 -20.328733534836       1.1493358043
2458296.8201389  17.766975687658 -20.328784140779       1.1493371484
2458296.8208333  17.766964240979 -20.328834746786       1.1493384926
2458296.8215278  17.766952794386 -20.328885352856       1.1493398369
2458296.8222222  17.766941347878 -20.328935958990       1.1493411813
2458296.8229167  17.766929901456 -20.328986565188       1.1493425258
2458296.8236111  17.766918455120 -20.329037171448       1.1493438705
2458296.8243056  17.766907008890 -20.329087777813       1.1493452152
2458296.8250000  17.766895562726 -20.329138384201       1.1493465601
2458296.8256944  17.766884116648 -20.329188990653       1.1493479051
