1	1	1	1	1	0	0	0	69.	1.0229294119505385
1	-1.7615590343749459	3.664865940578027
-0.6020915506551938	0.5502416287200584	0.00003129492876601706	-9.055918753544323e-6
0.08501852628172629	0.17208171487200333	0.000025217620597521038	-2.749975461553099e-6
192.3674628976863	15.003967406424351	1.296118794740338e-6	-2.3019176230792936e-8
-0.07663736203114953	0.0002764138379056715	1.6204712305579738e-8
0.9970590327387069	0.000021246105339969972	-3.730646332879901e-8
0.5389480797475353	-0.000045365419766284845	-0.0000127520180571437
-0.007400572962380438	-0.000045139263352090815	-0.00001268848375314951
0.0047087478254044714	0.004685287976037013	0.2618686747888673	0.0002772540911154132
2.457456471740606e6	102	13.125187124173863	-7	-37.99723206421859
2.4574566908970997e6	-158	-20.40579478742302	27	12.610787610120866
2.4574565539124743e6	74	34.936321457518886	17	10.193794552466997
2.4574566086601345e6	-132	-5.889487080181652	51	58.155422286545075
2.4574565115923462e6	88	17.304595081659215	-2	-15.202714093692089
2.4574566510532345e6	-144	-32.71229278733642	32	34.56678614378731
2.457456511040403e6	88	28.70260125569075	-2	-22.024749917392292
2.457456651623146e6	-144	-44.26462470888396	32	27.5454316925142
2.45745651214464e6	88	5.907049432684914	-2	-8.274863291491688
2.457456650483227e6	-144	-21.171657553894647	32	41.69694904163279
2.4574565872577e6	151	12.925369200833075	11	33.741661571772
2.4574565813608724e6	148	48.12184506535061	10	7.108006778217337
