   154  00 03 00.69 -05 54 00.7  4.37  1.631   M3III        YY         Psc    46.62   -41.32    7.86
   677  00 09 27.10 +29 12 12.7  2.07 -0.038 P B9p          alpha      And   135.68  -162.95   33.60
   746  00 10 17.07 +59 15 46.0  2.28  0.380 P F2III-IV     beta       Cas   523.39  -180.42   59.89
   765  00 10 26.70 -45 38 04.0  3.88  1.013   K0III        epsilon    Phe   122.15  -180.13   23.28
  1067  00 14 17.65 +15 17 50.9  2.83 -0.190   B2IV         gamma      Peg     4.70    -8.24    9.79
  1170  00 15 40.80 -18 49 09.9  4.44  1.640 P M1III        AE         Cet   -27.15   -73.78    6.62
  1562  00 20 28.33 -08 42 37.6  3.56  1.214   K2III        iota       Cet   -14.37   -37.84   11.26
  1599  00 21 07.55 -64 45 16.2  4.23  0.576   F9V          zeta       Tuc  1707.56  1165.36  116.38
  2021  00 26 48.01 -77 08 20.5  2.82  0.618   G2IV         beta       Hyi  2220.12   324.37  133.78
  2072  00 27 12.40 -43 33 58.7  3.93  0.175   A7V          kappa      Phe   106.14    32.83   42.51
  2081  00 27 17.62 -42 11 40.8  2.40  1.083   K0III        alpha      Phe   232.76  -353.64   42.14
  2484  00 32 28.50 -62 50 43.9  4.36 -0.064   B9V          beta^1     Tuc    82.48   -54.37   23.35
  2599  00 34 10.89 +63 02 40.8  4.17  0.130   B1Ia         kappa      Cas     3.99    -2.10    0.79
  2912  00 37 58.89 +33 49 54.9  4.34 -0.123   B5V          pi         And    15.23    -3.56    4.97
  2920  00 38 07.50 +54 00 34.0  3.69 -0.196   B2IV         zeta       Cas    17.77    -9.15    5.46
  3031  00 39 38.64 +29 25 22.0  4.34  0.871   G5III        epsilon    And  -229.41  -254.08   19.34
  3092  00 40 25.74 +30 58 22.6  3.27  1.268   K3III        delta      And   115.38   -83.05   32.19
  3179  00 41 41.01 +56 38 58.0  2.24  1.170   K0II-IIIvar  alpha      Cas    50.36   -32.17   14.27
  3405  00 44 16.12 -57 21 03.4  4.36  0.024   A0IV         eta        Phe    -5.16    15.50   13.57
  3419  00 44 37.05 -17 52 27.9  2.04  1.019   K0III        beta       Cet   232.79    32.71   34.04
  3504  00 45 52.64 +48 23 46.4  4.48 -0.069   B5III        o          Cas    17.79    -7.62    3.60
  3693  00 48 25.78 +24 22 42.0  4.08  1.100 P K1II         zeta       And  -101.23   -81.89   17.98
  3786  00 49 44.88 +07 41 46.6  4.44  1.500   K5III        delta      Psc    83.14   -50.48   10.69
  3821  00 50 21.51 +57 55 24.4  3.46  0.587   G0V SB       eta        Cas  1087.11  -559.65  167.99
  4427  00 57 57.76 +60 49 38.2  2.15 -0.046 P B0IV:evar    gamma      Cas    25.65    -3.82    5.32
  4436  00 57 53.92 +38 36 36.4  3.86  0.130   A5V          mu         And   152.78    36.82   23.93
  4463  00 58 18.34 +23 31 40.4  4.40  0.940   G8III-IV     eta        And   -43.72   -46.06   13.44
  4577  00 59 35.51 -29 14 49.4  4.30 -0.154   B7IIIp       alpha      Scl    22.44     6.30    4.85
  4906  01 04 00.58 +08 00 00.2  4.27  0.952   K0III        epsilon    Psc   -80.57    25.88   17.14
  5165  01 06 59.63 -46 36 32.0  3.32  0.885 G G8IIIvar     beta       Phe   -70.16    31.60   16.46
  5348  01 09 14.52 -55 08 11.7  3.94 -0.120 G B6V + B0V    zeta       Phe    21.17    29.70   11.66
  5364  01 09 37.28 -10 04 26.7  3.46  1.161   K2III        eta        Cet   215.81  -138.33   27.73
  5372  01 11 58.02 +86 21 56.9  4.24  1.213   K2II-III                       80.34   -11.36   10.43
  5434  01 10 42.11 +47 21 01.9  4.26  0.012   B7III        phi        And     3.81   -13.02    4.43
  5447  01 10 53.20 +35 43 43.3  2.07  1.576   M0IIIvar     beta       And   175.59  -112.23   16.36
  5542  01 12 21.88 +55 15 30.1  4.34  0.170   A7Vvar       theta      Cas   226.62   -19.34   23.73
  5896  01 16 27.70 -68 46 02.4  4.25  0.480   F6IV                          411.11   127.43   48.94
  6537  01 25 02.92 -08 04 40.8  3.60  1.065   K0III        theta      Cet   -78.38  -206.88   28.48
  6686  01 27 10.50 +60 20 27.9  2.66  0.160 P A5Vv SB      delta      Cas   297.24   -49.49   32.81
  6867  01 29 15.19 -43 12 49.5  3.41  1.542   K5II-III     gamma      Phe   -18.21  -207.71   13.94
  7083  01 32 06.15 -48 58 00.2  3.93  0.972   K0III-IV     delta      Phe   138.22   154.20   22.15
  7097  01 32 35.03 +15 27 03.0  3.62  0.974   G8III        eta        Psc    25.73    -3.29   11.09
  7513  01 38 00.54 +41 30 26.1  4.10  0.536   F8V          upsilon    And  -172.57  -381.01   74.25
  7588  01 38 28.48 -57 07 59.4  0.45 -0.158 P B3Vp         alpha      Eri    88.02   -40.08   22.68
  7607  01 39 15.72 +48 43 52.6  3.59  1.275   K3III                   And    60.90  -112.42   18.76
  7884  01 42 30.04 +05 35 26.3  4.45  1.347   K3III        nu         Psc   -22.73     3.61    8.86
