   154  00 02 54.54 -05 54 40.7  4.37  1.631   M3III        YY         Psc    46.62   -41.32    7.86
   677  00 09 20.87 +29 11 33.0  2.07 -0.038 P B9p          alpha      And   135.68  -162.95   33.60
   746  00 10 10.58 +59 15 06.3  2.28  0.380 P F2III-IV     beta       Cas   523.39  -180.42   59.89
   765  00 10 20.65 -45 38 43.7  3.88  1.013   K0III        epsilon    Phe   122.15  -180.13   23.28
  1067  00 14 11.45 +15 17 10.9  2.83 -0.190   B2IV         gamma      Peg     4.70    -8.24    9.79
  1170  00 15 34.71 -18 49 49.7  4.44  1.640 P M1III        AE         Cet   -27.15   -73.78    6.62
  1562  00 20 22.21 -08 43 17.5  3.56  1.214   K2III        iota       Cet   -14.37   -37.84   11.26
  1599  00 21 01.39 -64 45 58.4  4.23  0.576   F9V          zeta       Tuc  1707.56  1165.36  116.38
  2021  00 26 41.89 -77 09 00.9  2.82  0.618   G2IV         beta       Hyi  2220.12   324.37  133.78
  2072  00 27 06.54 -43 34 38.5  3.93  0.175   A7V          kappa      Phe   106.14    32.83   42.51
  2081  00 27 11.71 -42 12 19.9  2.40  1.083   K0III        alpha      Phe   232.76  -353.64   42.14
  2484  00 32 23.06 -62 51 23.4  4.36 -0.064   B9V          beta^1     Tuc    82.48   -54.37   23.35
  2599  00 34 03.96 +63 02 01.2  4.17  0.130   B1Ia         kappa      Cas     3.99    -2.10    0.79
  2912  00 37 52.44 +33 49 15.4  4.34 -0.123   B5V          pi         And    15.23    -3.56    4.97
  2920  00 38 00.74 +53 59 54.5  3.69 -0.196   B2IV         zeta       Cas    17.77    -9.15    5.46
  3031  00 39 32.27 +29 24 43.0  4.34  0.871   G5III        epsilon    And  -229.41  -254.08   19.34
  3092  00 40 19.29 +30 57 43.3  3.27  1.268   K3III        delta      And   115.38   -83.05   32.19
  3179  00 41 34.12 +56 38 18.6  2.24  1.170   K0II-IIIvar  alpha      Cas    50.36   -32.17   14.27
  3405  00 44 10.77 -57 21 42.7  4.36  0.024   A0IV         eta        Phe    -5.16    15.50   13.57
  3419  00 44 31.03 -17 53 07.3  2.04  1.019   K0III        beta       Cet   232.79    32.71   34.04
  3504  00 45 45.89 +48 23 07.1  4.48 -0.069   B5III        o          Cas    17.79    -7.62    3.60
  3693  00 48 19.39 +24 22 03.0  4.08  1.100 P K1II         zeta       And  -101.23   -81.89   17.98
  3786  00 49 38.64 +07 41 07.6  4.44  1.500   K5III        delta      Psc    83.14   -50.48   10.69
  3821  00 50 14.16 +57 54 46.4  3.46  0.587   G0V SB       eta        Cas  1087.11  -559.65  167.99
  4427  00 57 50.41 +60 48 59.4  2.15 -0.046 P B0IV:evar    gamma      Cas    25.65    -3.82    5.32
  4436  00 57 47.21 +38 35 57.5  3.86  0.130   A5V          mu         And   152.78    36.82   23.93
  4463  00 58 11.90 +23 31 01.7  4.40  0.940   G8III-IV     eta        And   -43.72   -46.06   13.44
  4577  00 59 29.74 -29 15 28.2  4.30 -0.154   B7IIIp       alpha      Scl    22.44     6.30    4.85
  4906  01 03 54.34 +07 59 21.6  4.27  0.952   K0III        epsilon    Psc   -80.57    25.88   17.14
  5165  01 06 54.31 -46 37 10.5  3.32  0.885 G G8IIIvar     beta       Phe   -70.16    31.60   16.46
  5348  01 09 09.50 -55 08 50.0  3.94 -0.120 G B6V + B0V    zeta       Phe    21.17    29.70   11.66
