49 & $\alpha$   Hydrae & $Alphard$  & $ 2.0$ &                                   2 & 47 &  0 & 45 & 22 & 47 & 20 & 46 & 18 & 48 & 16 & 46 & 14 & 48 \\
50 & $\alpha$   Leonis & $Regulus$  & $ 1.4$ &                                   3 & 28 &  1 & 26 & 23 & 28 & 21 & 26 & 19 & 28 & 17 & 26 & 15 & 28 \\
54 & $\alpha$ Ursae Majoris & $Dubhe$ & $ 1.8$ &                                 4 & 23 &  2 & 21 &  0 & 27 & 22 & 21 & 20 & 23 & 18 & 22 & 16 & 24 \\
55 & $\beta$ Leonis & $Denebola$ & $ 2.1$ &                                      5 & 08 &  3 & 06 &  1 & 12 & 23 & 07 & 21 & 09 & 19 & 07 & 17 & 09 \\
57 & $\alpha$ Crucis & $Acrux$ & $ 1.3$ &                                        5 & 46 &  3 & 44 &  1 & 50 & 23 & 44 & 21 & 46 & 19 & 44 & 17 & 46 \\[1.4ex]
58 & $\gamma$ Crucis & $Gacrux$ & $*1.6$ &                                       5 & 50 &  3 & 48 &  1 & 54 & 23 & 49 & 21 & 51 & 19 & 49 & 17 & 51 \\
60 & $\beta$ Crucis & $Mimosa$ & $ 1.3$ &                                        6 & 07 &  4 & 05 &  2 & 11 &  0 & 09 & 22 & 07 & 20 & 05 & 18 & 07 \\
61 & $\epsilon$ Ursae Majoris & $Alioth$ & $ 1.8$ &                              6 & 13 &  4 & 11 &  2 & 17 &  0 & 15 & 22 & 13 & 20 & 12 & 18 & 14 \\
64 & $\zeta$ Ursae Majoris & $Mizar$ & $ 2.3$ &                                  6 & 43 &  4 & 41 &  2 & 47 &  0 & 45 & 22 & 43 & 20 & 41 & 18 & 43 \\
65 & $\alpha$ Virginis & $Spica$ & $ 1.0$ &                                      6 & 44 &  4 & 42 &  2 & 48 &  0 & 46 & 22 & 45 & 20 & 43 & 18 & 45 \\[1.4ex]
68 & $\theta$ Centauri & $Menkent$ & $ 2.1$ &                                    7 & 26 &  5 & 24 &  3 & 30 &  1 & 28 & 23 & 26 & 21 & 24 & 19 & 26 \\
69 & $\alpha$ Bootis & $Arcturus$ & $ 0.0$ &                                     7 & 35 &  5 & 33 &  3 & 39 &  1 & 37 & 23 & 35 & 21 & 33 & 19 & 35 \\
70 & $\alpha$ Centauri & $Rigil\,Kent$ & $ 0.0$ &                                7 & 58 &  5 & 57 &  4 & 03 &  2 & 01 &  0 & 03 & 21 & 57 & 19 & 59 \\
72 & $\beta$ Ursae Minoris & $Kochab$ & $ 2.1$ &                                 8 & 09 &  6 & 08 &  4 & 14 &  2 & 12 &  0 & 14 & 22 & 08 & 20 & 10 \\
