 2462883.5  70.31  -0.1   6.9 19.66 18.07 0.998   0.1  0.04  4.419882  2.017129 -0.514387  1.920765 -0.530450  0.846249  4.491334 -8.055937  6.244562
 2462884.5  70.42  -0.1   6.9 19.63 18.04 0.998   0.1  0.04  4.420528  3.601233 -0.514381  3.503597 -0.530554  0.855848  4.492119 -8.043006  6.244624
 2462885.5  70.53  -0.1   6.9 19.60 18.01 0.998   0.1  0.04  4.421173  5.185290 -0.514381  5.086415 -0.530657  0.865101  4.492888 -8.029932  6.244683
 2462886.5  70.65  -0.1   6.9 19.56 17.98 0.998   0.1  0.04  4.421819  0.486113 -0.514387  0.386034 -0.530761  0.874007  4.493641 -8.016723  6.244739
 2462887.5  70.77  -0.1   6.9 19.53 17.95 0.998   0.1  0.04  4.422464  2.070073 -0.514399  1.968824 -0.530864  0.882564  4.494382 -8.003383  6.244790
 2462888.5  70.89  -0.1   6.9 19.50 17.92 0.998   0.1  0.04  4.423110  3.653986 -0.514416  3.551602 -0.530968  0.890774  4.495109 -7.989919  6.244838
 2462889.5  71.01  -0.1   6.9 19.47 17.89 0.998   0.1  0.04  4.423755  5.237852 -0.514440  5.134367 -0.531071  0.898635  4.495826 -7.976337  6.244881
 2462890.5  71.13  -0.1   6.9 19.43 17.86 0.998   0.1  0.04  4.424401  0.538484 -0.514471  0.433934 -0.531173  0.906147  4.496534 -7.962644  6.244920
 2462891.5  71.25  -0.1   6.9 19.40 17.83 0.998   0.1  0.05  4.425046  2.122255 -0.514507  2.016675 -0.531276  0.913311  4.497233 -7.948845  6.244955
 2462892.5  71.37   0.0   6.9 19.37 17.80 0.998   0.1  0.05  4.425692  3.705979 -0.514549  3.599405 -0.531378  0.920128  4.497924 -7.934947  6.244987
 2462893.5  71.50   0.0   6.9 19.33 17.77 0.998   0.1  0.05  4.426337  5.289657 -0.514598  5.182124 -0.531480  0.926598  4.498610 -7.920956  6.245014
 2462894.5  71.62   0.0   6.9 19.30 17.74 0.998   0.1  0.05  4.426983  0.590103 -0.514652  0.481647 -0.531582  0.932723  4.499290 -7.906879  6.245037
 2462895.5  71.75   0.0   6.9 19.26 17.71 0.997   0.1  0.05  4.427629  2.173689 -0.514713  2.064346 -0.531684  0.938506  4.499966 -7.892721  6.245056
 2462896.5  71.88   0.0   6.9 19.23 17.68 0.997   0.1  0.05  4.428274  3.757230 -0.514780  3.647035 -0.531785  0.943947  4.500639 -7.878488  6.245071
 2462897.5  72.01   0.0   6.9 19.20 17.64 0.997   0.1  0.05  4.428920  5.340726 -0.514853  5.229715 -0.531886  0.949048  4.501309 -7.864186  6.245083
 2462898.5  72.14   0.0   6.9 19.16 17.61 0.997   0.1  0.05  4.429566  0.640992 -0.514932  0.529202 -0.531987  0.953812  4.501977 -7.849821  6.245090
 2462899.5  72.27   0.0   6.9 19.13 17.58 0.997   0.1  0.05  4.430211  2.224399 -0.515017  2.111865 -0.532088  0.958242  4.502644 -7.835398  6.245093
 2462900.5  72.40   0.0   6.9 19.09 17.55 0.997   0.1  0.05  4.430857  3.807763 -0.515108  3.694520 -0.532189  0.962338  4.503311 -7.820922  6.245092
 2462901.5  72.53   0.0   6.9 19.06 17.52 0.997   0.1  0.05  4.431503  5.391083 -0.515206  5.277168 -0.532289  0.966105  4.503978 -7.806400  6.245087
