2456407.3541667  13.432174241841 -11.233124858997 1000000.0000000000
2456407.3548611  13.432174241797 -11.233124856122 1000000.0000000000
2456407.3555556  13.432174241753 -11.233124853248 1000000.0000000000
2456407.3562500  13.432174241710 -11.233124850376 1000000.0000000000
2456407.3569444  13.432174241666 -11.233124847505 1000000.0000000000
2456407.3576389  13.432174241624 -11.233124844635 1000000.0000000000
2456407.3583333  13.432174241581 -11.233124841766 1000000.0000000000
2456407.3590278  13.432174241539 -11.233124838898 1000000.0000000000
2456407.3597222  13.432174241497 -11.233124836031 1000000.0000000000
2456407.3604167  13.432174241456 -11.233124833166 1000000.0000000000
2456407.3611111  13.432174241415 -11.233124830302 1000000.0000000000
2456407.3618056  13.432174241374 -11.233124827439 1000000.0000000000
2456407.3625000  13.432174241334 -11.233124824577 1000000.0000000000
2456407.3631944  13.432174241294 -11.233124821717 1000000.0000000000
2456407.3638889  13.432174241254 -11.233124818857 1000000.0000000000
2456407.3645833  13.432174241215 -11.233124815999 1000000.0000000000
2456407.3652778  13.432174241176 -11.233124813142 1000000.0000000000
2456407.3659722  13.432174241137 -11.233124810287 1000000.0000000000
2456407.3666667  13.432174241099 -11.233124807432 1000000.0000000000
2456407.3673611  13.432174241061 -11.233124804579 1000000.0000000000
2456407.3680556  13.432174241024 -11.233124801727 1000000.0000000000
2456407.3687500  13.432174240987 -11.233124798876 1000000.0000000000
2456407.3694444  13.432174240950 -11.233124796026 1000000.0000000000
2456407.3701389  13.432174240914 -11.233124793177 1000000.0000000000
2456407.3708333  13.432174240878 -11.233124790330 1000000.0000000000
2456407.3715278  13.432174240842 -11.233124787484 1000000.0000000000
2456407.3722222  13.432174240807 -11.233124784639 1000000.0000000000
2456407.3729167  13.432174240772 -11.233124781795 1000000.0000000000
2456407.3736111  13.432174240737 -11.233124778953 1000000.0000000000
2456407.3743056  13.432174240703 -11.233124776112 1000000.0000000000
2456407.3750000  13.432174240669 -11.233124773272 1000000.0000000000
2456407.3756944  13.432174240635 -11.233124770433 1000000.0000000000
2456407.3763889  13.432174240602 -11.233124767595 1000000.0000000000
2456407.3770833  13.432174240570 -11.233124764759 1000000.0000000000
2456407.3777778  13.432174240537 -11.233124761924 1000000.0000000000
2456407.3784722  13.432174240505 -11.233124759090 1000000.0000000000
2456407.3791667  13.432174240473 -11.233124756257 1000000.0000000000
2456407.3798611  13.432174240442 -11.233124753426 1000000.0000000000
2456407.3805556  13.432174240411 -11.233124750595 1000000.0000000000
2456407.3812500  13.432174240380 -11.233124747766 1000000.0000000000
2456407.3819444  13.432174240350 -11.233124744938 1000000.0000000000
2456407.3826389  13.432174240320 -11.233124742112 1000000.0000000000
2456407.3833333  13.432174240291 -11.233124739286 1000000.0000000000
2456407.3840278  13.432174240262 -11.233124736462 1000000.0000000000
2456407.3847222  13.432174240233 -11.233124733639 1000000.0000000000
2456407.3854167  13.432174240204 -11.233124730818 1000000.0000000000
2456407.3861111  13.432174240176 -11.233124727997 1000000.0000000000
2456407.3868056  13.432174240149 -11.233124725178 1000000.0000000000
2456407.3875000  13.432174240121 -11.233124722360 1000000.0000000000
2456407.3881944  13.432174240094 -11.233124719543 1000000.0000000000
2456407.3888889  13.432174240068 -11.233124716728 1000000.0000000000
2456407.3895833  13.432174240041 -11.233124713913 1000000.0000000000
