2456655.3798611  15.043772212403 -16.122412389140 370968.15884
2456655.3805556  15.044438831832 -16.124308842817 370963.96438
2456655.3812500  15.045105472190 -16.126204847384 370959.77021
2456655.3819444  15.045772148975 -16.128100463002 370955.57633
2456655.3826389  15.046438854438 -16.129995659440 370951.38275
2456655.3833333  15.047105580822 -16.131890406465 370947.18946
2456655.3840278  15.047772343635 -16.133784764238 370942.99646
2456655.3847222  15.048439135124 -16.135678702524 370938.80375
2456655.3854167  15.049105947533 -16.137572191118 370934.61134
2456655.3861111  15.049772796361 -16.139465290114 370930.41923
2456655.3868056  15.050439673867 -16.141357969344 370926.22741
2456655.3875000  15.051106572286 -16.143250198576 370922.03588
2456655.3881944  15.051773507126 -16.145142037906 370917.84465
2456655.3888889  15.052440470644 -16.147033457164 370913.65371
2456655.3895833  15.053107455064 -16.148924426128 370909.46307
2456655.3902778  15.053774475910 -16.150815004880 370905.27272
2456655.3909722  15.054441525429 -16.152705163257 370901.08267
2456655.3916667  15.055108595844 -16.154594871040 370896.89291
2456655.3923611  15.055775702686 -16.156484188305 370892.70345
2456655.3930556  15.056442838199 -16.158373084892 370888.51428
2456655.3937500  15.057109994600 -16.160261530585 370884.32541
2456655.3944444  15.057777187431 -16.162149585453 370880.13684
2456655.3951389  15.058444408930 -16.164037219341 370875.94856
2456655.3958333  15.059111651308 -16.165924402034 370871.76058
2456655.3965278  15.059778930126 -16.167811193617 370867.57290
2456655.3972222  15.060446229811 -16.169697533783 370863.38551
2456655.3979167  15.061113565944 -16.171583482657 370859.19842
2456655.3986111  15.061780930734 -16.173469010020 370855.01163
2456655.3993056  15.062448316383 -16.175354085671 370850.82514
2456655.4000000  15.063115738483 -16.177238769720 370846.63894
2456655.4006944  15.063783189236 -16.179123031960 370842.45304
2456655.4013889  15.064450660841 -16.181006842183 370838.26744
2456655.4020833  15.065118168898 -16.182890260499 370834.08214
2456655.4027778  15.065785705607 -16.184773256702 370829.89713
