2454048.195833333  14.911099955972 -16.666141005511 0.9906644574  14.938589649685 -16.980694734566 0.6748480659 297.946770732174
2454048.196527778  14.911146416828 -16.666341604159 0.9906642930  14.938532912533 -16.980201850647 0.6748495602 298.197455221915
2454048.197222222  14.911192877798 -16.666542200559 0.9906641285  14.938476175839 -16.979708963902 0.6748510559 298.448139711655
2454048.197916667  14.911239338883 -16.666742794713 0.9906639641  14.938419439521 -16.979216073811 0.6748525531 298.698824201394
2454048.198611111  14.911285800083 -16.666943386620 0.9906637997  14.938362703495 -16.978723179854 0.6748540517 298.949508691132
2454048.199305555  14.911332261398 -16.667143976279 0.9906636353  14.938305967930 -16.978230283090 0.6748555518 299.200193180870
2454048.200000000  14.911378722858 -16.667344563826 0.9906634708  14.938249232621 -16.977737382142 0.6748570534 299.450877838703
2454048.200694445  14.911425184402 -16.667545148992 0.9906633064  14.938192497814 -16.977244478733 0.6748585565 299.701562328438
2454048.201388889  14.911471646061 -16.667745731910 0.9906631420  14.938135763386 -16.976751572010 0.6748600610 299.952246818172
2454048.202083333  14.911518107835 -16.667946312581 0.9906629776  14.938079029255 -16.976258661455 0.6748615670 300.202931307905
2454048.202777778  14.911564569723 -16.668146891005 0.9906628131  14.938022295590 -16.975765748127 0.6748630745 300.453615797638
2454048.203472222  14.911611031726 -16.668347467181 0.9906626487  14.937965562307 -16.975272831506 0.6748645835 300.704300287369
2454048.204166667  14.911657493844 -16.668548041111 0.9906624843  14.937908829408 -16.974779911599 0.6748660939 300.954984777099
2454048.204861111  14.911703956077 -16.668748612792 0.9906623199  14.937852096809 -16.974286987886 0.6748676058 301.205669266828
2454048.205555555  14.911750418424 -16.668949182227 0.9906621555  14.937795364680 -16.973794061428 0.6748691191 301.456353756557
2454048.206250000  14.911796880886 -16.669149749414 0.9906619911  14.937738632936 -16.973301131703 0.6748706340 301.707038246284
2454048.206944444  14.911843343463 -16.669350314354 0.9906618267  14.937681901580 -16.972808198719 0.6748721503 301.957722736010
2454048.207638889  14.911889806185 -16.669550877180 0.9906616623  14.937625170490 -16.972315261625 0.6748736680 302.208407393832
2454048.208333333  14.911936268992 -16.669751437625 0.9906614979  14.937568439911 -16.971822322142 0.6748751873 302.459091883557
2454048.209027778  14.911982731913 -16.669951995822 0.9906613335  14.937511709721 -16.971329379421 0.6748767080 302.709776373280
2454048.209722222  14.912029194949 -16.670152551771 0.9906611691  14.937454979922 -16.970836433467 0.6748782302 302.960460863002
2454048.210416667  14.912075658099 -16.670353105473 0.9906610047  14.937398250515 -16.970343484287 0.6748797539 303.211145352724
2454048.211111111  14.912122121365 -16.670553656927 0.9906608403  14.937341521500 -16.969850531888 0.6748812790 303.461829842443
2454048.211805556  14.912168584745 -16.670754206133 0.9906606759  14.937284792879 -16.969357576277 0.6748828056 303.712514332163
2454048.212500000  14.912215048239 -16.670954753092 0.9906605115  14.937228064652 -16.968864617461 0.6748843337 303.963198821881
2454048.213194444  14.912261511849 -16.671155297803 0.9906603471  14.937171336820 -16.968371655445 0.6748858632 304.213883311598
2454048.213888889  14.912307975573 -16.671355840266 0.9906601827  14.937114609384 -16.967878690238 0.6748873942 304.464567801314
2454048.214583333  14.912354439412 -16.671556380481 0.9906600183  14.937057882345 -16.967385721844 0.6748889267 304.715252291029
2454048.215277778  14.912400903366 -16.671756918448 0.9906598539  14.937001155705 -16.966892750272 0.6748904607 304.965936780743
2454048.215972222  14.912447367466 -16.671957454302 0.9906596895  14.936944429424 -16.966399775198 0.6748919961 305.216621438553
2454048.216666667  14.912493831649 -16.672157987773 0.9906595252  14.936887703582 -16.965906797288 0.6748935330 305.467305928265
2454048.217361111  14.912540295948 -16.672358518996 0.9906593608  14.936830978140 -16.965413816220 0.6748950714 305.717990417976
2454048.218055556  14.912586760360 -16.672559047971 0.9906591964  14.936774253099 -16.964920832000 0.6748966112 305.968674907685
2454048.218750000  14.912633224888 -16.672759574698 0.9906590320  14.936717528461 -16.964427844635 0.6748981526 306.219359397394
2454048.219444444  14.912679689530 -16.672960099177 0.9906588677  14.936660804227 -16.963934854131 0.6748996953 306.470043887102
2454048.220138889  14.912726154288 -16.673160621408 0.9906587033  14.936604080396 -16.963441860496 0.6749012396 306.720728376808
2454048.220833333  14.912772619159 -16.673361141390 0.9906585389  14.936547357054 -16.962948864262 0.6749027853 306.971412866514
2454048.221527778  14.912819084146 -16.673561659124 0.9906583745  14.936490634035 -16.962455864383 0.6749043325 307.222097356219
