2458843.5541667  18.286712845056 -23.377193844237 0.9834994251
2458843.5548611  18.286764234758 -23.377172755691 0.9834993930
2458843.5555556  18.286815624446 -23.377151663369 0.9834993609
2458843.5562500  18.286867014123 -23.377130567272 0.9834993287
2458843.5569444  18.286918403786 -23.377109467400 0.9834992966
2458843.5576389  18.286969793436 -23.377088363753 0.9834992645
2458843.5583333  18.287021183074 -23.377067256330 0.9834992324
2458843.5590278  18.287072572698 -23.377046145132 0.9834992003
2458843.5597222  18.287123962310 -23.377025030159 0.9834991681
2458843.5604167  18.287175351908 -23.377003911411 0.9834991360
2458843.5611111  18.287226741494 -23.376982788888 0.9834991039
2458843.5618056  18.287278131067 -23.376961662589 0.9834990718
2458843.5625000  18.287329520627 -23.376940532516 0.9834990397
2458843.5631944  18.287380910174 -23.376919398667 0.9834990076
2458843.5638889  18.287432299709 -23.376898261043 0.9834989755
2458843.5645833  18.287483689229 -23.376877119643 0.9834989433
2458843.5652778  18.287535078738 -23.376855974469 0.9834989112
2458843.5659722  18.287586468233 -23.376834825519 0.9834988791
2458843.5666667  18.287637857715 -23.376813672794 0.9834988470
2458843.5673611  18.287689247185 -23.376792516294 0.9834988149
2458843.5680556  18.287740636642 -23.376771356019 0.9834987828
2458843.5687500  18.287792026085 -23.376750191969 0.9834987507
2458843.5694444  18.287843415516 -23.376729024143 0.9834987186
2458843.5701389  18.287894804934 -23.376707852543 0.9834986866
2458843.5708333  18.287946194339 -23.376686677167 0.9834986545
2458843.5715278  18.287997583730 -23.376665498016 0.9834986224
2458843.5722222  18.288048973109 -23.376644315090 0.9834985903
2458843.5729167  18.288100362475 -23.376623128389 0.9834985582
2458843.5736111  18.288151751828 -23.376601937913 0.9834985261
2458843.5743056  18.288203141168 -23.376580743661 0.9834984940
2458843.5750000  18.288254530495 -23.376559545635 0.9834984620
2458843.5756944  18.288305919808 -23.376538343833 0.9834984299
2458843.5763889  18.288357309110 -23.376517138256 0.9834983978
2458843.5770833  18.288408698398 -23.376495928905 0.9834983657
2458843.5777778  18.288460087672 -23.376474715778 0.9834983336
2458843.5784722  18.288511476934 -23.376453498876 0.9834983016
2458843.5791667  18.288562866184 -23.376432278198 0.9834982695
2458843.5798611  18.288614255419 -23.376411053746 0.9834982374
2458843.5805556  18.288665644642 -23.376389825519 0.9834982054
2458843.5812500  18.288717033852 -23.376368593516 0.9834981733
2458843.5819444  18.288768423049 -23.376347357739 0.9834981412
2458843.5826389  18.288819812233 -23.376326118186 0.9834981092
2458843.5833333  18.288871201404 -23.376304874859 0.9834980771
2458843.5840278  18.288922590562 -23.376283627756 0.9834980451
2458843.5847222  18.288973979706 -23.376262376878 0.9834980130
2458843.5854167  18.289025368838 -23.376241122225 0.9834979810
2458843.5861111  18.289076757957 -23.376219863797 0.9834979489
2458843.5868056  18.289128147063 -23.376198601594 0.9834979169
2458843.5875000  18.289179536155 -23.376177335616 0.9834978848
2458843.5881944  18.289230925235 -23.376156065863 0.9834978528
2458843.5888889  18.289282314301 -23.376134792335 0.9834978207
2458843.5895833  18.289333703355 -23.376113515032 0.9834977887
2458843.5902778  18.289385092396 -23.376092233954 0.9834977566
2458843.5909722  18.289436481423 -23.376070949100 0.9834977246
2458843.5916667  18.289487870437 -23.376049660472 0.9834976926
2458843.5923611  18.289539259438 -23.376028368069 0.9834976605
2458843.5930556  18.289590648427 -23.376007071890 0.9834976285
2458843.5937500  18.289642037401 -23.375985771937 0.9834975964
2458843.5944444  18.289693426364 -23.375964468209 0.9834975644
2458843.5951389  18.289744815313 -23.375943160706 0.9834975324
2458843.5958333  18.289796204248 -23.375921849427 0.9834975004
2458843.5965278  18.289847593171 -23.375900534374 0.9834974683
2458843.5972222  18.289898982081 -23.375879215546 0.9834974363
2458843.5979167  18.289950370977 -23.375857892942 0.9834974043
2458843.5986111  18.290001759860 -23.375836566564 0.9834973723
2458843.5993056  18.290053148731 -23.375815236411 0.9834973403
2458843.6000000  18.290104537587 -23.375793902483 0.9834973082
2458843.6006944  18.290155926432 -23.375772564779 0.9834972762
2458843.6013889  18.290207315263 -23.375751223301 0.9834972442
2458843.6020833  18.290258704081 -23.375729878048 0.9834972122
2458843.6027778  18.290310092885 -23.375708529020 0.9834971802
2458843.6034722  18.290361481677 -23.375687176216 0.9834971482
2458843.6041667  18.290412870455 -23.375665819638 0.9834971162
2458843.6048611  18.290464259220 -23.375644459285 0.9834970842
2458843.6055556  18.290515647972 -23.375623095157 0.9834970522
2458843.6062500  18.290567036711 -23.375601727254 0.9834970202
2458843.6069444  18.290618425437 -23.375580355577 0.9834969882
2458843.6076389  18.290669814150 -23.375558980124 0.9834969562
2458843.6083333  18.290721202849 -23.375537600896 0.9834969242
2458843.6090278  18.290772591535 -23.375516217894 0.9834968922
2458843.6097222  18.290823980209 -23.375494831116 0.9834968602
2458843.6104167  18.290875368869 -23.375473440563 0.9834968282
2458843.6111111  18.290926757515 -23.375452046236 0.9834967962
2458843.6118056  18.290978146149 -23.375430648134 0.9834967642
2458843.6125000  18.291029534770 -23.375409246256 0.9834967322
2458843.6131944  18.291080923377 -23.375387840604 0.9834967003
2458843.6138889  18.291132311971 -23.375366431177 0.9834966683
2458843.6145833  18.291183700552 -23.375345017975 0.9834966363
2458843.6152778  18.291235089120 -23.375323600998 0.9834966043
2458843.6159722  18.291286477674 -23.375302180247 0.9834965723
2458843.6166667  18.291337866215 -23.375280755720 0.9834965404
2458843.6173611  18.291389254743 -23.375259327418 0.9834965084
2458843.6180556  18.291440643258 -23.375237895342 0.9834964764
