 2455736.602802   109  EMERSION V  6 24  2 28.0  6.8 103.  26. 277.  1.2 99.9 0.84 286.
 2455751.376260  3963 INMERSION V  7  8 21  1.8  6.8 221.  25.  98. 99.9 99.9 0.91 109.
 2455752.373778  4168 INMERSION V  7  9 20 58.2  5.9 205.  27. 111.  1.7 -1.2 0.88 115.
 2455755.356049  4900 INMERSION V  7 12 20 32.7  6.6 156.  21. 150.  1.6  0.3 0.55 108.
 2455755.356181  4901 INMERSION V  7 12 20 32.9  5.1 156.  21. 150.  1.6  0.3 0.55 109.
 2455755.360769  4904 INMERSION V  7 12 20 39.5  6.6 158.  22. 150.  2.0  1.3 0.69  61.
 2455755.530060  4935 INMERSION V  7 13  0 43.3  6.7 215.  17. 152. 99.9 99.9 0.99   1.
 2455755.531582  4941 INMERSION V  7 13  0 45.5  6.2 215.  17. 152. 99.9 99.9 0.90 121.
 2455755.558604  4950 INMERSION V  7 13  1 24.4  4.2 223.  12. 152.  1.6 -1.8 0.76 116.
 2455760.468439  6444  EMERSION V  7 17 23 14.6  6.5 127.  24. 212.  1.2  1.8 0.78 245.
 2455761.488797  6635  EMERSION V  7 18 23 43.9  5.0 121.  26. 224.  0.8  2.5 0.73 208.
 2455761.604496  6646  EMERSION V  7 19  2 30.5  6.3 166.  45. 225.  2.0  1.0 0.68 249.
 2455762.629418  6839  EMERSION V  7 20  3  6.4  5.0 162.  50. 236. 99.9  2.6 0.94 200.
 2455765.546669   394  EMERSION V  7 23  1  7.2  6.7  91.  23. 269.  1.0 99.9 0.88 295.
 2455766.625659   589  EMERSION V  7 24  3  0.9  6.2  99.  38. 280.  0.1  2.9 0.91 208.
 2455767.624155   781  EMERSION V  7 25  2 58.8  6.8  88.  30. 292.  0.6 99.9 0.89 265.
 2455767.668610   789  EMERSION V  7 25  4  2.8  5.1  98.  42. 292.  1.4 99.9 0.91 282.
 2455779.331135  4108 INMERSION V  8  5 19 56.8  6.3 220.  22.  82.  1.5 -0.9 0.90  86.
 2455783.346001  5102 INMERSION V  8  9 20 18.2  4.7 169.  25. 133.  2.1 -1.5 0.90 142.
