 2455561.5   4.429070463959   4.431880121019  -0.336506978234  -0.336805154909  3.010655  7.8 2455561.92896248      99.00000000
 2455562.5   4.438790709945   4.441604458997  -0.337812279062  -0.338100471607  3.005542  7.8 2455562.92777375      99.00000000
 2455563.5   4.448512914286   4.451330885512  -0.339083457686  -0.339361719624  3.000345  7.8 2455563.92658527      99.00000000
 2455564.5   4.458236707639   4.461058921006  -0.340320511766  -0.340588910353  2.995065  7.8 2455564.92539700      99.00000000
 2455565.5   4.467961248127   4.470787603985  -0.341523354942  -0.341781949617  2.989701  7.8 2455565.92420879      99.00000000
 2455566.5   4.477686169047   4.480516465944  -0.342692007378  -0.342940832024  2.984255  7.8 2455566.92302059      99.00000000
 2455567.5   4.487410640084   4.490244610823  -0.343826406766  -0.344065460876  2.978728  7.8 2455567.92183226      99.00000000
 2455568.5   4.497134316698   4.499971671611  -0.344926593617  -0.345155840767  2.973118  7.8 2455568.92064377      99.00000000
 2455569.5   4.506856392995   4.509696859660  -0.345992527068  -0.346211900913  2.967427  7.8 2455569.91945495      99.00000000
 2455570.5   4.516576553037   4.519419906773  -0.347024265230  -0.347233678313  2.961657  7.8 2455570.91826580      99.00000000
 2455571.5   4.526294016673   4.529140099488  -0.348021786175  -0.348221141072  2.955806  7.8 2455571.91707616      99.00000000
 2455572.5   4.536008494822   4.538857224432  -0.348985163449  -0.349174362635  2.949876  7.8 2455572.91588602      99.00000000
 2455573.5   4.545719230425   4.548570600968  -0.349914392325  -0.350093348187  2.943867  7.8 2455573.91469522      99.00000000
 2455574.5   4.555425959559   4.558280035818  -0.350809560313  -0.350978203279  2.937780  7.8 2455574.91350377      99.00000000
 2455575.5   4.565127948752   4.567984853238  -0.351670678569  -0.351828965512  2.931616  7.8 2455575.91231152      99.00000000
 2455576.5   4.574824962426   4.577684853910  -0.352497847127  -0.352645767613  2.925375  7.8 2455576.91111845      99.00000000
 2455577.5   4.584516296063   4.587379336747  -0.353291091344  -0.353428672381  2.919057  7.8 2455577.90992443      99.00000000
 2455578.5   4.594201748330   4.597068059487  -0.354050521684  -0.354177826218  2.912664  7.8 2455578.90872946      99.00000000
 2455579.5   4.603880647037   4.606750257940  -0.354776175316  -0.354893293135  2.906196  7.8 2455579.90753340      99.00000000
 2455580.5   4.613552821651   4.616425626414  -0.355468170712  -0.355575197494  2.899652  7.8 2455580.90633624      99.00000000
 2455581.5   4.623217617315   4.626093361212  -0.356126555080  -0.356223564030  2.893034  7.8 2455581.90513786      99.00000000
 2455582.5   4.632874864538   4.635753178762  -0.356751454547  -0.356838467453  2.886342  7.8 2455582.90393825      99.00000000
 2455583.5   4.642523881989   4.645404365397  -0.357342928281  -0.357419901077  2.879576  7.8 2455583.90273727      99.00000000
 2455584.5   4.652164449648   4.655046769274  -0.357901114539  -0.357967944404  2.872736  7.8 2455584.90153492      99.00000000
 2455585.5   4.661795811121   4.664679778918  -0.358426091079  -0.358482645456  2.865821  7.8 2455585.90033105      99.00000000
 2455586.5   4.671417661462   4.674303257738  -0.358918015815  -0.358964169027  2.858832  7.8 2455586.89912564      99.00000000
 2455587.5   4.681029155804   4.683916497608  -0.359376992099  -0.359412657225  2.851770  7.8 2455587.89791853      99.00000000
 2455588.5   4.690629911881   4.693519187708  -0.359803202757  -0.359828347695  2.844633  7.8 2455588.89670968      99.00000000
 2455589.5   4.700219019436   4.703110416741  -0.360196779799  -0.360211428516  2.837423  7.8 2455589.89549892      99.00000000
 2455590.5   4.709796049948   4.712689695564  -0.360557931915  -0.360562152574  2.830139  7.8 2455590.89428622      99.00000000
 2455591.5   4.719360060483   4.722255983594  -0.360886819144  -0.360880706702  2.822782  7.8 2455591.89307138      99.00000000
 2455592.5   4.728910606918   4.731808726814  -0.361183674302  -0.361167330270  2.815352  7.8 2455592.89185436      99.00000000
 2455593.5   4.738446740774   4.741346876559  -0.361448683055  -0.361422198307  2.807849  7.8 2455593.89063499      99.00000000
 2455594.5   4.747968025801   4.750869922920  -0.361682099479  -0.361645540455  2.800275  7.8 2455594.88941322      99.00000000
 2455595.5   4.757473527941   4.760376894456  -0.361884131759  -0.361837533744  2.792629  7.8 2455595.88818888      99.00000000
 2455596.5   4.766962835325   4.769867380490  -0.362055051988  -0.361998417514  2.784913  7.8 2455596.88696193      99.00000000
 2455597.5   4.776435041164   4.779340509534  -0.362195087684  -0.362128391413  2.777128  7.8 2455597.88573219      99.00000000
 2455598.5   4.785889767037   4.788795963677  -0.362304525949  -0.362227722204  2.769273  7.8 2455598.88449965      99.00000000
 2455599.5   4.795326138860   4.798232943619  -0.362383610980  -0.362296644333  2.761350  7.8 2455599.88326414      99.00000000
 2455600.5   4.804743814150   4.807651185468  -0.362432642588  -0.362335457656  2.753359  7.8 2455600.88202563      99.00000000
 2455601.5   4.814141952136   4.817049922017  -0.362451879712  -0.362344431391  2.745301  7.8 2455601.88078397      99.00000000
 2455602.5   4.823520246383   4.826428908185  -0.362441633128  -0.362323894614  2.737178  7.8 2455602.87953913      99.00000000
 2455603.5   4.832877890343   4.835787380036  -0.362402174808  -0.362274145507  2.728989  7.8 2455603.87829097      99.00000000
 2455604.5   4.842214616395   4.845125086876  -0.362333824581  -0.362195535362  2.720736  7.8 2455604.87703947      99.00000000
 2455605.5   4.851529657170   4.854441244693  -0.362236865221  -0.362088382338  2.712419  7.8 2455605.87578448      99.00000000
 2455606.5   4.860822790402   4.863735573489  -0.362111622999  -0.361953046370  2.704039  7.8 2455606.87452600      99.00000000
