 21    3  9   3 42   4  6   4 24   4 39   4 52   5 13   5 30   5 46   6  0   6 14   6 30   6 38   6 48   6 48   6 52   6 56   7  1   7  6   7 11   7 17   7 24   7 31   7 38   7 47   7 57   8  9   8 22
 22    3 11   3 44   4  7   4 25   4 40   4 53   5 14   5 31   5 46   6  0   6 14   6 30   6 38   6 47   6 47   6 51   6 56   7  0   7  5   7 10   7 16   7 22   7 29   7 37   7 46   7 55   8  7   8 20
 23    3 14   3 45   4  9   4 27   4 41   4 54   5 14   5 31   5 46   6  0   6 14   6 29   6 38   6 47   6 47   6 51   6 55   7  0   7  4   7 10   7 15   7 21   7 28   7 35   7 44   7 54   8  5   8 18
 24    3 16   3 47   4 10   4 28   4 43   4 55   5 15   5 32   5 47   6  0   6 14   6 29   6 37   6 46   6 46   6 50   6 54   6 59   7  3   7  9   7 14   7 20   7 27   7 34   7 42   7 52   8  2   8 15
 25    3 19   3 49   4 12   4 29   4 44   4 56   5 16   5 32   5 47   6  0   6 14   6 29   6 37   6 46   6 46   6 49   6 54   6 58   7  3   7  7   7 13   7 19   7 25   7 32   7 41   7 50   8  0   8 13
 26    3 21   3 51   4 13   4 31   4 45   4 57   5 17   5 33   5 47   6  0   6 14   6 28   6 36   6 45   6 45   6 49   6 53   6 57   7  2   7  6   7 12   7 17   7 24   7 31   7 39   7 48   7 58   8 10
 27    3 24   3 53   4 15   4 32   4 46   4 58   5 17   5 33   5 47   6  1   6 14   6 28   6 36   6 44   6 44   6 48   6 52   6 56   7  1   7  5   7 10   7 16   7 22   7 29   7 37   7 46   7 56   8  8
 28    3 26   3 55   4 16   4 33   4 47   4 59   5 18   5 34   5 48   6  1   6 14   6 27   6 35   6 43   6 43   6 47   6 51   6 55   6 59   7  4   7  9   7 15   7 21   7 28   7 35   7 44   7 54   8  5
 29    3 29   3 57   4 18   4 35   4 48   5  0   5 19   5 34   5 48   6  1   6 13   6 27   6 34   6 43   6 43   6 46   6 50   6 54   6 58   7  3   7  8   7 13   7 19   7 26   7 33   7 42   7 51   8  2
 30    3 31   3 59   4 20   4 36   4 49   5  1   5 19   5 35   5 48   6  1   6 13   6 26   6 34   6 42   6 42   6 45   6 49   6 53   6 57   7  2   7  7   7 12   7 18   7 24   7 31   7 39   7 49   8  0
 31    3 34   4  1   4 21   4 37   4 50   5  1   5 20   5 35   5 48   6  1   6 13   6 26   6 33   6 41   6 41   6 45   6 48   6 52   6 56   7  1   7  5   7 10   7 16   7 22   7 29   7 37   7 46   7 57
 32    3 36   4  3   4 23   4 39   4 51   5  2   5 21   5 35   5 48   6  1   6 13   6 25   6 33   6 40   6 40   6 44   6 47   6 51   6 55   6 59   7  4   7  9   7 14   7 20   7 27   7 35   7 44   7 54
 33    3 39   4  5   4 24   4 40   4 53   5  3   5 21   5 36   5 49   6  0   6 12   6 25   6 32   6 39   6 39   6 43   6 46   6 50   6 54   6 58   7  2   7  7   7 13   7 19   7 25   7 33   7 41   7 51
 34    3 41   4  7   4 26   4 41   4 54   5  4   5 22   5 36   5 49   6  0   6 12   6 24   6 31   6 39   6 39   6 42   6 45   6 49   6 52   6 57   7  1   7  6   7 11   7 17   7 23   7 30   7 39   7 48
 35    3 44   4  9   4 28   4 42   4 55   5  5   5 22   5 36   5 49   6  0   6 12   6 24   6 30   6 38   6 38   6 41   6 44   6 47   6 51   6 55   6 59   7  4   7  9   7 15   7 21   7 28   7 36   7 45
 36    3 46   4 11   4 29   4 44   4 56   5  6   5 23   5 37   5 49   6  0   6 11   6 23   6 30   6 37   6 37   6 40   6 43   6 46   6 50   6 54   6 58   7  2   7  7   7 13   7 19   7 26   7 33   7 42
 37    3 49   4 13   4 31   4 45   4 57   5  7   5 24   5 37   5 49   6  0   6 11   6 23   6 29   6 36   6 36   6 39   6 42   6 45   6 49   6 52   6 56   7  1   7  5   7 11   7 17   7 23   7 31   7 39
 38    3 51   4 15   4 32   4 46   4 58   5  8   5 24   5 38   5 49   6  0   6 11   6 22   6 28   6 35   6 35   6 38   6 41   6 44   6 47   6 51   6 55   6 59   7  4   7  9   7 14   7 21   7 28   7 36
 39    3 54   4 17   4 34   4 48   4 59   5  9   5 25   5 38   5 49   6  0   6 10   6 21   6 27   6 34   6 34   6 36   6 39   6 42   6 46   6 49   6 53   6 57   7  2   7  7   7 12   7 18   7 25   7 33
 40    3 56   4 19   4 36   4 49   5  0   5 10   5 25   5 38   5 49   6  0   6 10   6 20   6 26   6 33   6 33   6 35   6 38   6 41   6 44   6 48   6 51   6 55   7  0   7  4   7 10   7 16   7 22   7 30
 41    3 59   4 21   4 37   4 50   5  1   5 11   5 26   5 39   5 49   5 59   6  9   6 20   6 25   6 31   6 31   6 34   6 37   6 40   6 43   6 46   6 50   6 54   6 58   7  2   7  7   7 13   7 20   7 27
 42    4  1   4 23   4 39   4 52   5  2   5 12   5 27   5 39   5 49   5 59   6  9   6 19   6 24   6 30   6 30   6 33   6 36   6 38   6 41   6 45   6 48   6 52   6 56   7  0   7  5   7 11   7 17   7 24
 43    4  4   4 25   4 40   4 53   5  4   5 12   5 27   5 39   5 50   5 59   6  8   6 18   6 23   6 29   6 29   6 32   6 34   6 37   6 40   6 43   6 46   6 50   6 54   6 58   7  3   7  8   7 14   7 21
 44    4  6   4 26   4 42   4 54   5  5   5 13   5 28   5 39   5 50   5 59   6  8   6 17   6 23   6 28   6 28   6 30   6 33   6 36   6 38   6 41   6 44   6 48   6 52   6 56   7  0   7  5   7 11   7 17
 45    4  9   4 28   4 44   4 56   5  6   5 14   5 28   5 40   5 50   5 59   6  7   6 17   6 22   6 27   6 27   6 29   6 32   6 34   6 37   6 40   6 43   6 46   6 49   6 53   6 58   7  3   7  8   7 14
 46    4 11   4 30   4 45   4 57   5  7   5 15   5 29   5 40   5 50   5 58   6  7   6 16   6 21   6 26   6 26   6 28   6 30   6 33   6 35   6 38   6 41   6 44   6 47   6 51   6 55   7  0   7  5   7 11
 47    4 13   4 32   4 47   4 58   5  8   5 16   5 29   5 40   5 50   5 58   6  6   6 15   6 20   6 24   6 24   6 27   6 29   6 31   6 34   6 36   6 39   6 42   6 45   6 49   6 53   6 57   7  2   7  8
 48    4 16   4 34   4 48   4 59   5  9   5 17   5 30   5 40   5 49   5 58   6  6   6 14   6 18   6 23   6 23   6 25   6 27   6 30   6 32   6 34   6 37   6 40   6 43   6 46   6 50   6 54   6 59   7  4
 49    4 18   4 36   4 50   5  1   5 10   5 18   5 30   5 41   5 49   5 57   6  5   6 13   6 17   6 22   6 22   6 24   6 26   6 28   6 30   6 33   6 35   6 38   6 41   6 44   6 48   6 51   6 56   7  1
 50    4 21   4 38   4 51   5  2   5 11   5 18   5 31   5 41   5 49   5 57   6  5   6 12   6 16   6 21   6 21   6 23   6 24   6 26   6 29   6 31   6 33   6 36   6 39   6 42   6 45   6 49   6 53   6 58
 51    4 23   4 40   4 53   5  3   5 12   5 19   5 31   5 41   5 49   5 57   6  4   6 11   6 15   6 19   6 19   6 21   6 23   6 25   6 27   6 29   6 31   6 34   6 36   6 39   6 42   6 46   6 50   6 54
 52    4 25   4 42   4 54   5  4   5 13   5 20   5 32   5 41   5 49   5 57   6  3   6 10   6 14   6 18   6 18   6 20   6 21   6 23   6 25   6 27   6 29   6 32   6 34   6 37   6 40   6 43   6 47   6 51
 53    4 28   4 44   4 56   5  6   5 14   5 21   5 32   5 41   5 49   5 56   6  3   6  9   6 13   6 17   6 17   6 18   6 20   6 22   6 23   6 25   6 27   6 29   6 32   6 34   6 37   6 40   6 43   6 47
 54    4 30   4 45   4 57   5  7   5 15   5 22   5 33   5 42   5 49   5 56   6  2   6  9   6 12   6 15   6 15   6 17   6 18   6 20   6 22   6 23   6 25   6 27   6 29   6 32   6 34   6 37   6 40   6 44
 55    4 32   4 47   4 59   5  8   5 16   5 22   5 33   5 42   5 49   5 55   6  1   6  8   6 11   6 14   6 14   6 15   6 17   6 18   6 20   6 22   6 23   6 25   6 27   6 29   6 32   6 34   6 37   6 40
 56    4 35   4 49   5  0   5  9   5 17   5 23   5 34   5 42   5 49   5 55   6  1   6  7   6  9   6 13   6 13   6 14   6 15   6 17   6 18   6 20   6 21   6 23   6 25   6 27   6 29   6 31   6 34   6 37
